%usr,client01,client02,client03,client04
139,0.71,1.34,1.25,1.18
140,0.71,0.96,1.28,1.18
141,2.45,1.22,1.28,2.05
142,3.13,1.19,1.18,1.15
143,0.65,1.25,1.35,1.23
144,0.55,1.24,1.25,1.25
145,0.56,0.89,1.23,1.13
146,0.58,1.38,1.25,1.1
147,0.6,1.29,1.25,1.13
148,4.02,1.32,1.23,1.33
149,1.62,1.24,1.3,1.23
150,0.66,0.89,1.18,1.15
151,0.63,1.12,1.3,1.18
152,0.61,1.0,1.28,1.18
153,0.63,1.1,1.23,1.25
154,1.73,1.07,1.33,1.23
155,3.87,1.06,1.25,1.28
156,0.88,1.02,1.25,1.2
157,0.61,1.27,1.25,1.35
158,0.68,0.92,1.28,1.18
159,0.78,1.15,1.23,1.2
160,0.73,0.79,1.2,1.25
161,3.12,1.28,1.2,1.05
162,3.15,1.34,1.08,1.23
163,0.78,1.09,1.25,1.3
164,0.58,1.07,1.28,1.25
165,0.63,0.96,1.15,1.3
166,0.71,1.07,1.3,1.28
167,0.88,1.15,1.15,1.13
168,4.15,1.12,1.15,1.25
169,1.94,1.04,1.28,1.33
170,0.53,0.63,1.18,1.33
171,0.63,1.22,1.3,1.15
172,0.75,1.4,1.33,1.05
173,0.55,1.0,1.18,1.23
174,1.28,1.2,1.28,1.35
175,4.23,0.86,1.1,1.33
176,0.73,1.17,1.25,1.18
177,0.68,1.37,1.33,1.33
178,0.58,1.17,1.23,1.25
179,0.63,1.25,1.25,1.3
180,0.63,0.76,1.23,1.28
181,2.85,1.17,1.28,1.25
182,3.02,1.04,1.3,1.2
183,0.63,1.22,1.23,1.15
184,0.73,0.97,1.25,1.18
185,0.56,1.21,1.3,1.2
186,0.55,1.19,1.23,1.25
187,0.73,1.24,1.2,1.2
188,3.99,1.11,1.3,1.1
189,1.69,1.01,1.3,1.23
190,0.73,1.17,1.18,1.1
191,0.86,1.22,1.2,1.05
192,0.7,0.94,1.3,1.18
193,0.56,1.27,1.28,1.18
194,1.86,1.42,1.35,1.2
195,3.97,1.26,1.13,1.15
196,0.66,1.12,1.3,1.25
197,0.68,1.3,1.3,1.2
198,0.65,1.38,1.2,1.28
199,0.68,1.35,1.33,1.15
200,0.58,0.73,1.38,1.28
201,2.97,1.19,1.25,1.85
202,2.77,1.24,1.23,1.13
203,0.65,1.12,1.33,1.25
204,0.75,1.37,1.18,1.15
205,0.55,0.58,1.28,1.13
206,0.66,1.34,1.3,1.18
207,1.44,1.45,1.35,1.13
208,3.52,1.14,1.18,1.25
209,1.64,1.04,1.38,1.15
210,0.81,0.81,1.3,1.15
211,0.61,1.27,1.33,1.25
212,0.78,1.22,1.33,1.15
213,0.73,1.22,1.28,1.2
214,1.82,1.14,1.25,1.3
215,3.77,1.03,1.25,1.28
216,0.61,1.42,1.15,1.3
217,0.68,1.09,1.35,1.15
218,0.55,1.47,1.23,1.25
219,0.6,1.27,1.25,1.2
220,0.63,1.27,1.2,1.38
221,3.38,1.22,1.2,1.25
222,2.64,1.29,1.25,1.2
223,0.68,1.23,1.28,1.18
224,0.55,1.26,1.35,1.18
225,0.66,0.97,1.35,1.28
226,0.75,1.27,1.38,1.13
227,1.59,1.14,1.35,1.18
228,3.78,1.21,1.23,1.1
229,1.14,1.27,1.25,1.2
230,0.65,0.94,1.28,1.2
231,0.78,1.19,1.25,1.28
232,0.58,1.22,1.28,1.3
233,0.68,1.14,1.3,1.28
234,2.49,1.12,1.23,1.25
235,3.2,0.91,1.1,1.4
236,0.53,0.86,1.23,1.25
237,0.58,1.19,1.28,1.13
238,0.66,1.34,1.3,1.25
239,0.58,1.09,1.25,1.2
240,0.55,0.98,1.23,1.2
241,3.84,1.21,1.23,1.2
242,2.02,1.16,1.28,1.23
243,0.55,1.14,1.18,1.25
244,0.73,1.59,1.28,1.23
245,0.61,0.86,1.33,1.1
246,0.63,1.35,1.18,1.2
247,1.51,1.37,1.28,1.23
248,3.54,1.29,1.25,1.1
249,0.86,1.45,1.35,1.15
250,0.66,1.27,1.4,1.15
251,0.56,1.29,1.28,1.2
252,0.83,1.45,1.4,1.15
253,0.58,1.3,1.33,1.15
254,2.35,1.39,1.25,1.05
255,3.35,1.16,1.23,0.98
256,0.71,1.16,1.3,1.13
257,0.65,1.39,1.33,1.1
258,0.58,1.34,1.38,1.08
259,0.53,1.55,1.33,1.15
260,0.58,1.57,1.35,1.13
261,4.03,1.37,1.13,1.73
262,1.9,1.26,1.23,1.18
263,0.58,1.24,1.33,1.18
264,0.48,1.3,1.25,1.08
265,0.61,1.29,1.3,1.2
266,0.55,1.42,1.23,1.15
267,1.59,1.32,1.15,1.18
268,3.84,1.16,1.18,1.28
269,0.86,1.34,1.4,1.13
270,0.53,1.16,1.18,1.23
271,0.55,1.26,1.28,1.2
272,0.63,1.64,1.2,1.18
273,0.58,1.36,1.28,1.18
274,2.6,1.46,1.25,1.2
275,2.73,1.54,1.2,1.28
276,0.71,1.2,1.33,1.2
277,0.46,1.59,1.3,1.18
278,0.56,1.27,1.23,1.25
279,0.63,1.17,1.45,1.1
280,0.6,1.27,1.43,1.08
281,3.83,1.21,1.23,0.98
282,1.72,1.44,1.38,1.15
283,0.6,1.46,1.18,1.2
284,0.65,1.17,1.18,1.25
285,0.51,1.16,1.33,1.2
286,0.58,1.39,1.35,1.08
287,1.62,1.55,1.3,1.2
288,3.91,1.09,1.28,1.28
289,0.78,1.37,1.25,0.98
290,0.55,1.29,1.33,1.08
