avgqu-sz,aceph01,aceph02,aceph03,aceph04
236,144.539,154.704,173.158,166.371
237,144.46,146.567,172.511,172.146
238,151.53,144.506,173.655,173.851
239,146.172,143.534,176.701,172.2
240,144.157,144.958,172.648,172.564
241,148.026,144.787,172.576,173.512
242,143.989,144.497,164.53,159.99
243,159.347,144.403,159.879,146.028
244,172.714,144.519,174.04,143.801
245,172.795,144.254,168.516,152.368
246,173.761,143.533,169.391,158.592
247,173.014,144.754,172.683,158.691
248,173.371,145.319,174.258,158.448
249,174.096,144.008,170.321,158.83
250,165.499,143.793,150.894,156.629
251,164.026,144.384,147.894,164.153
252,165.7,145.091,158.813,174.036
253,157.694,146.167,157.899,172.698
254,158.85,157.996,158.322,163.815
255,158.175,158.815,154.158,157.441
256,151.116,166.396,160.799,158.004
257,143.767,172.59,168.506,159.417
258,145.08,181.62,162.29,158.026
259,143.983,164.518,157.438,157.524
260,144.738,171.313,169.624,182.507
261,145.267,170.495,171.537,192.35
262,143.85,161.196,174.867,187.953
263,143.391,158.546,187.466,194.344
264,144.357,159.281,186.804,205.282
265,144.476,158.703,185.963,198.1
266,144.365,157.779,187.65,189.092
267,146.905,149.771,193.851,189.117
268,158.958,142.498,201.146,201.344
269,159.491,143.385,202.201,171.729
270,157.973,144.329,201.245,158.54
271,157.344,144.385,189.513,158.695
272,144.099,143.873,185.688,158.653
273,153.421,146.8,177.85,157.591
274,174.344,147.421,158.067,150.678
275,190.894,158.142,164.968,150.046
276,192.072,165.594,172.137,165.615
277,184.575,173.023,181.432,178.74
278,181.451,170.246,179.816,186.624
279,173.663,173.039,186.963,186.594
280,157.896,168.958,187.71,174.205
281,168.736,174.108,173.467,172.112
282,165.671,192.238,172.977,176.979
283,157.508,179.638,158.604,184.265
284,159.293,190.734,167.488,171.665
285,158.131,198.811,172.099,180.229
286,160.745,190.523,171.052,169.772
287,167.032,171.726,169.8,160.717
288,174.4,161.008,167.2,168.139
289,160.63,157.853,159.273,164.113
290,159.3,144.794,157.401,158.661
291,159.799,143.278,167.608,173.023
292,158.207,145.997,182.761,162.841
293,159.051,162.771,194.255,172.039
294,152.759,173.63,201.914,172.723
295,149.221,173.413,203.407,172.492
296,172.235,186.74,205.161,181.277
297,174.166,186.642,214.826,180.304
298,172.112,187.877,216.249,193.165
299,174.108,182.553,231.111,200.761
300,189.553,166.621,244.36,191.868
301,187.136,171.602,237.489,175.355
302,186.551,174.679,230.926,171.357
303,187.154,172.269,200.887,173.206
304,171.348,178.264,191.185,171.614
305,172.6,185.869,198.064,184.635
306,188.014,196.257,202.123,184.669
307,186.665,186.958,200.493,165.32
308,187.635,171.119,199.391,158.624
309,187.967,172.569,201.49,159.302
310,186.083,171.94,188.177,162.781
311,186.718,180.125,182.211,159.339
312,168.694,185.662,162.638,142.777
313,157.641,172.771,161.053,158.091
314,158.447,166.452,166.578,157.77
315,158.237,158.728,172.027,165.19
316,158.145,157.898,171.763,172.681
317,144.284,157.909,167.994,170.272
318,169.68,156.426,156.991,158.508
319,168.687,157.724,144.24,150.237
320,162.901,158.559,143.039,143.229
321,159.445,162.821,143.186,144.079
322,158.004,160.301,150.203,144.157
323,158.181,158.836,163.787,142.248
324,170.576,188.211,174.549,157.915
325,172.358,193.092,187.119,158.507
326,173.09,186.063,186.53,158.601
327,186.471,175.621,184.553,162.624
328,186.515,186.589,197.571,171.601
329,171.646,185.818,199.986,186.377
330,172.636,176.503,230.838,187.476
331,201.11,186.454,229.649,185.999
332,196.171,179.097,220.341,194.258
333,193.748,172.662,208.836,201.243
334,198.141,172.981,192.477,196.848
335,184.513,182.238,179.403,187.598
336,197.836,197.452,195.804,196.944
337,182.867,200.299,201.451,192.062
338,174.642,187.221,199.672,178.818
339,175.345,187.8,200.363,173.55
340,173.667,178.703,180.84,173.314
341,147.146,176.06,171.357,172.426
342,147.644,178.071,165.579,172.794
343,149.845,186.546,161.443,179.946
344,144.347,185.878,157.679,169.531
345,143.553,197.667,163.911,153.552
346,144.996,178.43,158.209,145.516
347,158.367,173.359,153.857,145.16
348,158.485,172.616,144.422,143.959
349,158.658,173.098,144.27,145.51
350,158.112,170.784,143.875,149.571
351,162.372,171.819,144.691,144.317
352,186.848,179.361,144.015,144.107
353,186.36,191.403,149.812,144.139
354,186.185,172.326,159.548,144.033
355,186.917,199.852,158.327,143.38
356,186.769,215.485,158.559,144.547
357,186.859,212.971,157.52,144.143
358,187.404,191.467,163.084,148.045
359,179.942,190.353,172.579,159.298
360,161.733,201.456,184.841,159.046
361,160.289,200.359,200.503,157.988
362,194.088,200.084,201.583,158.447
363,172.122,201.183,201.324,164.109
364,182.708,191.278,195.658,173.324
365,188.967,154.881,183.741,172.429
366,187.01,149.036,186.676,171.906
367,187.86,158.868,194.743,182.887
368,184.08,158.63,189.61,183.632
369,181.781,155.105,186.276,170.98
370,193.659,142.702,189.145,172.984
371,195.428,157.166,170.933,174.349
372,177.874,150.818,163.197,173.18
373,171.597,148.832,159.46,166.973
374,171.54,158.166,158.19,158.524
375,172.035,159.708,158.378,157.778
376,172.432,172.313,157.924,149.695
377,171.88,172.517,154.125,142.675
378,185.402,172.378,144.659,144.224
379,188.584,173.422,143.909,143.593
380,174.582,171.645,144.866,143.755
381,173.517,172.599,148.195,145.246
382,159.605,176.551,148.543,146.837
383,176.484,181.083,144.185,145.323
384,186.755,178.376,147.482,149.385
385,186.784,172.504,158.008,145.69
386,186.864,195.955,158.648,160.918
387,168.352,187.822,158.973,159.073
388,158.849,187.089,159.203,158.882
389,157.797,187.153,158.228,157.271
390,158.134,188.211,148.68,158.379
391,157.306,186.989,154.457,156.768
392,148.581,189.681,159.206,157.094
393,157.327,177.434,158.137,153.917
394,158.12,170.862,158.229,150.419
395,158.97,171.334,158.435,158.583
396,157.038,148.368,160.081,158.21
397,157.759,146.225,157.357,158.216
398,162.923,144.445,165.857,168.002
399,173.177,143.957,171.967,172.23
