txpck/s,client01,client02,client03,client04
297,8618.0,8879.0,14190.0,15042.0
298,8311.0,8545.0,14581.0,14817.0
299,8909.0,8069.0,15340.0,13736.0
300,9157.0,7649.0,14864.0,15610.0
301,12091.0,9042.0,15932.0,14633.0
302,9827.0,8699.0,13677.0,13878.0
303,8306.0,8343.0,16127.0,14288.0
304,8927.0,8779.0,14631.0,13415.0
305,7840.0,8901.0,15219.0,13449.0
306,7756.0,10095.0,14483.0,15669.0
307,8539.0,9501.0,14140.0,18848.0
308,12184.0,9525.0,15401.0,14550.0
309,8500.0,9105.0,16751.0,14546.0
310,8046.0,9079.0,16019.0,13507.0
311,7709.0,9587.0,13790.0,14911.0
312,7616.0,10095.0,13633.0,16267.0
313,7446.0,9430.0,12742.0,16519.0
314,10946.0,8894.0,15382.0,16187.0
315,11802.0,10536.0,14696.0,14698.0
316,7763.0,9159.0,15519.0,13552.0
317,7636.0,9941.0,14788.0,14584.0
318,6708.0,9874.0,14692.0,15833.0
319,7656.0,8764.0,13179.0,16905.0
320,8090.0,8790.0,13837.0,18462.0
321,11447.0,9265.0,16979.0,16519.0
322,9524.0,9401.0,15309.0,14413.0
323,8075.0,9570.0,15355.0,15646.0
324,7790.0,8739.0,13798.0,16377.0
325,8754.0,7791.0,14047.0,15454.0
326,9245.0,8609.0,14054.0,15380.0
327,10140.0,8673.0,15675.0,15108.0
328,12903.0,10159.0,15367.0,14247.0
329,8824.0,9307.0,14447.0,14155.0
330,7842.0,8564.0,13845.0,14628.0
331,8572.0,8685.0,14346.0,14911.0
332,8683.0,8711.0,13703.0,15152.0
333,8401.0,8549.0,14590.0,14997.0
334,10808.0,9060.0,16128.0,14424.0
335,10509.0,10151.0,14324.0,15537.0
336,7773.0,9067.0,13446.0,14239.0
337,8152.0,8814.0,14983.0,15871.0
338,7791.0,8885.0,15215.0,14247.0
339,8072.0,8719.0,14536.0,14732.0
340,8510.0,9698.0,15318.0,15448.0
341,10475.0,10205.0,16201.0,16089.0
342,8910.0,8848.0,14044.0,15441.0
343,8293.0,8171.0,14907.0,14196.0
344,8536.0,9043.0,15567.0,14094.0
345,7858.0,9796.0,15668.0,14141.0
346,7989.0,9644.0,14845.0,14109.0
347,10168.0,9674.0,14747.0,14666.0
348,11932.0,9892.0,16357.0,14059.0
349,8942.0,8549.0,15155.0,14289.0
350,7934.0,8968.0,14490.0,14359.0
351,8159.0,9280.0,14132.0,14310.0
352,8187.0,9281.0,14604.0,14983.0
353,8530.0,7818.0,14720.0,16064.0
354,10875.0,9792.0,16307.0,14799.0
355,10271.0,10267.0,15502.0,14073.0
356,8083.0,8569.0,14679.0,15308.0
357,7985.0,8746.0,13334.0,15038.0
358,8256.0,8656.0,14741.0,14988.0
359,8538.0,8108.0,15234.0,14422.0
360,9214.0,8951.0,14550.0,15197.0
361,11829.0,10131.0,16568.0,15281.0
362,9762.0,8562.0,13793.0,13965.0
363,9182.0,8630.0,15286.0,12527.0
364,8423.0,9654.0,14707.0,13091.0
365,7922.0,9523.0,14817.0,13815.0
366,8158.0,9104.0,14799.0,13959.0
367,10911.0,9012.0,16116.0,15750.0
368,12036.0,10641.0,16536.0,12704.0
369,8307.0,9607.0,15720.0,14325.0
370,7713.0,8816.0,15374.0,14721.0
371,8880.0,8749.0,15291.0,13632.0
372,8560.0,9041.0,13723.0,13919.0
373,8459.0,8817.0,14344.0,15048.4
374,11359.0,9634.0,15503.0,14055.0
375,11872.0,9930.0,14599.0,13401.0
376,8342.0,8814.0,15412.0,14018.0
377,8375.0,9554.0,15729.0,13108.0
378,7507.0,9638.0,15153.0,14749.0
379,8039.0,8970.0,12921.0,14948.0
380,9591.0,8784.0,13442.0,16383.0
381,12001.0,10549.0,15958.0,14984.0
382,8253.0,9511.0,12981.0,13846.0
383,8330.0,8993.0,12636.0,15570.0
384,7574.0,8606.0,14863.0,15832.0
385,8267.0,9079.0,15593.0,14109.0
386,7628.0,9805.0,12784.0,15167.0
387,11065.0,8393.0,14871.0,17539.0
388,12539.0,9737.0,15412.0,14091.0
389,8646.0,8729.0,14191.0,14200.0
390,8375.0,8563.0,14969.0,15545.0
391,8303.0,8365.0,13970.0,14880.0
392,8254.0,9310.0,13985.0,15268.0
393,8006.0,8669.0,14475.0,15553.0
394,11369.0,9232.0,15628.0,15094.0
395,10597.0,10543.0,13842.0,15389.0
396,8089.0,9437.0,15884.0,11959.0
397,8525.0,11840.0,20968.0,6363.0
398,6246.0,18343.0,17091.0,5470.0
399,3393.0,18817.0,7223.0,1173.0
