kbactive,client01,client02,client03,client04
247,16390256.0,15099884.0,17513320.0,16830212.0
248,16402884.0,15099168.0,17513484.0,16830496.0
249,16374152.0,15097644.0,17513632.0,16830460.0
250,16371612.0,15096264.0,17513776.0,16830300.0
251,16382788.0,15094388.0,17513980.0,16830200.0
252,16380908.0,15091660.0,17524392.0,16829864.0
253,16379152.0,15090588.0,17524188.0,16830032.0
254,16402144.0,15089536.0,17524488.0,16830248.0
255,16388928.0,15088076.0,17526588.0,16830876.0
256,16377324.0,15086920.0,17526696.0,16831264.0
257,16375360.0,15085120.0,17526852.0,16831348.0
258,16373464.0,15083008.0,17527032.0,16831508.0
259,16371924.0,15083236.0,17527180.0,16831692.0
260,16369840.0,15082184.0,17527192.0,16831900.0
261,16410976.0,15079260.0,17527440.0,16832408.0
262,16386848.0,15079780.0,17527568.0,16832364.0
263,16382240.0,15079640.0,17527728.0,16832524.0
264,16380844.0,15078736.0,17527764.0,16832580.0
265,16379192.0,15078140.0,17527928.0,16830896.0
266,16377788.0,15076212.0,17528008.0,16831164.0
267,16392400.0,15076352.0,17528252.0,16831484.0
268,16404468.0,15077872.0,17528348.0,16832004.0
269,16376520.0,15078168.0,17528400.0,16831788.0
270,16375100.0,15077904.0,17528552.0,16831660.0
271,16380808.0,15076624.0,17528616.0,16831656.0
272,16387600.0,15075884.0,17530824.0,16831760.0
273,16385116.0,15073248.0,17530932.0,16829952.0
274,16408816.0,15073020.0,17531144.0,16829184.0
275,16389276.0,15072168.0,17531220.0,16827632.0
276,16383980.0,15072608.0,17531332.0,16827072.0
277,16382240.0,15071668.0,17531436.0,16825172.0
278,16379864.0,15070320.0,17531584.0,16825136.0
279,16379676.0,15070132.0,17531676.0,16827348.0
280,16378396.0,15069888.0,17531852.0,16827440.0
281,16409868.0,15070232.0,17531936.0,16827904.0
282,16384580.0,15071028.0,17532172.0,16828392.0
283,16380284.0,15071276.0,17532304.0,16828664.0
284,16379916.0,15071244.0,17532484.0,16828752.0
285,16378408.0,15071384.0,17532412.0,16831012.0
286,16376552.0,15071512.0,17532648.0,16830144.0
287,16394532.0,15071900.0,17535032.0,16830068.0
288,16404208.0,15073384.0,17534940.0,16828524.0
289,16376464.0,15074484.0,17535180.0,16827764.0
290,16378144.0,15074584.0,17537384.0,16825032.0
291,16374656.0,15074696.0,17537536.0,16822176.0
292,16373376.0,15074920.0,17537612.0,16818448.0
293,16373872.0,15075080.0,17537704.0,16817016.0
294,16400212.0,15077468.0,17537896.0,16815868.0
295,16379708.0,15078688.0,17538072.0,16814024.0
296,16375352.0,15079416.0,17538268.0,16811680.0
297,16375172.0,15079396.0,17538416.0,16809932.0
298,16373356.0,15079620.0,17538684.0,16808344.0
299,16371636.0,15079708.0,17536564.0,16806424.0
300,16385940.0,15079856.0,17536708.0,16805332.0
301,16392980.0,15080972.0,17536804.0,16805168.0
302,16370836.0,15081708.0,17536852.0,16803972.0
303,16366720.0,15081600.0,17537044.0,16801376.0
304,16365092.0,15079892.0,17537096.0,16799532.0
305,16363316.0,15079764.0,17537108.0,16798052.0
306,16361420.0,15079508.0,17537120.0,16796196.0
307,16378060.0,15079812.0,17537488.0,16794836.0
308,16380656.0,15080396.0,17537568.0,16793068.0
309,16357752.0,15083372.0,17537592.0,16790808.0
310,16355864.0,15083032.0,17537756.0,16789432.0
311,16354144.0,15082912.0,17537884.0,16787508.0
312,16352932.0,15083144.0,17538100.0,16785232.0
313,16351740.0,15083104.0,17538340.0,16783960.0
314,16378772.0,15083164.0,17538444.0,16783320.0
315,16354684.0,15084204.0,17538424.0,16782652.0
316,16350892.0,15085232.0,17538652.0,16780624.0
317,16350708.0,15085404.0,17538776.0,16779256.0
318,16350272.0,15085348.0,17538696.0,16777828.0
319,16348832.0,15085416.0,17539104.0,16775104.0
320,16356276.0,15085388.0,17539112.0,16773584.0
321,16378432.0,15086348.0,17539156.0,16772308.0
322,16355016.0,15086596.0,17539136.0,16770420.0
323,16353200.0,15086404.0,17539440.0,16768436.0
324,16352912.0,15086264.0,17539608.0,16766036.0
325,16352852.0,15084528.0,17539880.0,16764788.0
326,16352604.0,15083796.0,17539916.0,16762520.0
327,16373216.0,15084148.0,17539956.0,16761544.0
328,16371264.0,15085000.0,17539980.0,16759468.0
329,16351020.0,15085964.0,17540076.0,16757540.0
330,16350148.0,15085976.0,17540340.0,16755100.0
331,16348700.0,15086188.0,17540568.0,16753696.0
332,16348060.0,15086252.0,17540700.0,16751812.0
333,16346592.0,15086472.0,17540696.0,16750300.0
334,16370740.0,15087008.0,17540932.0,16747620.0
335,16351500.0,15087444.0,17541080.0,16746404.0
336,16347428.0,15087764.0,17541236.0,16744056.0
337,16347724.0,15087784.0,17541220.0,16742276.0
338,16347540.0,15087844.0,17541412.0,16740396.0
339,16347684.0,15085808.0,17541608.0,16738644.0
340,16365364.0,15085884.0,17541604.0,16737124.0
341,16382224.0,15086700.0,17541784.0,16736004.0
342,16356684.0,15089416.0,17541844.0,16734204.0
343,16355776.0,15089104.0,17542108.0,16732640.0
344,16355932.0,15089480.0,17542344.0,16730328.0
345,16355968.0,15089276.0,17542352.0,16728760.0
346,16356140.0,15089500.0,17542456.0,16726412.0
347,16377544.0,15089176.0,17542544.0,16725780.0
348,16375372.0,15088308.0,17542620.0,16725676.0
349,16358076.0,15088056.0,17544912.0,16723884.0
350,16358188.0,15087320.0,17545032.0,16722448.0
351,16358248.0,15087484.0,17545096.0,16720344.0
352,16358912.0,15087568.0,17545244.0,16718008.0
353,16358832.0,15087660.0,17545516.0,16716504.0
354,16384088.0,15087856.0,17545604.0,16715048.0
355,16364048.0,15088916.0,17545608.0,16712784.0
356,16361192.0,15089292.0,17545972.0,16711408.0
357,16361008.0,15089256.0,17545956.0,16709448.0
358,16360912.0,15089448.0,17546028.0,16707164.0
359,16361088.0,15089084.0,17546256.0,16707308.0
360,16378724.0,15089236.0,17546328.0,16707380.0
361,16387976.0,15088236.0,17546772.0,16706736.0
362,16363020.0,15086680.0,17546728.0,16705264.0
363,16362632.0,15086540.0,17546840.0,16702988.0
364,16364444.0,15083040.0,17547032.0,16701184.0
365,16362852.0,15081712.0,17547076.0,16700504.0
366,16362016.0,15079272.0,17547232.0,16700384.0
367,16386436.0,15077712.0,17547340.0,16699776.0
368,16376516.0,15076372.0,17547400.0,16697516.0
369,16367440.0,15074880.0,17547604.0,16697008.0
370,16366988.0,15073320.0,17547672.0,16694700.0
371,16367072.0,15071392.0,17547876.0,16692632.0
372,16367224.0,15069584.0,17548068.0,16691132.0
373,16366636.0,15068304.0,17548004.0,16687992.0
374,16394912.0,15066668.0,17548192.0,16690092.0
375,16371992.0,15066200.0,17548276.0,16689556.0
376,16368372.0,15064680.0,17548464.0,16688428.0
377,16368560.0,15062368.0,17548728.0,16686560.0
378,16368336.0,15060428.0,17548732.0,16685212.0
379,16366284.0,15058560.0,17548768.0,16684604.0
380,16384876.0,15056768.0,17549108.0,16684956.0
381,16397204.0,15055560.0,17549024.0,16683576.0
382,16371380.0,15054456.0,17549152.0,16682520.0
383,16371076.0,15052208.0,17549332.0,16681264.0
384,16371408.0,15050568.0,17549420.0,16680132.0
385,16371408.0,15048320.0,17549536.0,16678956.0
386,16371588.0,15046448.0,17549804.0,16677852.0
387,16394620.0,15044384.0,17550020.0,16676860.0
388,16379712.0,15044116.0,17550108.0,16676164.0
389,16373484.0,15042248.0,17550088.0,16675572.0
390,16373948.0,15038612.0,17550284.0,16674884.0
391,16374056.0,15036496.0,17550312.0,16674700.0
392,16374184.0,15034748.0,17550432.0,16674856.0
393,16374256.0,15032740.0,17550676.0,16675100.0
394,16401916.0,15031452.0,17550972.0,16675552.0
395,16379064.0,15032660.0,17550896.0,16675664.0
396,16375480.0,15030764.0,17551004.0,16675800.0
397,16364344.0,15028888.0,17551292.0,16675348.0
398,16321640.0,15026992.0,17551352.0,16675356.0
399,16246292.0,15025288.0,17551364.0,16675160.0
