%idle,client01,client02,client03,client04
279,92.59,95.55,93.71,94.59
280,96.6,87.88,93.8,73.5
281,69.61,86.64,75.76,82.09
282,95.74,82.78,93.58,94.33
283,97.51,94.9,94.38,94.43
284,92.45,95.28,94.44,94.18
285,96.49,91.11,93.98,94.46
286,97.5,94.55,93.96,94.71
287,96.29,94.93,94.06,69.07
288,68.6,73.33,74.41,93.8
289,94.77,94.81,93.75,88.6
290,96.7,92.98,93.96,91.98
291,97.63,94.8,94.21,94.56
292,97.65,95.69,93.7,94.48
293,97.55,95.2,93.91,93.43
294,78.25,95.58,77.79,70.15
295,85.52,71.93,90.45,94.06
296,97.65,94.28,94.38,94.21
297,97.33,95.25,94.31,94.23
298,97.58,94.95,94.21,94.46
299,95.33,95.53,93.96,94.46
300,96.98,93.9,93.96,68.31
301,71.06,84.18,76.65,83.43
302,95.94,84.97,94.08,94.53
303,97.68,95.85,93.81,94.36
304,93.87,95.35,94.21,94.64
305,95.71,89.58,93.93,94.51
306,97.41,93.54,94.01,94.41
307,95.15,94.87,93.68,68.35
308,68.66,73.04,75.41,93.8
309,90.96,94.64,93.28,94.31
310,92.66,87.52,93.88,94.63
311,97.38,93.88,94.36,94.18
312,97.03,94.93,94.38,94.08
313,97.73,95.29,94.64,90.14
314,74.95,95.2,80.15,62.66
315,86.21,72.01,90.0,88.65
316,97.53,94.02,94.11,94.64
317,97.08,95.21,94.28,94.48
318,97.61,95.38,94.25,94.13
319,96.32,95.25,94.49,93.91
320,96.96,93.36,94.31,71.25
321,67.24,81.44,74.15,91.08
322,95.62,87.04,93.73,94.38
323,97.4,95.1,94.11,94.21
324,94.76,95.64,94.31,93.91
325,96.21,94.52,94.46,94.16
326,97.23,95.69,94.23,94.18
327,94.98,95.87,93.3,69.55
328,68.33,72.6,75.21,93.91
329,95.05,94.91,93.78,94.61
330,97.43,94.53,94.33,94.28
331,97.26,95.89,94.26,94.33
332,97.2,95.72,94.38,94.21
333,97.72,95.8,94.33,89.74
334,72.99,95.01,75.69,73.12
335,90.54,72.44,92.58,94.06
336,97.18,94.68,94.38,94.31
337,97.35,95.52,94.01,94.01
338,97.58,95.84,94.08,94.38
339,94.61,95.37,94.16,94.21
340,94.97,90.88,93.91,69.55
341,68.42,75.37,74.56,93.26
342,95.97,91.75,93.83,94.03
343,97.28,95.8,94.13,93.81
344,92.21,95.31,93.83,94.33
345,90.89,89.18,93.93,94.31
346,97.01,93.76,94.26,94.41
347,93.46,95.33,91.98,62.04
348,71.9,74.75,78.86,86.52
349,93.66,94.94,93.65,94.59
350,96.71,92.09,94.16,94.38
351,97.53,95.01,94.26,94.48
352,97.2,95.52,94.13,94.31
353,97.26,96.26,94.06,86.13
354,69.96,93.73,74.65,76.69
355,91.96,73.59,93.53,94.36
356,97.21,95.57,94.36,94.31
357,97.21,96.19,94.73,94.36
358,97.33,96.11,94.23,94.08
359,95.82,96.01,93.93,94.41
360,95.34,93.92,94.13,69.3
361,67.87,73.8,74.32,93.96
362,96.1,94.17,94.06,94.59
363,97.11,95.72,94.16,94.81
364,94.88,95.48,94.08,94.59
365,96.9,92.91,94.08,94.41
366,97.43,95.48,94.03,94.36
367,88.4,95.74,86.26,69.12
368,74.91,72.7,81.49,94.33
369,94.99,94.88,93.73,94.38
370,97.2,93.73,94.06,94.31
371,97.33,95.75,94.23,94.41
372,97.3,95.56,94.21,94.56
373,97.31,95.94,94.31,77.09
374,67.87,91.53,76.93,74.16
375,91.42,74.0,93.96,92.73
376,97.0,91.58,94.08,94.56
377,96.95,95.31,93.98,94.79
378,97.41,95.75,94.03,94.33
379,92.99,95.45,94.41,94.41
380,92.66,89.51,94.38,68.87
381,67.52,71.66,74.53,93.93
382,96.82,94.42,94.26,94.56
383,97.6,95.71,94.66,94.01
384,94.95,95.96,94.18,93.98
385,97.02,92.73,94.1,94.53
386,97.73,94.1,94.74,94.26
387,86.49,95.58,85.58,68.46
388,75.93,72.81,82.44,94.21
389,94.97,95.17,94.23,94.33
390,96.92,94.64,94.23,94.26
391,97.8,94.56,94.36,94.44
392,97.2,95.54,94.33,94.28
393,97.75,95.53,94.13,76.72
394,65.12,87.98,74.92,86.27
395,94.92,79.14,94.03,94.06
396,97.7,94.95,93.91,94.79
397,97.12,95.25,93.23,94.66
398,96.49,92.79,92.65,95.49
399,95.95,91.11,95.39,97.87
