wMB/s,aceph01,aceph02,aceph03,aceph04
249,2.607,2.3,2.305,2.324
250,2.79,2.043,2.095,2.162
251,2.584,2.016,2.045,2.014
252,2.525,2.257,2.189,2.946
253,2.226,2.182,1.805,2.449
254,2.351,2.586,1.963,2.388
255,2.272,2.341,1.97,2.367
256,2.147,2.265,1.854,2.422
257,2.163,2.658,2.195,2.412
258,2.329,2.635,1.839,2.583
259,1.814,1.844,1.69,2.172
260,2.285,2.073,1.934,2.608
261,2.006,1.975,1.603,2.697
262,2.166,2.25,1.793,2.214
263,2.393,2.304,2.465,2.711
264,1.817,2.692,2.244,2.891
265,2.207,2.508,2.246,2.856
266,2.109,2.219,2.226,3.156
267,1.794,2.1,2.18,2.671
268,2.089,2.001,1.916,3.083
269,2.279,1.791,3.281,2.186
270,2.745,1.975,2.92,2.191
271,2.443,1.978,2.504,1.803
272,2.321,1.84,2.681,2.169
273,2.097,1.862,2.302,1.669
274,2.627,1.696,2.179,1.749
275,2.637,2.368,2.181,1.62
276,2.718,2.184,2.277,2.181
277,2.821,2.457,2.886,2.146
278,2.708,2.251,2.475,2.319
279,2.634,2.292,2.285,2.317
280,2.447,2.192,2.348,2.142
281,2.151,2.112,2.22,2.257
282,2.103,2.139,2.537,2.276
283,2.305,2.597,2.037,2.566
284,2.046,2.306,2.009,2.246
285,2.062,2.373,1.92,2.158
286,1.949,2.61,1.931,1.728
287,1.892,2.22,1.7,2.003
288,1.813,2.286,1.858,1.941
289,2.0,1.982,1.534,1.972
290,1.961,1.872,1.503,1.888
291,2.218,1.694,1.642,2.125
292,2.507,1.57,1.846,1.981
293,2.383,2.093,2.164,2.136
294,2.28,2.795,2.577,2.461
295,1.798,3.316,2.179,2.197
296,2.252,3.492,2.225,2.257
297,2.234,3.553,2.068,2.433
298,2.336,3.079,2.316,2.23
299,1.994,3.184,3.107,2.589
300,2.818,2.561,3.25,2.22
301,2.642,2.021,3.006,1.888
302,2.497,2.193,2.727,2.124
303,2.446,2.742,2.237,2.289
304,2.171,2.272,2.005,2.141
305,2.099,2.605,2.141,2.021
306,2.132,2.394,2.253,2.32
307,2.405,2.528,2.492,2.359
308,2.632,2.306,2.444,1.968
309,2.03,2.529,2.576,2.011
310,2.004,2.424,2.111,1.735
311,2.018,2.32,1.867,1.713
