kbmemfree,client01,client02,client03,client04
356,112591788.0,40010648.0,36689368.0,46454412.0
357,112591548.0,40010428.0,36689820.0,46456764.0
358,112592460.0,40009984.0,36689328.0,46458872.0
359,112593988.0,40009252.0,36689144.0,46458568.0
360,112573920.0,40009212.0,36688628.0,46459196.0
361,112549912.0,40010048.0,36688132.0,46459900.0
362,112587648.0,40011940.0,36689112.0,46461452.0
363,112585604.0,40012936.0,36688188.0,46463384.0
364,112585704.0,40015108.0,36688100.0,46465228.0
365,112588652.0,40016132.0,36688196.0,46465696.0
366,112590280.0,40018612.0,36687656.0,46466108.0
367,112553540.0,40020920.0,36687176.0,46467268.0
368,112570676.0,40022368.0,36686608.0,46470428.0
369,112581432.0,40022864.0,36687188.0,46470760.0
370,112581576.0,40025480.0,36686984.0,46472928.0
371,112582428.0,40027336.0,36686760.0,46474440.0
372,112584284.0,40027984.0,36686692.0,46475984.0
373,112586060.0,40029028.0,36686740.0,46477236.0
374,112545936.0,40031552.0,36686144.0,46476844.0
375,112573868.0,40032624.0,36685884.0,46477992.0
376,112580532.0,40034508.0,36685948.0,46478376.0
377,112580100.0,40035792.0,36685648.0,46479664.0
378,112581280.0,40037360.0,36685844.0,46481244.0
379,112583036.0,40040288.0,36685716.0,46482036.0
380,112566184.0,40041584.0,36685108.0,46481780.0
381,112542076.0,40043156.0,36685192.0,46483032.0
382,112577948.0,40044924.0,36684792.0,46483292.0
383,112578296.0,40047188.0,36684948.0,46485248.0
384,112578136.0,40046680.0,36685192.0,46487108.0
385,112581100.0,40048488.0,36684812.0,46487888.0
386,112582000.0,40050264.0,36684264.0,46488800.0
387,112543872.0,40052920.0,36684604.0,46490152.0
388,112565964.0,40054496.0,36684492.0,46491180.0
389,112577180.0,40055940.0,36684804.0,46491956.0
390,112576960.0,40058752.0,36685044.0,46491948.0
391,112578116.0,40061344.0,36684540.0,46492064.0
392,112580180.0,40062848.0,36683844.0,46492028.0
393,112581308.0,40064316.0,36683452.0,46491256.0
394,112539960.0,40062864.0,36683704.0,46490524.0
395,112568204.0,40064620.0,36683628.0,46490440.0
396,112573876.0,40065092.0,36682496.0,46489984.0
397,112590212.0,40067988.0,36682956.0,46490664.0
398,112649796.0,40069548.0,36683124.0,46490884.0
399,112763568.0,40071796.0,36681756.0,46490492.0
