rxkB/s,aceph01,aceph02,aceph03,aceph04
245,14440.1,13786.3,13892.6,13874.7
246,14222.5,13227.2,13555.6,13079.1
247,12785.9,12940.6,13758.5,13700.9
248,15165.6,13852.9,13832.2,13548.4
249,14065.1,13112.9,13386.1,13550.0
250,13237.4,13298.3,13204.6,14300.4
251,14316.5,13997.5,14168.6,13598.3
252,13780.7,13319.6,13752.1,14288.5
253,14347.0,13691.8,14128.6,14259.6
254,14443.1,13837.7,14187.1,13969.8
255,14022.9,14062.2,13581.4,13891.1
256,14484.7,13917.3,14236.6,13715.7
257,14018.7,13501.1,13841.8,14107.1
258,14893.2,13341.4,13946.0,13968.4
259,14148.0,13690.4,13705.2,13559.2
260,13778.5,13020.8,13286.3,13885.2
261,14392.8,13709.3,13903.7,13478.3
262,13452.8,13470.3,13528.0,13076.1
263,14935.5,13427.4,13514.3,13896.3
264,14383.8,13906.2,14036.6,13756.0
265,13683.2,13590.0,13683.1,13898.9
266,14340.6,13159.7,13862.2,14101.8
267,13408.4,13561.0,14135.6,13417.3
268,14490.5,13436.7,13221.4,13689.2
269,14305.4,13508.4,13925.9,13656.5
270,14126.2,13560.0,13690.6,13840.8
271,13927.0,13226.6,13564.4,13517.1
272,13327.4,13479.3,14207.5,13662.7
273,14243.2,13869.7,13718.5,13499.7
274,14380.8,13137.2,13318.3,13362.4
275,13609.3,13544.0,14223.4,14054.1
276,14334.4,14034.6,13901.7,13618.6
277,13899.8,13534.2,13342.8,14504.4
278,14587.6,13860.5,14148.9,13735.4
279,14138.3,13630.8,13781.2,13858.0
280,14721.7,13284.4,13383.8,13694.8
281,14323.5,13996.3,14038.4,13617.0
282,13590.3,13855.2,13493.2,13786.1
283,14710.7,13128.6,14320.9,13672.4
284,13882.0,12964.3,13665.4,13430.6
285,14171.0,13196.6,13198.7,13582.3
286,13877.7,13365.4,13868.2,13439.5
287,13040.1,13105.1,12927.9,13484.4
288,14448.3,14219.5,14150.4,14056.0
289,14984.0,13759.0,13959.4,13265.0
290,13710.9,12928.9,13056.4,13924.2
291,14652.7,13586.2,13622.8,13641.2
292,13470.9,13729.4,13367.2,13490.1
293,14360.6,13336.0,13462.4,13782.6
294,14558.6,14146.3,13508.4,13696.0
295,13925.1,12978.8,13442.6,13130.1
296,13879.8,13033.6,13241.8,14308.9
297,13966.7,13362.8,13861.0,14012.5
298,14673.9,13568.4,14204.2,13652.4
299,14335.1,13340.1,12976.6,13599.0
300,13960.0,13133.0,13473.5,13454.3
301,14453.0,13009.0,13659.2,12878.4
302,13562.0,12891.6,13315.3,13042.0
303,13927.4,12751.6,13254.1,13698.3
304,14853.1,13416.4,13894.7,14183.2
305,13956.2,13417.2,13810.7,13810.5
306,13533.8,13037.0,13150.9,13713.9
307,13975.3,14004.7,13930.9,13499.4
308,15133.3,13755.0,14591.1,13584.6
309,14066.4,13154.4,13821.0,13467.1
310,13828.3,14033.8,14210.8,14541.1
311,14976.9,13492.9,13780.0,13321.9
312,13745.5,13290.8,13284.7,13821.4
313,14505.0,13983.8,13929.7,13491.2
314,14684.0,13633.5,14016.3,13576.5
315,13884.4,13106.6,13718.5,13801.0
316,14316.4,14124.6,13972.2,13517.6
317,14213.8,13345.8,13384.9,13411.2
318,14431.2,13407.0,13770.3,13872.9
319,15022.8,13585.4,14150.9,13343.9
320,14033.6,12955.5,13410.3,13996.6
321,14396.6,13822.0,13863.9,14182.2
322,13708.8,13798.2,13764.7,13000.2
323,14435.7,13267.2,13314.3,13551.3
324,14959.9,14036.0,13802.0,13368.7
325,14108.4,13940.7,13757.2,13453.4
326,13991.9,13324.8,13501.4,14191.5
327,13302.5,13456.3,14204.9,13574.4
328,15348.9,13563.2,13690.5,13288.5
329,14327.3,13372.0,13714.8,14328.7
330,13956.8,13554.3,13443.7,13802.7
331,13894.8,13473.6,13823.1,13676.2
332,13187.2,13338.9,13672.7,13369.8
333,14041.4,13588.5,14022.9,13447.6
334,13984.8,13225.4,13414.5,13516.5
335,13371.6,12549.0,12925.2,13414.1
336,14241.7,13818.2,13961.2,13666.9
337,12874.1,13365.6,13290.0,13795.1
338,14424.8,13467.8,13650.1,13588.9
