svctm,aceph01,aceph02,aceph03,aceph04
257,0.072,0.066,0.091,0.072
258,0.068,0.081,0.09,0.086
259,0.068,0.059,0.081,0.086
260,0.058,0.056,0.079,0.069
261,0.066,0.07,0.082,0.05
262,0.051,0.065,0.089,0.102
263,0.071,0.1,0.089,0.082
264,0.078,0.081,0.098,0.056
265,0.087,0.082,0.062,0.056
266,0.091,0.076,0.058,0.056
267,0.076,0.066,0.093,0.071
268,0.065,0.075,0.072,0.076
269,0.069,0.088,0.064,0.054
270,0.072,0.076,0.064,0.056
271,0.082,0.086,0.073,0.066
272,0.068,0.076,0.068,0.078
273,0.059,0.082,0.085,0.082
274,0.053,0.078,0.068,0.081
275,0.074,0.08,0.075,0.095
276,0.075,0.069,0.041,0.054
277,0.073,0.056,0.088,0.064
278,0.084,0.066,0.064,0.067
279,0.07,0.078,0.045,0.073
280,0.062,0.078,0.067,0.066
281,0.112,0.068,0.095,0.079
282,0.091,0.078,0.077,0.067
283,0.063,0.084,0.068,0.067
284,0.076,0.08,0.074,0.084
285,0.054,0.064,0.061,0.096
286,0.105,0.097,0.068,0.078
287,0.056,0.094,0.08,0.077
288,0.099,0.064,0.072,0.081
289,0.081,0.071,0.076,0.079
290,0.08,0.083,0.058,0.067
291,0.089,0.077,0.065,0.094
292,0.074,0.061,0.047,0.072
293,0.079,0.058,0.092,0.074
294,0.09,0.077,0.086,0.085
295,0.085,0.083,0.109,0.07
296,0.066,0.086,0.049,0.067
297,0.058,0.055,0.054,0.071
298,0.064,0.059,0.08,0.068
299,0.073,0.075,0.065,0.071
300,0.072,0.081,0.044,0.063
301,0.071,0.097,0.094,0.063
302,0.069,0.064,0.09,0.088
303,0.062,0.083,0.072,0.092
304,0.062,0.056,0.096,0.074
305,0.061,0.069,0.063,0.081
306,0.057,0.062,0.069,0.077
307,0.074,0.072,0.077,0.073
308,0.085,0.063,0.057,0.081
309,0.077,0.077,0.061,0.063
310,0.092,0.041,0.089,0.063
311,0.041,0.081,0.084,0.064
312,0.073,0.062,0.08,0.073
313,0.073,0.06,0.092,0.077
314,0.067,0.058,0.056,0.058
315,0.08,0.069,0.071,0.075
316,0.057,0.088,0.049,0.055
317,0.066,0.099,0.064,0.078
318,0.055,0.068,0.056,0.064
319,0.085,0.063,0.083,0.071
320,0.068,0.099,0.052,0.1
321,0.083,0.055,0.064,0.051
322,0.065,0.059,0.068,0.079
323,0.074,0.067,0.068,0.065
324,0.082,0.084,0.069,0.068
325,0.073,0.064,0.067,0.078
326,0.107,0.083,0.1,0.069
327,0.067,0.065,0.056,0.074
328,0.078,0.06,0.089,0.071
329,0.068,0.06,0.077,0.083
330,0.088,0.069,0.074,0.087
331,0.084,0.083,0.057,0.045
332,0.048,0.084,0.052,0.063
333,0.069,0.093,0.074,0.085
334,0.066,0.091,0.062,0.082
335,0.066,0.105,0.086,0.071
336,0.054,0.092,0.073,0.098
337,0.086,0.08,0.09,0.086
338,0.054,0.072,0.059,0.077
339,0.092,0.073,0.084,0.067
340,0.09,0.065,0.075,0.096
341,0.108,0.057,0.073,0.064
342,0.073,0.079,0.093,0.08
343,0.097,0.067,0.088,0.069
344,0.069,0.085,0.067,0.049
345,0.083,0.075,0.082,0.047
346,0.095,0.064,0.078,0.073
347,0.058,0.06,0.053,0.09
348,0.086,0.089,0.061,0.075
349,0.06,0.04,0.085,0.098
350,0.103,0.07,0.105,0.063
351,0.046,0.065,0.085,0.06
352,0.074,0.085,0.092,0.101
353,0.081,0.07,0.069,0.061
354,0.079,0.094,0.067,0.084
355,0.061,0.083,0.067,0.073
356,0.067,0.088,0.074,0.082
357,0.076,0.081,0.071,0.066
358,0.061,0.085,0.062,0.055
359,0.065,0.072,0.07,0.062
360,0.082,0.058,0.076,0.08
361,0.07,0.088,0.091,0.095
362,0.059,0.051,0.082,0.078
363,0.074,0.065,0.101,0.07
364,0.073,0.088,0.086,0.065
365,0.067,0.09,0.054,0.071
366,0.066,0.08,0.083,0.076
367,0.052,0.056,0.071,0.076
368,0.072,0.074,0.064,0.058
369,0.069,0.071,0.08,0.081
370,0.074,0.063,0.074,0.079
371,0.092,0.076,0.07,0.072
372,0.076,0.061,0.055,0.091
373,0.078,0.074,0.053,0.097
374,0.085,0.078,0.105,0.071
375,0.077,0.071,0.084,0.059
376,0.075,0.053,0.071,0.065
377,0.082,0.076,0.073,0.062
378,0.067,0.072,0.094,0.066
379,0.089,0.081,0.078,0.075
380,0.092,0.087,0.062,0.074
381,0.058,0.061,0.068,0.081
382,0.081,0.111,0.072,0.059
383,0.069,0.075,0.103,0.114
384,0.09,0.094,0.087,0.094
385,0.075,0.059,0.062,0.055
386,0.069,0.072,0.085,0.037
387,0.062,0.074,0.064,0.073
388,0.089,0.089,0.092,0.075
389,0.064,0.058,0.091,0.1
390,0.072,0.057,0.079,0.084
391,0.078,0.061,0.102,0.086
392,0.096,0.049,0.082,0.107
393,0.081,0.056,0.077,0.098
394,0.089,0.062,0.072,0.078
395,0.059,0.073,0.05,0.082
396,0.067,0.053,0.069,0.037
397,0.083,0.071,0.055,0.061
398,0.107,0.059,0.064,0.069
399,0.1,0.06,0.058,0.113
