%ifutil,client01,client02,client03,client04
290,3.27,3.61,3.66,3.22
291,3.32,3.39,3.3,3.34
292,3.37,2.89,3.86,3.37
293,3.32,3.2,3.61,10.36
294,15.59,3.75,16.58,10.39
295,5.29,16.56,4.28,3.27
296,3.27,3.73,3.26,3.48
297,3.36,3.41,3.29,3.49
298,3.2,3.31,3.36,3.43
299,3.48,3.12,3.61,3.18
300,3.4,2.92,3.46,16.55
301,17.34,15.45,17.12,4.27
302,3.28,5.2,3.17,3.25
303,3.26,3.24,3.82,3.35
304,3.51,3.45,3.41,3.13
305,2.97,3.47,3.56,3.15
306,3.04,3.93,3.35,3.67
307,4.65,3.71,6.38,17.97
308,15.48,16.95,14.07,3.37
309,3.18,3.55,3.91,3.4
310,3.11,3.6,3.72,3.17
311,2.94,3.72,3.2,3.49
312,2.94,3.98,3.15,3.79
313,2.86,3.68,2.94,13.94
314,15.61,5.14,16.31,6.84
315,5.36,15.61,4.44,4.29
316,3.03,3.64,3.63,3.16
317,2.98,3.89,3.46,3.42
318,2.57,3.85,3.44,3.7
319,2.95,3.36,3.02,3.93
320,3.09,5.06,4.95,18.4
321,16.96,15.48,17.72,5.51
322,3.1,8.49,7.7,7.47
323,3.16,7.82,6.71,6.76
324,2.99,5.44,5.29,5.92
325,3.39,4.02,4.28,4.6
326,3.67,4.36,4.32,4.61
327,5.63,3.39,7.26,17.13
328,15.4,17.29,13.6,3.33
329,3.32,4.98,4.76,4.68
330,3.07,3.73,3.6,3.76
331,3.4,3.41,3.32,3.5
332,3.35,3.37,3.16,3.53
333,3.23,3.32,3.4,14.19
334,15.87,7.63,16.75,6.63
335,4.57,14.14,4.87,4.64
336,2.97,3.57,3.12,3.36
337,3.19,3.78,3.85,4.02
338,3.0,3.45,3.55,3.28
339,3.14,3.44,3.34,3.45
340,3.04,3.75,3.61,17.05
341,16.57,16.69,17.29,3.96
342,3.04,4.22,3.23,3.6
343,3.17,3.13,3.49,3.31
344,3.32,3.57,3.61,3.26
345,2.99,3.75,3.64,3.28
346,3.12,3.69,3.46,3.26
347,10.69,3.83,9.12,16.51
348,10.21,17.08,11.91,3.94
349,3.37,3.31,3.51,3.32
350,3.05,3.53,3.38,3.36
351,3.17,3.67,3.3,3.35
352,3.22,3.51,3.39,3.47
353,3.32,4.05,4.51,15.51
354,16.2,9.91,17.1,6.77
355,4.17,11.58,4.01,3.27
356,3.11,3.29,3.41,3.57
357,3.08,3.39,3.07,3.51
358,3.27,3.36,3.44,3.5
359,3.32,3.1,3.57,3.36
360,3.34,3.5,3.4,17.17
361,17.08,16.78,17.42,3.56
362,3.49,4.0,3.19,3.23
363,3.58,3.36,3.56,2.89
364,3.19,3.79,3.39,3.05
365,3.09,3.69,3.42,3.2
366,3.11,3.51,3.46,3.24
367,13.98,3.47,14.16,17.27
368,7.3,18.78,8.42,4.28
369,3.2,6.41,6.73,6.45
370,2.95,7.52,8.08,7.93
371,3.43,5.46,5.64,4.19
372,3.36,4.86,3.49,4.6
373,3.28,5.43,5.42,17.13
374,16.71,9.89,16.99,5.46
375,4.28,11.88,4.46,4.4
376,3.21,3.79,3.94,3.59
377,3.26,4.07,3.97,3.37
378,2.89,3.76,3.55,3.42
379,3.18,3.48,3.0,3.47
380,3.48,4.42,4.16,18.5
381,17.17,17.25,17.28,3.51
382,2.89,4.02,2.97,3.21
383,3.31,4.52,3.98,4.65
384,2.85,3.66,3.82,4.01
385,3.18,3.56,3.64,3.29
386,2.92,3.77,2.95,3.53
387,14.04,3.24,14.66,17.68
388,7.54,17.03,6.39,3.23
389,3.38,4.43,4.29,4.34
390,3.23,3.34,3.48,3.63
391,3.1,3.19,3.21,3.43
392,3.22,3.63,3.23,3.53
393,3.1,3.39,3.36,15.41
394,16.98,13.72,17.15,5.64
395,3.47,8.15,4.25,4.62
396,3.12,3.64,3.73,2.65
397,3.16,4.77,5.0,4.27
398,5.78,7.99,4.63,3.86
399,3.15,8.44,5.05,0.78
