%commit,aceph01,aceph02,aceph03,aceph04
329,42.59,41.35,41.79,42.34
330,42.59,41.33,41.84,42.26
331,42.59,41.3,41.77,42.26
332,42.58,41.31,41.82,42.31
333,42.52,41.36,41.84,42.28
334,42.55,41.35,41.81,42.32
335,42.57,41.4,41.76,42.26
336,42.53,41.36,41.79,42.25
337,42.61,41.38,41.76,42.3
338,42.54,41.4,41.78,42.27
339,42.53,41.33,41.76,42.24
340,42.58,41.34,41.71,42.26
341,42.55,41.34,41.84,42.26
342,42.54,41.36,41.79,42.27
343,42.61,41.35,41.76,42.27
344,42.55,41.35,41.78,42.26
345,42.57,41.31,41.83,42.23
346,42.57,41.38,41.82,42.28
347,42.54,41.4,41.76,42.25
348,42.58,41.32,41.76,42.27
349,42.55,41.36,41.74,42.24
350,42.51,41.33,41.78,42.24
351,42.59,41.33,41.75,42.29
352,42.51,41.38,41.76,42.26
353,42.58,41.35,41.78,42.28
354,42.52,41.32,41.8,42.31
355,42.55,41.32,41.79,42.28
356,42.6,41.32,41.81,42.25
357,42.57,41.33,41.8,42.29
358,42.59,41.38,41.82,42.24
359,42.63,41.35,41.79,42.25
360,42.57,41.3,41.82,42.32
361,42.57,41.3,41.76,42.3
362,42.61,41.27,41.81,42.29
363,42.6,41.35,41.8,42.28
364,42.56,41.34,41.81,42.26
365,42.58,41.3,41.81,42.27
366,42.58,41.35,41.79,42.29
367,42.59,41.37,41.79,42.22
368,42.53,41.36,41.81,42.31
369,42.55,41.36,41.76,42.28
370,42.59,41.36,41.81,42.29
371,42.59,41.33,41.81,42.37
372,42.56,41.36,41.81,42.31
373,42.61,41.36,41.82,42.33
374,42.59,41.32,41.76,42.31
375,42.61,41.32,41.81,42.32
376,42.62,41.34,41.8,42.27
377,42.56,41.33,41.78,42.23
378,42.58,41.38,41.83,42.33
379,42.58,41.32,41.79,42.36
380,42.55,41.28,41.81,42.29
381,42.62,41.35,41.8,42.29
382,42.59,41.31,41.76,42.3
383,42.6,41.32,41.79,42.38
384,42.62,41.35,41.81,42.34
385,42.53,41.36,41.75,42.27
386,42.57,41.33,41.74,42.29
387,42.57,41.34,41.81,42.31
388,42.61,41.34,41.79,42.3
389,42.57,41.37,41.75,42.35
390,42.58,41.36,41.8,42.26
391,42.58,41.32,41.77,42.3
392,42.54,41.37,41.78,42.33
393,42.56,41.31,41.8,42.27
394,42.63,41.35,41.82,42.26
395,42.57,41.31,41.78,42.26
396,42.6,41.41,41.85,42.3
397,42.54,41.35,41.79,42.29
398,42.58,41.36,41.78,42.31
399,42.65,41.33,41.83,42.27
