kbactive,aceph01,aceph02,aceph03,aceph04
202,13289880.0,13329744.0,13134572.0,13107444.0
203,13219988.0,13350280.0,13155648.0,13116660.0
204,13230684.0,13365960.0,13156920.0,13088752.0
205,13250024.0,13335480.0,13135396.0,13115148.0
206,13222256.0,13344688.0,13165416.0,13103488.0
207,13253692.0,13371936.0,13172264.0,13085476.0
208,13210344.0,13353764.0,13153532.0,13124084.0
209,13227396.0,13348688.0,13177440.0,13119132.0
210,13238500.0,13380272.0,13170284.0,13103164.0
211,13207092.0,13358872.0,13146560.0,13124764.0
212,13235200.0,13380440.0,13178104.0,13090360.0
213,13236004.0,13386560.0,13156852.0,13113840.0
214,13208776.0,13355984.0,13160432.0,13125680.0
215,13241716.0,13352696.0,13180196.0,13097244.0
216,13210600.0,13370192.0,13172396.0,13154484.0
217,13252836.0,13353544.0,13208456.0,13121320.0
218,13266332.0,13375028.0,13199588.0,13106432.0
219,13233340.0,13385188.0,13156832.0,13121488.0
220,13251356.0,13361844.0,13195656.0,13110204.0
221,13242780.0,13399908.0,13190584.0,13100688.0
222,13230564.0,13393028.0,13151088.0,13121572.0
223,13295468.0,13368272.0,13188736.0,13103936.0
224,13271280.0,13399728.0,13190160.0,13113492.0
225,13252252.0,13383272.0,13178368.0,13126592.0
226,13295664.0,13383820.0,13203700.0,13091552.0
227,13265712.0,13423648.0,13157520.0,13109156.0
228,13248944.0,13368176.0,13151180.0,13132100.0
229,13282096.0,13374192.0,13173628.0,13114848.0
230,13265092.0,13412084.0,13155188.0,13153344.0
231,13296124.0,13378560.0,13153780.0,13145264.0
232,13280308.0,13385532.0,13198560.0,13130028.0
233,13262732.0,13426896.0,13174996.0,13167076.0
234,13271468.0,13398496.0,13160256.0,13133908.0
235,13257212.0,13402020.0,13175160.0,13132620.0
236,13281484.0,13427164.0,13165216.0,13145960.0
237,13303968.0,13394108.0,13151112.0,13110652.0
238,13257928.0,13397096.0,13183964.0,13161380.0
239,13286896.0,13431132.0,13179468.0,13124024.0
240,13271740.0,13421016.0,13164420.0,13117828.0
241,13265224.0,13438964.0,13217084.0,13156116.0
242,13294756.0,13488544.0,13187460.0,13107372.0
243,13247948.0,13432124.0,13162412.0,13147520.0
244,13281264.0,13431036.0,13169316.0,13153772.0
245,13272484.0,13473644.0,13189652.0,13123984.0
246,13235288.0,13432640.0,13162196.0,13123072.0
247,13290912.0,13439960.0,13187592.0,13124844.0
248,13274408.0,13486656.0,13199920.0,13097636.0
249,13269208.0,13415096.0,13189924.0,13139768.0
250,13298456.0,13420164.0,13198740.0,13125372.0
251,13266616.0,13429180.0,13203200.0,13114668.0
252,13278048.0,13407452.0,13173392.0,13154688.0
