%usr,aceph01,aceph02,aceph03,aceph04
82,90.6,89.61,89.4,87.84
83,90.25,89.75,89.49,89.36
84,87.52,90.64,89.72,87.89
85,86.89,89.88,88.74,88.61
86,85.46,90.01,88.69,89.14
87,88.26,89.34,88.05,89.39
88,88.9,87.47,87.73,89.38
89,89.85,90.61,90.11,90.34
90,88.96,89.62,89.49,90.61
91,89.0,88.24,90.48,89.12
92,89.28,86.98,89.9,89.5
93,88.82,88.62,90.2,90.38
94,87.67,89.03,89.49,90.36
95,89.0,89.36,87.81,90.88
96,88.6,90.73,89.99,89.74
97,87.98,89.11,88.72,90.36
98,88.88,82.9,89.01,89.38
99,87.98,87.61,88.49,89.5
100,88.89,81.32,89.74,90.12
101,89.74,83.31,89.5,90.0
102,89.62,87.58,89.76,89.26
103,89.25,87.48,89.62,91.15
104,88.08,88.29,89.53,88.54
105,88.64,89.43,89.86,90.31
106,89.24,86.61,89.35,90.75
107,89.89,86.95,90.0,88.89
108,88.88,88.81,89.85,89.36
109,89.76,88.66,89.76,89.0
110,90.23,89.36,88.65,88.74
111,88.76,87.22,89.53,90.5
112,88.16,78.97,90.73,90.26
113,88.61,88.57,89.89,89.85
114,88.75,89.99,89.84,89.75
115,89.24,89.34,89.12,89.71
116,89.21,90.12,88.5,89.39
117,88.38,89.62,90.49,90.11
118,88.74,90.27,89.85,89.47
119,90.49,88.16,88.88,90.11
120,89.12,89.85,89.61,90.11
121,89.11,88.69,88.75,88.6
122,89.75,86.95,89.24,88.85
123,89.99,88.71,89.62,89.26
124,88.5,82.15,89.62,87.31
125,89.88,90.46,91.01,89.17
126,88.01,85.84,88.0,89.24
127,87.11,74.49,89.62,89.24
128,85.41,88.71,89.74,89.61
129,87.38,85.52,88.25,88.89
130,88.64,86.61,90.49,89.72
131,89.6,88.71,88.71,88.61
132,90.0,88.0,89.66,87.89
133,88.86,86.3,89.6,90.23
134,89.22,89.72,90.62,90.62
135,89.61,88.75,89.5,89.62
136,90.75,89.08,89.95,89.22
137,89.24,88.75,89.0,89.75
138,89.5,88.11,88.53,89.36
139,89.84,90.62,89.49,88.75
140,89.88,89.88,82.3,88.38
141,89.36,88.99,88.36,88.88
142,89.26,90.5,87.11,91.23
143,90.0,89.38,86.02,91.39
144,89.71,89.62,89.61,90.61
145,89.12,88.75,89.34,90.38
146,90.64,90.23,88.19,90.1
147,90.24,89.89,87.97,89.28
148,89.61,91.24,88.74,88.28
149,90.75,88.75,88.74,89.22
150,90.5,87.7,89.11,89.36
151,90.64,88.35,88.21,89.76
152,89.1,87.52,87.14,90.1
153,90.1,89.85,89.86,89.25
154,89.95,90.11,89.75,87.94
155,89.61,88.75,89.86,91.0
156,89.61,88.83,89.5,88.47
157,88.76,90.15,90.01,89.5
158,89.75,90.25,90.38,87.64
159,89.49,90.88,89.74,89.97
160,88.24,90.36,88.51,88.97
161,88.99,89.75,89.22,88.75
162,88.99,90.5,89.84,90.12
163,87.48,88.47,89.01,90.38
164,89.61,89.0,86.97,89.5
165,90.24,89.97,88.75,90.49
166,90.02,88.6,88.22,89.14
167,90.85,89.88,84.0,88.54
168,89.62,81.49,89.62,89.71
169,89.72,87.47,89.14,89.97
170,88.74,88.93,89.46,88.75
171,90.39,89.75,89.47,89.4
172,89.1,89.35,89.5,89.14
173,89.01,83.88,90.98,88.88
174,88.0,85.95,89.17,90.12
175,87.62,85.71,88.61,89.5
176,88.62,89.72,89.88,88.96
177,89.11,89.85,88.88,88.25
178,88.46,87.42,89.6,87.88
179,88.99,88.15,89.03,86.45
180,89.01,88.64,89.76,86.81
181,88.01,88.89,89.25,88.19
182,88.35,88.86,88.99,86.72
183,87.14,90.12,89.11,89.62
184,87.72,89.99,88.64,88.36
185,88.89,89.1,88.88,89.64
186,90.11,89.66,88.04,90.27
187,88.64,89.99,88.03,88.35
188,88.88,88.61,87.86,90.25
189,88.6,87.3,88.24,91.5
190,88.99,87.95,86.47,90.39
191,88.49,85.32,82.88,89.35
192,89.22,80.75,89.45,91.12
193,87.25,77.35,88.46,90.51
194,88.21,89.22,85.57,89.61
195,88.74,84.05,88.47,89.76
196,89.08,89.46,86.2,89.35
197,90.75,90.86,81.82,87.75
198,89.11,89.11,83.97,89.49
199,88.38,89.61,86.64,89.47
200,90.39,88.75,89.2,90.0
201,89.51,89.21,89.72,88.75
202,90.11,89.24,89.38,89.99
203,89.14,88.36,88.75,89.88
204,88.62,89.47,86.57,89.11
205,89.7,89.62,90.12,88.6
206,88.64,88.5,88.6,87.89
207,89.49,89.38,88.85,88.36
208,88.01,88.75,90.34,88.75
209,89.49,84.62,89.24,90.4
210,89.36,75.22,87.75,89.47
211,91.11,89.07,87.73,90.36
212,88.99,87.22,89.72,91.36
213,89.01,86.5,89.89,88.32
214,89.25,88.47,90.12,90.12
215,88.47,86.12,89.04,89.36
216,89.01,80.63,89.36,90.11
217,89.61,85.23,89.12,88.72
218,88.99,87.73,88.71,89.82
219,87.72,88.46,90.39,87.59
220,89.89,82.27,89.89,88.22
221,89.12,86.47,89.71,89.49
222,88.99,84.61,89.51,89.32
223,89.36,88.49,90.0,90.89
224,89.88,86.61,88.72,90.62
225,90.24,83.73,89.85,90.25
226,87.75,88.11,88.0,89.65
227,89.51,89.12,88.25,89.59
228,88.47,87.97,86.92,88.5
229,89.4,88.81,80.38,89.88
230,87.72,76.6,85.7,90.23
231,89.24,88.36,87.48,89.72
232,89.25,87.77,84.84,90.76
233,88.24,89.47,85.77,89.71
234,85.61,89.86,89.34,90.62
235,86.11,89.08,88.75,89.36
236,87.0,88.72,77.57,89.75
237,88.76,89.36,87.38,90.5
238,88.51,88.74,82.61,88.39
239,87.58,88.74,86.68,88.99
240,89.86,89.62,88.83,90.36
241,87.38,88.75,88.69,89.24
242,86.61,86.47,89.59,89.49
243,86.75,90.46,86.65,89.88
244,85.27,89.11,82.69,89.38
245,84.52,86.62,81.03,89.11
246,85.86,85.89,87.81,89.5
247,86.89,85.91,89.25,89.59
248,88.11,84.82,88.12,89.88
249,86.98,88.28,88.12,89.0
250,87.89,89.12,86.61,88.86
251,89.89,89.74,86.48,88.99
252,89.76,89.39,85.7,87.97
253,89.72,89.61,88.07,89.99
254,88.58,88.78,86.56,88.88
255,90.14,90.24,88.99,88.5
256,89.35,89.74,89.74,90.11
257,90.15,88.38,88.82,90.24
258,89.47,89.7,86.11,91.35
259,89.64,87.62,86.27,90.0
260,89.47,84.49,86.27,89.97
261,89.71,85.57,89.61,88.88
262,88.0,86.5,86.98,89.11
263,87.84,88.76,88.5,88.73
264,88.6,89.99,90.1,89.0
265,88.75,90.61,89.24,88.74
266,89.11,88.89,90.38,89.85
267,89.99,88.15,89.74,90.48
268,90.14,85.5,89.88,89.0
269,88.9,87.91,88.64,90.12
270,90.12,88.36,89.88,89.76
271,89.61,89.21,88.36,89.49
272,87.52,88.11,89.72,89.36
273,90.86,88.38,88.6,88.62
274,88.62,87.64,89.79,89.36
275,88.12,90.75,89.1,89.36
276,88.22,89.12,90.86,91.0
277,88.88,89.49,89.01,91.35
278,89.49,86.93,88.74,89.24
279,88.62,87.36,90.35,90.0
280,88.0,84.17,88.08,89.9
281,88.75,90.38,84.63,89.85
282,88.62,89.12,87.64,90.75
283,88.6,88.05,88.75,89.12
284,89.6,89.91,89.0,89.86
285,88.24,88.49,86.47,90.62
286,89.12,90.12,88.78,89.5
287,89.34,89.0,86.64,89.36
288,88.38,89.39,88.29,89.88
289,88.53,89.5,88.4,89.99
290,88.85,89.51,84.26,89.51
291,89.25,90.49,86.32,88.99
292,90.24,89.49,82.44,88.72
293,89.38,89.25,87.73,88.53
294,89.25,89.76,86.97,89.5
295,89.22,89.9,88.81,90.23
296,88.85,89.75,88.69,89.25
297,88.51,88.46,87.06,89.5
298,89.49,89.0,89.1,89.97
299,88.62,89.51,88.05,88.85
300,89.85,82.58,84.44,89.12
301,90.38,87.86,80.2,85.0
302,90.39,87.95,88.32,89.46
303,89.65,80.9,88.47,88.99
304,89.96,86.48,89.38,89.95
305,88.51,86.67,89.12,89.0
306,89.46,85.46,88.0,90.36
307,89.36,89.85,88.08,87.58
308,88.49,87.7,89.39,88.69
309,89.12,88.62,89.6,89.97
310,90.5,90.14,90.01,89.61
311,90.26,90.12,88.65,89.26
312,90.38,87.59,89.45,90.14
313,90.12,88.93,88.11,89.1
314,89.15,88.49,89.51,89.99
315,89.61,89.0,88.14,88.67
316,89.75,89.97,82.2,89.25
317,89.75,88.65,87.11,88.51
318,90.11,87.95,86.12,89.7
319,89.86,88.64,86.44,88.58
320,89.38,89.38,89.61,88.72
321,89.74,88.26,88.6,90.25
322,89.05,88.35,84.92,91.0
323,90.12,87.23,85.71,89.36
324,89.47,85.79,89.7,88.61
325,89.86,88.67,89.22,88.61
326,88.97,88.82,87.84,89.47
327,89.29,88.47,89.41,88.92
328,89.85,88.72,89.18,89.97
329,91.36,89.71,88.22,89.72
330,88.62,83.81,84.89,90.0
331,87.36,87.64,81.47,88.75
332,87.89,89.28,87.83,90.61
333,88.21,87.98,88.22,89.36
334,87.7,89.36,88.01,89.47
335,87.84,88.38,88.53,88.0
336,89.39,89.76,81.82,90.74
337,86.95,90.45,86.9,89.65
338,88.89,89.12,86.92,89.49
339,90.24,89.01,86.74,90.0
340,88.9,89.01,86.18,89.14
341,90.0,88.94,87.86,91.73
342,90.62,85.18,89.1,88.99
343,88.99,82.62,89.12,90.38
344,89.51,78.23,89.36,90.48
345,90.24,89.28,89.99,88.38
346,89.25,88.49,88.36,86.41
347,90.36,84.6,88.62,87.89
348,88.51,85.68,90.0,89.26
349,89.49,87.17,89.99,89.61
350,88.89,89.43,88.38,88.76
351,89.28,88.24,88.07,89.6
352,89.26,88.28,87.12,89.49
353,90.62,87.62,86.84,89.0
354,88.86,87.73,83.17,89.36
355,90.12,88.21,83.4,88.36
356,90.49,89.46,76.0,89.76
357,89.12,89.14,86.39,89.66
358,90.38,90.61,85.54,89.47
359,89.08,90.39,82.61,89.34
360,88.74,88.75,89.74,88.86
361,89.72,90.48,88.25,89.43
362,89.21,89.39,89.84,89.31
363,88.56,89.91,88.01,90.12
364,91.23,90.52,87.95,90.24
365,88.72,89.36,87.28,89.49
366,89.24,89.0,87.88,89.5
367,88.75,88.72,87.52,91.36
368,88.29,90.86,89.25,91.6
369,88.44,89.14,90.12,88.57
370,87.34,89.6,89.99,88.97
371,89.69,89.88,88.97,88.24
372,87.84,89.36,89.25,90.11
373,88.62,89.55,88.99,89.39
374,89.36,82.83,89.6,88.71
375,89.39,85.46,88.11,89.11
376,90.46,85.34,89.76,88.0
377,89.53,89.62,90.24,88.06
378,89.64,89.61,90.14,87.56
379,89.68,87.72,90.1,90.26
380,89.57,88.88,88.71,90.12
381,89.81,90.12,87.98,89.14
382,88.74,89.82,88.4,90.29
383,87.89,89.26,89.71,90.38
384,88.88,90.01,88.72,91.0
385,90.98,89.86,89.24,88.72
386,88.78,89.49,89.25,90.02
387,90.74,88.94,87.66,89.47
388,90.01,89.35,88.97,88.11
389,89.62,90.38,88.97,88.86
390,89.49,88.74,89.39,89.65
391,90.75,88.38,89.75,89.25
392,89.99,87.25,90.85,89.12
393,89.99,80.93,88.9,90.25
394,89.75,83.98,90.24,90.39
395,89.66,85.64,88.86,90.73
396,88.96,89.0,88.22,89.5
397,89.65,89.39,88.0,88.88
398,89.22,80.95,85.7,87.59
399,88.72,72.08,71.61,35.26
