op_queue_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
16,83556,51420,257095,38566,57847,93559,19284,83554,32136,44992,0,6427,89988,19282,57847,57852,0,25708,57845,19282,0,189972,12855,6427,38564,57850,25709,0,0,32139,38564,102841,64276,12855,12855,32138,6428,12855,0,12855
17,89983,70699,64271,25709,0,51419,0,0,19282,70700,0,6427,83555,0,44993,0,109269,12854,32136,12854,6427,379227,12856,19283,12855,77129,51419,0,44989,32138,48568,38566,0,0,44993,19284,89985,167112,19283,6427
18,38565,0,71426,6427,0,51418,44991,32137,19282,70702,0,70702,12854,83559,19283,19282,6428,102840,89984,6427,6428,25711,96415,12855,38566,70698,44991,0,0,102841,57846,12855,70700,44993,10002,6427,196402,19281,0,74276
19,0,16430,32138,51420,38563,6428,109265,12853,57844,77131,32138,6428,0,38564,57846,6428,0,12855,19282,32139,0,19283,0,167119,25709,6427,25711,0,0,61422,12855,70701,6428,25710,6428,138549,231395,32138,12854,83557
20,12855,83553,42142,12856,38566,32137,25712,0,64273,70702,77129,0,244968,38565,44993,6427,115690,12856,6427,44993,0,32139,51421,83556,25711,19282,38567,0,0,57847,295664,51420,96413,57847,6427,0,6428,0,38566,6427
21,0,48567,93559,32137,89986,115696,0,57850,96413,6427,6427,0,38564,89982,0,0,38564,0,6427,64276,0,6427,32137,0,57850,6427,38565,0,0,134977,102842,89987,6427,89985,51418,12853,25711,0,32137,25711
22,0,22859,19282,19283,25708,6428,19281,38564,70701,12855,6428,51421,51419,38564,19282,0,0,0,0,19281,0,0,32136,44990,212101,12854,25710,0,19284,6428,70701,6427,19281,6427,70701,0,25711,0,25710,12855
23,96411,77127,19283,12855,44991,32135,44991,51421,64274,51421,115695,19284,6427,44992,38565,6428,51417,0,25710,6428,12856,61424,64273,0,0,25711,0,6427,12856,19282,51420,0,209254,254248,6428,44991,19283,38563,0,12855
24,12855,299240,0,6428,6428,0,44995,51422,64277,6428,0,0,141408,128545,54996,0,70703,64273,77132,70705,0,51420,51419,12853,70700,6427,61421,12855,6428,0,19283,83559,6428,22858,16431,25712,64276,64272,12856,12855
25,19283,228538,38565,38563,0,231387,38568,0,144977,237811,0,6428,57847,6428,0,0,19281,0,6428,12855,0,51420,19281,222109,77131,122125,6428,25711,0,12855,44990,87132,44989,32138,32138,51420,6428,196395,38564,61422
26,51420,25711,83559,12856,64272,19282,106415,0,38567,32138,0,0,32137,57846,12855,32137,22859,6427,25709,0,38565,6428,0,308512,0,51421,77129,77130,0,32138,38563,6427,12854,6427,77130,29286,12855,0,0,122124
27,44991,67853,38564,51418,51420,38566,51419,70700,19282,70702,0,77129,64275,64272,0,57846,12855,32139,6427,0,12856,38564,0,6428,38562,44994,25711,64274,0,44993,19283,64276,0,25711,0,6428,0,186396,12855,32137
28,6428,547051,19282,6428,32138,57844,0,363510,38564,51417,0,0,0,0,32137,6427,0,0,6428,0,6428,0,0,6428,6427,70702,19282,347082,12854,6428,64272,6427,77130,19281,77131,6428,6428,205679,0,173538
29,32137,6427,19283,6428,12856,19283,77127,89984,19284,77132,0,38566,6427,0,96413,0,0,0,19282,89983,0,128552,12854,12855,6428,12854,64275,38565,6428,19283,19281,6427,12856,6427,19283,128552,341382,0,6427,57845
30,83557,12855,6427,89984,38566,32138,25711,57850,38566,122128,0,0,38564,51418,44995,12856,0,6427,0,64273,32137,0,38567,57847,32138,70704,19283,0,6428,32138,19281,6428,0,32136,83556,6428,0,6427,25710,6427
31,228544,0,19282,6427,0,12856,32139,77127,12855,132127,0,122126,77129,57849,70702,6428,0,0,0,6428,6427,6428,57846,51418,0,6427,19282,6427,25710,44994,38563,25709,19283,42139,19282,0,0,38564,6428,19283
32,109265,109270,0,0,0,38564,212105,19282,44992,6428,6427,134977,38566,57846,16432,0,109270,70701,102840,0,12855,38563,12854,38567,0,12854,25710,0,0,102845,102840,44991,0,6427,12856,0,25711,6428,6427,19284
33,115694,0,279959,6428,64277,0,32138,51420,19283,25708,19283,70703,6427,6428,32137,0,42141,32138,96412,0,42140,44995,38565,12855,0,0,83556,32137,6428,64273,51419,0,64277,0,0,6428,102842,19284,25710,250676
34,19280,70697,179970,19282,38566,134975,35715,70705,51418,102840,51419,0,25710,0,12855,122121,6428,25711,10004,0,0,6426,0,6428,32136,0,6427,6427,0,38567,0,115700,25708,44992,38566,12855,25711,12856,109268,51423
35,12855,77131,19283,125692,64279,0,70703,0,57845,0,6427,160689,44995,61426,0,25712,6428,0,19283,19282,6427,0,6427,32137,0,0,25709,0,0,0,54995,6427,0,12856,629891,116421,0,6428,12856,112841
36,134974,12855,314949,6428,0,521359,12855,6428,379220,25711,6428,0,0,32135,134976,38563,0,51420,19284,70701,0,6427,0,70705,51418,0,12855,6426,6427,0,6428,128548,12856,19283,6427,0,128549,44992,6427,38564
37,38566,321371,0,51420,54994,0,6428,0,83558,96413,19283,0,12854,25711,19282,70703,0,51419,38566,12855,83556,12855,38567,44995,6427,10004,0,6428,0,0,25711,250678,0,77130,25709,51421,93558,0,19283,32139
38,57848,437065,57846,51419,32138,25710,0,19282,44993,64271,0,19283,0,12856,0,57846,32137,0,109270,32137,0,6427,57848,0,64272,12854,173536,0,51421,0,109268,469214,6427,38563,64273,96412,0,6428,0,32136
39,25709,353514,51419,32137,44994,19284,6427,83556,6427,64276,0,109267,32136,51420,6428,19284,6427,0,19282,32138,115695,64278,38564,6428,0,0,167116,6427,0,51419,19282,25710,32137,6428,51420,12855,12854,12855,32138,57846
40,57849,64272,177121,32138,25710,51421,6428,0,22858,42141,32137,19283,44994,0,51421,12855,51419,0,32137,32136,6427,64273,25709,74275,6428,0,0,25710,6427,38564,89984,154260,6427,19283,19283,0,0,51420,6427,6427
41,186400,6427,64273,12855,64273,64276,19282,0,102837,70704,0,19281,57847,6428,57848,0,6428,64274,6428,0,0,6428,12853,19282,38563,0,67851,0,83558,25709,96410,32134,25710,12856,12855,6428,0,25710,12855,12856
42,12855,102838,6428,0,48566,70702,0,96416,64274,0,6428,38562,64276,0,6428,0,6428,0,22858,70704,25709,25712,25710,32138,0,64277,6427,0,38566,12855,12854,112841,6427,6427,0,12856,44993,32136,25710,128551
43,147828,12854,0,12855,77130,109265,122122,179969,32136,67851,6428,0,148554,0,89985,109267,32136,38565,19283,6427,0,64276,6427,89984,32138,57850,32138,0,231387,38566,0,32138,0,0,0,12853,25708,32137,74279,70704
44,44993,192822,32138,87135,64275,19283,0,51422,64273,70704,38564,83558,6427,19281,6428,51418,6428,64275,0,0,57846,70701,70702,102838,6427,51418,369939,12855,19284,25710,64275,61420,12855,6428,0,0,115695,6428,54995,64276
45,22857,25709,0,6428,32135,16432,51421,0,89984,109270,0,19283,192825,6427,77132,25710,64276,70700,0,0,6428,51421,6428,260680,57847,19281,19282,6428,44992,83555,19283,102838,0,19282,199253,0,38564,6428,0,0
46,106412,202827,12854,44991,19281,19281,64273,0,19283,6428,51419,6427,12855,77130,38564,6427,19281,51419,6427,64272,0,0,51420,96413,77127,12855,6426,12854,6428,32137,0,0,147828,25710,19281,51420,19283,0,179964,25709
47,12855,109266,408500,38565,32138,112843,25709,25710,44992,173541,70703,102839,77130,0,77128,0,57847,0,57846,109271,0,39289,0,134979,0,44990,54993,6428,48567,32136,80703,44992,57843,0,32136,51419,83558,128548,0,250677
48,25709,0,6427,38563,19283,6427,0,12855,51420,533483,0,83557,38563,64272,102840,77130,32139,12855,0,6427,0,0,64275,6427,19282,32139,6427,32137,61421,77133,61420,6427,12854,57846,0,77131,70700,282805,19281,0
49,22860,106414,74278,44993,89984,134975,32139,19282,106411,6427,0,6427,0,6428,32139,134975,77132,0,0,12855,38565,51416,70703,12856,51422,0,32137,6428,70702,12854,77132,0,25708,32136,89981,48568,160680,44992,64276,25709
50,57849,128552,0,25711,64278,19282,0,6428,38566,83559,0,6427,12854,19282,0,83558,6428,25710,6428,19283,57848,19282,64273,38563,57847,44995,6427,89986,12855,19283,112840,6427,12855,12854,0,0,0,12854,38565,25710
51,0,12856,83559,77128,51422,19283,44989,64275,89984,19282,0,0,6427,77130,0,6427,0,64274,44988,12855,19282,0,0,6427,0,70701,0,0,0,102841,19283,25711,19281,12855,0,6428,19282,6428,89982,38565
52,51421,299246,25709,0,61423,6427,44993,48568,25709,12854,0,215682,115693,6428,57849,0,51418,64275,6427,0,25710,44993,51422,0,96411,6428,109260,592059,19284,25711,29286,51421,12855,12855,0,6427,19283,0,0,183549
53,247822,132126,19283,84280,32137,12854,0,0,25711,0,6428,38564,51421,19284,12856,6427,147831,51420,38563,89979,12855,147832,61423,116419,19282,25711,89986,244240,12856,0,186397,44993,12856,0,0,6427,0,25709,102838,0
54,32135,42138,77126,0,6427,25710,25711,12855,25711,0,19283,6427,83557,0,19282,32137,6428,25710,263517,115693,6427,0,96411,167113,0,19283,0,0,32137,57846,154259,12856,48567,0,32137,25711,64275,51420,0,32137
55,102843,0,57849,38563,302090,160685,51419,6428,19282,408504,0,25711,44991,32136,54997,141405,134976,51422,0,38563,19281,32136,32137,160689,29286,0,0,0,64273,0,12856,0,0,89983,12855,6427,12855,106417,6428,32138
56,0,12856,96415,35714,44992,125703,38565,32138,12856,147831,0,12855,12854,32138,0,25710,93563,0,0,0,0,19283,0,0,38566,147832,19284,134976,0,12856,132125,12856,6428,96412,0,6428,32138,0,0,0
57,6427,83552,0,12854,80706,0,25709,6427,19284,25709,0,6428,0,132128,25709,83554,19284,44991,32139,51422,6428,222108,6428,25711,6428,32135,38563,6427,0,44995,25710,0,6428,0,0,57849,22858,0,199254,19281
58,6428,12856,70702,0,51418,25711,77130,25710,6428,6428,12856,0,32136,38565,19282,0,0,6427,0,402806,0,6428,0,141406,6427,42141,0,44993,0,6428,141402,19283,51421,6427,77127,109269,25712,6427,141405,19281
59,42141,44992,19284,6427,44992,115693,12855,0,102837,32138,0,0,51418,61421,51419,0,0,32137,0,64274,6427,12855,12854,12854,19282,70704,6427,6428,6427,6427,19283,141406,19284,64277,77133,0,25711,173542,6428,6428
60,0,32136,83560,89985,6427,0,12854,12854,6428,44992,96411,6428,70699,57847,38565,0,32139,0,6427,6428,0,6428,0,19282,25709,0,32136,6427,12854,96411,0,12855,19281,19281,138553,186402,12855,0,80703,19282
61,192824,0,115692,6427,87134,12854,147838,0,6427,89983,6428,0,0,0,25708,44995,0,109265,6427,12856,22860,6427,6428,141401,44994,19283,6428,6428,6428,6427,83557,0,0,12855,44992,6428,77130,324939,89984,87134
62,10004,179966,51418,308516,0,475635,0,0,12855,42143,6427,0,6428,0,44992,64277,0,51419,44994,0,80707,12856,231389,19281,12854,51420,89984,0,57848,57848,25709,32137,154257,38566,44993,0,6428,0,952714,25710
63,6428,19284,77131,6428,51421,0,6427,0,19282,286383,57845,19282,96411,19282,38564,12856,51423,12855,6427,0,19281,51420,0,122119,0,38564,6427,51421,0,0,25709,19282,19281,57846,141406,462783,25708,96406,70701,6427
64,77129,0,347803,38562,0,89983,6427,0,6427,173548,134981,0,19283,19281,19282,25711,25711,64274,0,51416,44988,0,83556,109270,25712,0,51418,0,0,74275,44991,19283,12854,6428,25710,70702,0,128547,12856,83561
65,51421,38563,38565,93562,25711,70703,154260,6427,44993,6428,6427,38563,12855,0,64275,6427,12856,6428,125696,0,0,6428,6428,38562,286384,0,0,6428,0,12856,151409,19281,6428,6427,6428,6427,25712,0,64274,12856
66,164261,106414,12855,44995,83560,6428,19283,38563,12855,6428,0,51419,29286,77129,0,6428,51421,35712,12854,0,25709,12854,25709,32139,6427,106417,77129,6428,0,57847,32137,6428,19282,67851,6428,89985,0,70700,0,57849
67,57846,29287,327799,44994,38566,6427,6427,0,48567,12855,6427,25708,64276,38562,6427,0,6428,0,6428,19284,6427,32138,19283,147830,57846,6427,51421,0,0,89986,119274,25711,0,38565,0,38564,6428,6428,0,0
68,6428,19283,64277,38565,19282,51422,19282,38561,64272,19283,0,0,12855,19282,0,12854,0,6427,0,38566,6428,32137,170694,70702,25711,6428,32136,6427,0,77129,12854,0,57848,96413,0,6428,0,6427,0,0
69,6427,12855,0,12855,25708,61423,0,12855,64272,0,12855,19281,38563,0,0,0,6428,0,0,25710,0,6427,12855,134975,0,77129,173543,25711,0,70703,0,160686,44994,19279,0,0,6428,569911,57848,115697
70,122124,70700,0,12854,0,102841,57846,38565,32139,12854,0,25710,0,77130,64275,0,16431,0,6427,0,6427,19283,0,19282,64273,19283,177116,0,0,0,25710,51421,44991,87133,19282,44992,25710,0,0,19284
71,6427,6427,6427,44992,70700,70706,0,0,12856,57846,19283,42140,0,6428,0,0,16430,19281,32138,6427,12854,19283,6428,6428,0,6427,128548,449936,206403,57847,257097,12855,32138,19283,6428,12853,32139,0,6428,12855
72,0,12856,38565,89986,25710,32137,38566,12856,0,12854,12855,32138,12855,134972,0,6427,122124,6427,0,6427,6427,12855,0,231387,51418,0,12855,6428,19282,70704,0,96417,19282,6427,84280,19283,0,38562,32137,0
73,6428,64273,44994,0,0,38562,77131,0,0,0,0,44992,32137,0,19284,83559,19281,0,70701,77129,12854,0,6428,57848,6427,32137,44993,44990,25712,12855,6428,6427,16432,25709,0,77131,6428,64275,70704,19283
74,44994,12855,12855,51421,6427,0,38564,0,32136,44991,0,0,147825,25710,96409,6427,19283,6428,19283,25711,0,12854,57850,38566,96414,89982,0,38565,0,0,141405,77131,44992,19282,19284,12855,25708,173542,0,0
75,164265,0,32137,32136,6427,44992,25709,51417,0,192823,6426,6428,19282,32138,67847,0,57847,12854,0,6428,61425,64274,0,57847,0,109264,19281,0,102841,128550,89984,0,70702,0,77127,0,70704,0,6427,19281
76,32137,90707,6428,19281,51423,38565,32137,0,19282,89983,6428,38565,25708,54997,12855,6427,0,25709,83553,51420,6428,19283,61424,158562,12855,0,0,0,0,44996,0,0,6428,96412,12854,6427,6428,96410,0,6428
77,51419,147834,115700,12855,12856,102842,6427,32136,128550,144984,0,19283,25709,0,64276,0,64273,32137,57848,0,115690,25708,32135,44993,0,19282,96413,0,70702,44991,96410,0,25711,22859,206397,38565,32137,12855,12853,70699
78,77130,12855,87131,70703,29284,6428,6428,0,0,44991,0,366373,6428,6428,19283,19281,0,6428,289955,0,0,218537,35712,89985,0,19283,89982,6428,19282,6428,19282,57847,6427,44993,32139,0,115695,12855,19282,96412
79,83556,0,205682,157834,32136,19283,6428,102836,38564,12854,19280,0,19283,38565,19283,6427,32139,0,115694,70702,12855,19283,19281,44993,6427,12855,0,0,51422,83555,6427,6427,6428,12855,38563,25710,128548,32138,57846,0
80,38563,19284,12855,44993,0,25710,70701,77132,12854,147833,44991,212106,19282,44993,0,202825,6427,57848,6428,29286,32136,6428,19281,12854,32136,6427,12855,6427,0,38567,51417,0,102838,19283,99988,167115,0,32138,19282,32137
81,25711,35713,19284,6427,12854,32138,48570,0,19283,374243,0,0,6428,44993,0,0,57848,48567,6428,6428,0,10003,0,12856,12855,0,212106,0,70700,0,70703,87136,19283,32135,102840,0,19283,19281,0,0
82,112845,0,12854,48570,32138,25709,0,38566,51419,44992,0,61425,0,6427,32137,6428,12855,25708,6428,102840,19282,0,12854,96413,0,74279,32138,0,12855,0,83559,32137,6428,32137,12856,32138,51419,0,25710,38567
83,6427,0,32137,54994,44991,19283,0,25711,6427,0,22859,0,38562,6427,0,64278,6427,0,32140,6428,12854,32137,38563,6427,0,0,57849,6428,0,44992,44992,6428,6427,12855,64277,51418,32137,0,0,32137
84,38563,25709,44993,61420,57844,77130,32139,64272,6427,57848,12856,12855,237816,109267,51419,19281,0,0,0,44992,12854,44992,38565,109266,6427,89985,0,25710,6427,70703,0,25711,51419,64278,12856,0,64278,0,218529,6427
85,0,70699,6428,6427,12855,12855,96414,0,77130,109267,6427,12855,0,0,128549,12855,70703,12856,67847,0,6428,44991,0,0,141404,57849,134979,6427,0,12853,25711,44991,51421,234962,77128,0,38564,51423,32138,83557
86,19283,276375,6427,109267,51420,6427,6427,0,12854,6428,12854,12855,0,6427,70705,12856,6428,6428,138551,32137,0,51421,0,57847,0,38563,57847,199251,0,25710,25711,77130,0,77132,0,12855,64277,199245,12855,51420
87,6427,19283,12855,19281,57844,12856,64276,0,83555,369949,0,19283,0,0,6427,12855,42138,6427,0,12855,6427,196398,83559,0,12856,6427,0,0,19283,0,6427,12855,12854,25711,70700,64274,32139,0,44994,12856
88,57846,177113,0,19283,6427,51421,64276,0,12856,70705,12854,102840,12854,6428,115695,205677,12855,25712,6427,0,0,25710,0,6428,38563,0,154256,0,231382,157838,44994,74278,0,96414,12856,0,77127,282811,6427,12855
89,0,128548,12854,19283,0,0,64274,19281,77129,25711,0,12855,32137,38563,12855,44994,64274,19281,70701,51419,0,12854,51418,12855,80703,147837,77134,25709,0,70701,19282,0,12856,83561,38562,6427,44991,12854,0,12856
90,89984,25709,6427,128548,12855,0,6428,25710,154256,70703,25708,0,6428,25709,0,19284,0,6427,25710,0,64273,115694,32136,57846,70706,6428,0,6427,0,12854,32136,12855,51420,0,276380,51421,32138,0,212108,57850
91,25710,0,112845,0,6427,0,6427,0,83558,12854,44994,6428,6427,6428,57847,19282,70703,12854,22860,0,89984,199974,25710,61424,12855,64275,0,0,0,0,44992,12855,57846,35713,6428,0,102840,12853,0,74280
92,115701,83556,19283,25710,0,12854,0,0,112845,64274,96410,0,19283,6428,12856,0,12854,6428,83560,51418,0,12856,57849,83554,93562,0,19283,6427,6428,0,38567,64273,19282,12854,6427,38563,0,122120,51419,0
93,12854,51419,64271,6428,64275,29285,6428,57849,6427,0,0,6428,57846,51422,77132,89985,25710,61422,57848,119271,19281,0,25710,19283,0,6428,25709,57848,6428,42142,202826,19281,70701,51420,328530,0,205682,128553,6428,12855
94,0,0,122123,57847,6428,19284,38565,183543,19281,102840,0,51421,0,44991,57847,25711,22858,6427,22858,99988,6428,167114,12856,164261,19282,44992,6428,0,0,6427,67851,19283,44991,359936,38563,0,32139,6427,102837,115693
95,64271,12854,12855,0,89983,0,0,77128,0,32138,25711,6426,64275,25711,12856,32140,0,12853,70702,70702,6428,0,32136,0,0,25710,6427,0,6427,112839,44989,134977,12854,0,0,199251,25711,6428,0,6428
96,19283,0,32138,0,87132,141407,44992,83554,12856,32138,25709,6427,6428,74278,16430,57849,32140,0,57845,12854,6426,0,12854,0,6427,6427,12855,25709,6427,19282,0,12854,19283,6427,0,25709,77128,57845,132126,257097
97,0,122116,6427,80703,54995,19284,102843,196397,38565,89986,102838,57847,19283,0,80706,6426,51421,141400,305672,12855,6427,6428,12855,25710,109264,25709,38563,0,0,38566,70700,77129,6427,57850,25710,6428,0,0,6427,25708
98,0,54996,19284,25711,12853,19283,154261,0,25709,6427,0,83555,70703,0,0,38564,0,0,6427,89985,0,0,32139,6428,32138,0,12855,6428,6428,32139,64274,19281,0,57846,0,19283,48572,32136,0,0
99,10003,0,38565,6428,89986,89987,12855,6427,96408,87131,6428,6428,0,151410,0,19282,16430,44993,0,42140,12856,0,19282,32135,25711,6428,0,0,32138,102840,64278,64276,6427,6427,57844,0,0,102843,32138,0
100,51421,6427,25709,12855,44992,0,183547,25710,19281,57845,6427,0,0,6427,12853,32138,19284,0,0,6427,0,6428,77131,0,0,0,89982,6427,0,12856,12854,6428,25708,44992,57846,12855,0,12855,16432,38567
101,32139,29286,77129,0,19281,6428,0,0,44993,0,6427,6427,32138,0,64276,0,0,0,96412,44989,0,6427,6427,0,0,70703,327803,6428,19283,70704,83556,154258,0,12855,25710,6427,0,32137,12856,6428
102,19282,115691,51421,57845,70701,70703,19282,12855,115698,89986,6427,51420,0,0,32137,119274,0,19283,12854,74275,19282,32137,25711,6428,12855,6427,87133,19283,0,12855,44993,0,25710,115693,0,44991,12854,6427,0,0
103,0,0,6427,12855,12855,19282,0,0,38565,44993,25709,0,51419,32138,12855,6428,0,0,0,25708,0,38565,0,57845,70703,0,6427,0,0,32137,196395,12855,222106,38565,44993,12855,6427,6428,70702,51418
104,0,38564,6428,6427,32137,12855,6428,0,12856,6427,6427,128551,0,32137,0,19282,212103,57850,57848,25712,77128,0,64273,102840,25709,0,25708,64275,128553,25712,0,64276,35712,19284,57850,0,25711,19283,0,0
105,6427,83555,0,0,57849,44995,6427,0,6427,54997,12855,144983,25709,0,83558,6428,19283,67846,270676,16430,51417,32137,51423,6428,6427,16431,0,12855,0,160691,51421,128548,57850,6428,0,6428,0,6428,0,57848
106,0,295658,6428,25710,38566,6428,6428,51419,57849,51422,12855,0,83558,83555,32137,38565,0,25711,0,0,25708,19282,19282,12855,0,0,6427,38565,12854,51420,51419,44989,19283,44993,25711,70702,6427,109266,87132,32140
107,215687,6427,89982,19282,12856,12855,6427,244246,38566,89985,6427,25710,6427,6428,25710,12855,0,202833,83556,51421,151406,19281,19280,77133,44993,0,12854,0,25709,12855,89982,89983,44993,51420,0,12855,44991,12855,12855,269952
108,38565,64275,6428,19284,167112,48565,70701,0,25711,0,6427,244245,6428,0,6428,19282,57845,138554,0,96414,44994,25707,48571,6428,89987,89982,141406,19282,19283,38563,51420,359942,109269,25710,6427,51420,10003,0,6428,57849
