%idle,aceph01,aceph02,aceph03,aceph04
329,0.0,0.13,0.0,0.0
330,0.0,0.13,0.0,0.12
331,0.0,0.0,0.62,0.0
332,0.12,0.0,0.0,0.0
333,0.0,0.13,0.0,0.0
334,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0
336,0.12,0.0,0.76,0.13
337,0.0,0.0,0.13,0.0
338,0.0,0.0,0.0,0.0
339,0.0,0.0,0.25,0.12
340,0.12,0.0,0.38,0.0
341,0.0,0.0,0.13,0.0
342,0.0,1.13,0.0,0.0
343,0.0,1.38,0.12,0.0
344,0.12,2.28,0.13,0.13
345,0.0,0.25,0.0,0.0
346,0.0,0.25,0.0,0.12
347,0.13,1.01,0.0,0.0
348,0.0,0.37,0.25,0.0
349,0.0,0.12,0.0,0.0
350,0.0,0.13,0.38,0.0
351,0.0,0.13,0.38,0.0
352,0.0,0.12,0.12,0.13
353,0.0,0.12,0.25,0.0
354,0.0,0.0,0.37,0.0
355,0.0,0.0,0.75,0.13
356,0.0,0.0,1.75,0.12
357,0.0,0.0,0.12,0.0
358,0.0,0.0,0.25,0.0
359,0.0,0.0,0.12,0.0
360,0.0,0.0,0.0,0.13
361,0.0,0.0,0.0,0.13
362,0.0,0.12,0.0,0.0
363,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0
365,0.0,0.13,0.25,0.0
366,0.0,0.0,0.0,0.0
367,0.0,0.13,0.0,0.13
368,0.12,0.0,0.0,0.0
369,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
371,0.0,0.12,0.0,0.13
372,0.0,0.13,0.0,0.0
373,0.0,0.25,0.0,0.12
374,0.0,0.5,0.13,0.0
375,0.0,0.88,0.13,0.0
376,0.0,0.25,0.0,0.12
377,0.12,0.0,0.0,0.37
378,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0
381,0.12,0.0,0.13,0.0
382,0.0,0.0,0.12,0.0
383,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0
386,0.0,0.0,0.25,0.0
387,0.0,0.12,0.25,0.0
388,0.0,0.0,0.13,0.0
389,0.0,0.0,0.0,0.0
390,0.0,0.0,0.12,0.0
391,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0
393,0.0,0.51,0.12,0.0
394,0.0,0.38,0.0,0.0
395,0.12,0.38,0.0,0.0
396,0.0,0.12,0.13,0.0
397,0.0,0.0,0.0,0.12
398,0.0,1.5,0.51,0.25
399,0.0,2.14,2.03,8.28
