subop,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
53,748703,717774,663852,579925,595647,753402,909965,1213883,566556,595809,594190,742102,559907,723202,736039,417386,555395,740212,482451,662165,554374,697371,560834,775233,496886,478395,798687,768012,656825,672353,812250,591361,446053,338992,670878,644662,887567,891981,712325,572816
54,748906,717979,664012,580104,595861,753610,910167,1214101,566799,596032,594405,742321,560151,723422,736217,417611,555530,740432,482636,662364,554583,697578,561017,775532,497052,478556,798894,768215,657032,672476,812471,591543,446266,339194,671078,644858,887832,892212,712536,573036
55,749089,718171,664225,580312,596042,753768,910369,1214276,566963,596251,594548,742534,560358,723579,736404,417753,555692,740670,482797,662559,554788,697778,561193,775697,497260,478692,799073,768342,657187,672654,812711,591722,446446,339381,671277,645000,888000,892379,712713,573219
56,749305,718400,664417,580525,596238,753926,910573,1214489,567189,596491,594716,742749,560562,723796,736573,418012,555906,740831,483120,662799,555018,697979,561418,775984,497431,478920,799300,768572,657427,672857,812909,591873,446583,339615,671464,645186,888219,892600,712941,573390
57,749524,718604,664630,580754,596427,754115,910815,1214781,567440,596817,594878,742941,560770,723989,736724,418161,556105,741013,483259,662988,555190,698174,561633,776194,497614,479091,799499,768765,657549,673096,813123,592053,446800,339796,671664,645345,888406,892812,713106,573571
58,749716,718788,664819,580975,596646,754392,910948,1214895,567610,597048,595066,743149,560960,724171,736888,418392,556281,741192,483565,663168,555402,698344,561830,776418,497824,479338,799704,768957,657759,673290,813329,592257,446990,340044,671859,645559,888635,893085,713298,573754
59,749955,719051,665034,581210,596901,754593,911222,1215116,567893,597303,595253,743337,561136,724382,737091,418617,556482,741421,483670,663375,555596,698552,562057,776697,498001,479467,799943,769195,657988,673526,813526,592448,447187,340285,672060,645781,888837,893267,713511,573942
60,750141,719273,665238,581402,597043,754805,911417,1215326,568088,597581,595408,743548,561347,724571,737245,418747,556632,741575,483850,663603,555826,698728,562239,776883,498220,479652,800101,769358,658164,673699,813743,592630,447369,340495,672197,645983,889123,893461,713703,574185
61,750311,719433,665388,581602,597259,755001,911588,1215487,568251,597755,595575,743738,561506,724759,737413,418911,556813,741750,484040,663754,556050,698920,562484,777131,498366,479847,800343,769522,658307,673896,813983,592829,447553,340738,672449,646209,889350,893687,713895,574353
62,750506,719652,665603,581806,597459,755206,911769,1215698,568480,597996,595750,743973,561757,724966,737605,419120,556991,741955,484186,663931,556248,699141,562680,777409,498552,480078,800517,769730,658544,674140,814171,592976,447688,340935,672570,646356,889457,893849,714068,574501
63,750738,719832,665765,581968,597618,755397,912008,1215914,568671,598242,595922,744191,561921,725171,737797,419274,557199,742130,484435,664178,556454,699315,562863,777639,498718,480270,800715,769897,658739,674348,814445,593199,447932,341158,672834,646575,889719,894127,714273,574724
64,750924,720037,665960,582197,597823,755589,912187,1216055,568840,598522,596110,744406,562169,725366,737999,419497,557434,742356,484675,664343,556690,699499,563072,777873,498939,480507,800994,770135,658914,674558,814663,593389,448138,341437,673079,646775,889917,894311,714494,574939
65,751159,720272,666187,582435,598041,755865,912334,1216272,569069,598801,596307,744593,562375,725565,738141,419695,557600,742572,484874,664519,556874,699654,563247,778102,499063,480632,801175,770286,659126,674752,814846,593593,448302,341661,673279,647002,890162,894518,714632,575063
66,751325,720442,666415,582596,598238,756001,912594,1216479,569316,599154,596470,744764,562553,725765,738343,419878,557767,742724,485059,664723,557089,699854,563469,778327,499271,480846,801346,770497,659309,674924,815051,593772,448485,341861,673460,647174,890343,894677,714835,575346
67,751526,720607,666535,582813,598383,756155,912786,1216608,569459,599294,596603,744989,562693,725922,738482,420040,557888,742888,485261,664850,557291,699986,563673,778543,499428,481018,801541,770649,659434,675107,815241,593955,448674,342043,673664,647408,890554,894933,715019,575436
68,751752,720834,666749,583061,598590,756381,913016,1216816,569690,599590,596768,745191,562861,726078,738648,420202,558124,743068,485493,665007,557512,700190,563850,778774,499630,481254,801774,770847,659627,675325,815464,594136,448849,342255,673860,647603,890722,895112,715177,575614
69,751948,721038,666943,583300,598784,756554,913180,1217018,569936,599888,596936,745342,563025,726258,738804,420375,558274,743257,485693,665162,557723,700390,564062,779022,499827,481349,801942,771062,659849,675550,815675,594315,449037,342463,674072,647801,890950,895358,715364,575817
70,752170,721227,667134,583579,599026,756747,913345,1217198,570131,600112,597125,745555,563212,726428,738988,420560,558468,743442,485807,665338,557926,700537,564225,779268,500010,481653,802170,771238,659966,675756,815887,594496,449249,342653,674242,647996,891156,895553,715598,576034
71,752358,721438,667353,583762,599228,756922,913574,1217459,570417,600445,597309,745815,563396,726651,739170,420779,558624,743625,486054,665540,558172,700725,564409,779462,500196,481831,802350,771381,660178,675999,816075,594641,449390,342883,674466,648170,891320,895753,715822,576220
72,752549,721640,667558,583943,599434,757119,913720,1217644,570609,600657,597464,745985,563587,726818,739311,420950,558804,743798,486258,665735,558393,700932,564637,779729,500392,482048,802616,771664,660349,676185,816294,594831,449617,343140,674647,648387,891599,895977,715970,576380
73,752738,721867,667710,584155,599646,757328,913946,1217845,570801,600929,597630,746147,563761,727017,739478,421188,558987,743988,486431,665912,558608,701089,564852,779976,500599,482205,802840,771784,660536,676390,816513,594984,449766,343297,674845,648566,891772,896163,716122,576584
74,752896,722076,667905,584384,599827,757469,914053,1217951,570972,601168,597772,746389,563973,727201,739684,421365,559204,744201,486680,666128,558826,701278,565059,780208,500725,482423,803022,771995,660726,676579,816671,595119,449921,343478,675018,648726,891972,896329,716295,576718
75,753082,722306,668100,584621,600012,757716,914276,1218177,571232,601344,597932,746584,564165,727372,739847,421568,559341,744361,486821,666307,559081,701486,565273,780448,500974,482680,803238,772292,660964,676794,816812,595356,450054,343699,675221,648890,892111,896550,716499,576890
76,753284,722471,668271,584783,600108,757838,914395,1218351,571381,601601,598086,746800,564381,727590,740030,421749,559501,744513,487031,666500,559310,701661,565473,780702,501180,482922,803454,772465,661146,677001,817045,595537,450296,343868,675416,649106,892383,896714,716702,577071
77,753494,722660,668469,585018,600367,758001,914578,1218557,571566,601868,598280,746971,564546,727773,740211,421961,559650,744690,487211,666744,559505,701883,565714,780963,501417,483128,803668,772707,661331,677269,817264,595713,450501,344119,675601,649252,892580,896925,716852,577271
78,753661,722882,668650,585232,600588,758211,914749,1218783,571808,602146,598425,747203,564737,727974,740385,422174,559869,744934,487496,666926,559702,702015,565864,781132,501541,483277,803869,772851,661473,677477,817489,595883,450726,344359,675837,649472,892800,897115,717055,577458
79,753861,723084,668862,585420,600756,758400,914951,1218982,572019,602520,598590,747418,564906,728163,740555,422330,559984,745078,487634,667080,559912,702208,566079,781390,501703,483535,804087,773062,661638,677639,817699,596084,450904,344541,676044,649639,893017,897285,717241,577609
80,754051,723275,669070,585633,600960,758634,915175,1219151,572235,602670,598766,747648,565090,728372,740743,422519,560202,745278,487910,667240,560094,702380,566307,781596,501945,483679,804283,773244,661794,677818,817939,596264,451147,344755,676255,649810,893221,897483,717393,577831
81,754240,723481,669238,585846,601146,758847,915352,1219317,572441,602924,598931,747836,565319,728608,740930,422778,560351,745445,488126,667445,560307,702559,566476,781816,502115,483909,804447,773431,661957,678084,818150,596432,451331,344976,676425,650020,893477,897741,717662,578018
82,754393,723654,669421,586037,601385,759042,915565,1219513,572669,603206,599092,748051,565520,728802,741072,422932,560536,745604,488302,667637,560524,702766,566670,782056,502302,484065,804681,773637,662137,678245,818346,596616,451508,345142,676601,650238,893649,897921,717806,578212
83,754610,723852,669611,586265,601519,759208,915730,1219744,572842,603549,599269,748269,565711,729012,741244,423091,560686,745782,488497,667806,560745,702939,566871,782271,502520,484294,804913,773829,662320,678471,818571,596826,451688,345374,676804,650441,893805,898078,718110,578413
84,754805,724050,669797,586481,601773,759435,915961,1219924,573115,603725,599433,748441,565860,729184,741394,423280,560858,745976,488695,668004,560946,703117,567075,782502,502693,484492,805089,774011,662478,678636,818832,597004,451896,345555,677018,650626,894075,898328,718199,578552
85,754988,724255,669968,586655,601988,759569,916178,1220131,573280,603969,599599,748651,566066,729346,741512,423421,561031,746100,488902,668161,561161,703301,567242,782742,502861,484710,805270,774164,662643,678823,819012,597207,452114,345789,677195,650824,894287,898476,718493,578754
86,755179,724455,670174,586885,602211,759807,916369,1220332,573485,604214,599796,748874,566288,729559,741723,423609,561213,746276,489105,668321,561395,703536,567471,782999,503059,484946,805475,774348,662800,679073,819233,597423,452302,345989,677477,651067,894498,898739,718657,578996
87,755384,724676,670320,587091,602408,760021,916594,1220547,573693,604468,599961,749102,566510,729771,741899,423769,561449,746446,489279,668552,561576,703707,567650,783232,503257,485145,805697,774593,662982,679276,819470,597618,452505,346245,677698,651261,894707,898949,718793,579176
88,755562,724878,670528,587315,602625,760202,916743,1220712,573935,604757,600135,749277,566683,729922,742018,424001,561562,746638,489500,668701,561788,703862,567856,783473,503432,485348,805910,774765,663176,679420,819739,597801,452694,346384,677910,651447,894907,899088,718966,579379
89,755761,725103,670737,587559,602815,760390,916927,1220938,574116,605005,600267,749443,566844,730075,742167,424149,561760,746842,489668,668840,562002,704084,568048,783739,503568,485482,806161,774949,663344,679599,819910,597978,452879,346679,678073,651654,895095,899293,719197,579562
90,755981,725350,670920,587777,603095,760616,917162,1221145,574363,605264,600422,749663,566998,730260,742347,424294,561926,747007,489867,669024,562224,704284,568252,783959,503763,485718,806406,775170,663558,679888,820097,598168,453075,346853,678239,651845,895305,899490,719363,579767
91,756159,725567,671127,587980,603283,760820,917361,1221326,574627,605512,600601,749900,567216,730477,742565,424508,562096,747195,490034,669211,562400,704448,568442,784192,503947,485880,806581,775358,663709,680045,820342,598345,453254,347071,678480,652040,895563,899637,719562,579942
92,756346,725753,671307,588210,603497,761021,917598,1221551,574780,605791,600786,750155,567411,730701,742734,424695,562292,747395,490264,669409,562602,704619,568687,784433,504118,486172,806796,775557,663906,680257,820563,598531,453465,347322,678707,652256,895782,899873,719765,580142
93,756557,725993,671520,588479,603672,761210,917805,1221705,575028,606034,600948,750376,567629,730891,742955,424904,562504,747634,490480,669589,562833,704812,568888,784681,504350,486332,807012,775758,664081,680459,820794,598733,453674,347545,678906,652487,895928,900089,720038,580318
94,756757,726179,671757,588654,603955,761421,918045,1221959,575298,606337,601120,750579,567792,731060,743059,425137,562701,747787,490746,669808,563000,704972,569067,784922,504501,486506,807158,775913,664237,680601,821015,598892,453821,347719,679082,652700,896174,900310,720137,580504
95,756956,726385,671931,588841,604116,761674,918201,1222172,575498,606556,601292,750747,568013,731248,743297,425265,562843,747941,490919,669969,563195,705137,569249,785145,504677,486657,807337,776092,664443,680883,821266,599093,454025,348011,679304,652928,896351,900503,720334,580760
96,757138,726609,672119,589081,604340,761834,918456,1222368,575677,606891,601435,750973,568243,731476,743507,425498,563042,748193,491126,670154,563349,705298,569415,785311,504800,486849,807548,776254,664612,681006,821493,599299,454219,348248,679538,653091,896617,900741,720557,580933
97,757329,726790,672296,589300,604558,762004,918635,1222594,575948,607131,601627,751173,568418,731680,743656,425676,563201,748399,491386,670333,563540,705461,569607,785547,504972,487043,807762,776451,664810,681178,821702,599482,454418,348473,679764,653257,896807,900923,720798,581139
98,757473,727003,672410,589450,604743,762207,918819,1222777,576131,607333,601810,751410,568625,731894,743834,425845,563411,748544,491565,670560,563744,705653,569799,785775,505166,487281,807975,776646,664991,681386,821880,599648,454606,348681,679965,653516,897037,901141,720889,581348
99,757650,727182,672607,589654,604926,762383,919001,1222956,576276,607545,601969,751607,568828,732097,744004,426068,563550,748767,491823,670751,563935,705829,569953,785964,505319,487479,808146,776830,665149,681564,822086,599843,454771,348893,680202,653685,897272,901341,721052,581508
