%irq,client01,client02,client03,client04
142,0.0,0.0,0.48,0.5
143,0.0,0.03,0.55,0.53
144,0.0,0.0,0.53,0.53
145,0.0,0.0,0.5,0.5
146,0.0,0.0,0.58,0.48
147,0.0,0.03,0.5,0.38
148,0.0,0.0,0.4,0.53
149,0.0,0.0,0.55,0.53
150,0.0,0.0,0.53,0.53
151,0.0,0.0,0.53,0.53
152,0.0,0.0,0.55,0.53
153,0.0,0.0,0.5,0.55
154,0.0,0.0,0.55,0.4
155,0.0,0.0,0.4,0.55
156,0.0,0.0,0.55,0.53
157,0.0,0.0,0.55,0.58
158,0.0,0.0,0.53,0.5
159,0.03,0.0,0.5,0.5
160,0.0,0.0,0.5,0.55
161,0.0,0.0,0.43,0.33
162,0.0,0.0,0.45,0.53
163,0.0,0.0,0.55,0.55
164,0.0,0.0,0.53,0.55
165,0.0,0.0,0.48,0.55
166,0.0,0.0,0.55,0.55
167,0.0,0.0,0.48,0.4
168,0.0,0.03,0.38,0.5
169,0.0,0.0,0.53,0.55
170,0.0,0.0,0.5,0.58
171,0.0,0.0,0.55,0.5
172,0.0,0.0,0.55,0.48
173,0.0,0.0,0.53,0.53
174,0.0,0.0,0.53,0.4
175,0.0,0.0,0.38,0.58
176,0.0,0.03,0.53,0.53
177,0.0,0.0,0.55,0.55
178,0.0,0.0,0.53,0.53
179,0.0,0.03,0.55,0.6
180,0.0,0.0,0.5,0.55
181,0.0,0.0,0.45,0.4
182,0.0,0.0,0.53,0.5
183,0.0,0.0,0.55,0.5
184,0.0,0.0,0.53,0.5
185,0.0,0.0,0.55,0.53
186,0.0,0.0,0.53,0.53
187,0.0,0.0,0.53,0.43
188,0.0,0.03,0.4,0.45
189,0.0,0.03,0.53,0.5
190,0.0,0.0,0.53,0.5
191,0.03,0.0,0.53,0.45
192,0.0,0.0,0.53,0.5
193,0.0,0.0,0.55,0.5
194,0.0,0.03,0.55,0.38
195,0.0,0.0,0.4,0.5
196,0.0,0.03,0.55,0.53
197,0.0,0.03,0.55,0.5
198,0.0,0.0,0.53,0.53
199,0.0,0.0,0.55,0.53
200,0.0,0.0,0.58,0.53
201,0.0,0.0,0.43,0.3
202,0.0,0.0,0.5,0.5
203,0.0,0.0,0.55,0.55
204,0.0,0.0,0.5,0.5
205,0.0,0.0,0.53,0.5
206,0.0,0.0,0.53,0.5
207,0.0,0.0,0.58,0.35
208,0.0,0.0,0.4,0.53
209,0.0,0.0,0.55,0.5
210,0.0,0.0,0.55,0.5
211,0.0,0.0,0.55,0.5
212,0.0,0.03,0.55,0.53
213,0.0,0.0,0.53,0.5
214,0.0,0.0,0.53,0.4
215,0.0,0.0,0.43,0.55
216,0.0,0.03,0.5,0.53
217,0.0,0.0,0.58,0.53
218,0.0,0.03,0.5,0.53
219,0.0,0.0,0.53,0.53
220,0.0,0.0,0.48,0.53
221,0.0,0.0,0.43,0.43
222,0.0,0.0,0.53,0.53
223,0.0,0.0,0.53,0.53
224,0.03,0.0,0.55,0.53
225,0.0,0.0,0.55,0.55
226,0.0,0.0,0.58,0.5
227,0.0,0.0,0.58,0.38
228,0.0,0.0,0.4,0.48
229,0.0,0.0,0.53,0.53
230,0.0,0.0,0.53,0.53
231,0.0,0.03,0.53,0.53
232,0.0,0.0,0.53,0.58
233,0.0,0.03,0.55,0.55
234,0.0,0.0,0.48,0.4
235,0.0,0.0,0.38,0.6
236,0.0,0.0,0.53,0.55
237,0.0,0.0,0.53,0.5
238,0.03,0.0,0.55,0.53
239,0.0,0.0,0.53,0.53
240,0.0,0.03,0.5,0.45
241,0.0,0.0,0.43,0.45
242,0.0,0.0,0.53,0.53
243,0.0,0.0,0.53,0.53
244,0.0,0.0,0.53,0.53
245,0.0,0.03,0.55,0.5
246,0.0,0.0,0.53,0.53
247,0.0,0.0,0.53,0.38
248,0.0,0.0,0.43,0.48
249,0.0,0.0,0.55,0.53
250,0.0,0.0,0.58,0.5
251,0.0,0.0,0.53,0.53
252,0.0,0.0,0.58,0.5
253,0.0,0.0,0.53,0.53
254,0.0,0.0,0.48,0.35
255,0.0,0.0,0.48,0.45
256,0.0,0.0,0.55,0.5
257,0.0,0.0,0.55,0.5
258,0.0,0.0,0.58,0.48
259,0.0,0.03,0.53,0.48
260,0.0,0.0,0.55,0.43
261,0.0,0.03,0.38,0.38
262,0.0,0.0,0.53,0.5
263,0.0,0.0,0.55,0.5
264,0.0,0.0,0.53,0.5
265,0.0,0.0,0.53,0.53
266,0.0,0.03,0.55,0.53
267,0.0,0.0,0.48,0.35
268,0.0,0.0,0.4,0.53
269,0.03,0.0,0.58,0.5
270,0.0,0.0,0.53,0.55
271,0.0,0.0,0.55,0.5
272,0.0,0.0,0.5,0.53
273,0.0,0.0,0.55,0.5
274,0.0,0.0,0.45,0.38
275,0.0,0.0,0.5,0.55
276,0.0,0.0,0.58,0.53
277,0.0,0.0,0.55,0.53
278,0.0,0.03,0.53,0.53
279,0.0,0.0,0.58,0.5
280,0.0,0.0,0.58,0.35
281,0.0,0.0,0.43,0.43
282,0.0,0.0,0.58,0.5
283,0.0,0.0,0.53,0.5
284,0.0,0.03,0.5,0.55
285,0.0,0.0,0.55,0.5
286,0.0,0.0,0.58,0.5
287,0.0,0.0,0.53,0.38
288,0.0,0.0,0.43,0.53
289,0.0,0.03,0.55,0.45
290,0.0,0.0,0.58,0.48
291,0.0,0.0,0.53,0.53
292,0.0,0.0,0.6,0.5
293,0.0,0.0,0.55,0.53
294,0.0,0.0,0.45,0.38
295,0.0,0.0,0.48,0.5
296,0.0,0.03,0.5,0.53
297,0.0,0.0,0.5,0.53
298,0.0,0.03,0.55,0.5
299,0.0,0.0,0.55,0.53
300,0.0,0.0,0.55,0.4
301,0.0,0.0,0.43,0.4
302,0.0,0.0,0.53,0.5
303,0.0,0.0,0.58,0.53
304,0.0,0.0,0.53,0.5
305,0.0,0.0,0.55,0.5
306,0.0,0.0,0.55,0.53
307,0.0,0.03,0.48,0.4
308,0.0,0.0,0.43,0.55
309,0.0,0.0,0.6,0.53
310,0.0,0.0,0.58,0.48
311,0.0,0.0,0.5,0.55
312,0.0,0.0,0.53,0.55
313,0.0,0.03,0.48,0.55
314,0.0,0.0,0.45,0.38
315,0.0,0.0,0.5,0.53
316,0.0,0.0,0.58,0.48
317,0.0,0.0,0.53,0.53
318,0.0,0.0,0.5,0.55
319,0.0,0.0,0.5,0.58
320,0.0,0.0,0.5,0.45
321,0.0,0.0,0.4,0.45
322,0.0,0.0,0.58,0.5
323,0.0,0.03,0.58,0.55
324,0.0,0.0,0.5,0.55
325,0.0,0.0,0.5,0.55
326,0.0,0.0,0.53,0.55
327,0.0,0.0,0.53,0.35
328,0.0,0.03,0.4,0.55
329,0.0,0.0,0.55,0.5
330,0.0,0.0,0.5,0.55
331,0.0,0.0,0.55,0.53
332,0.0,0.0,0.53,0.55
333,0.0,0.0,0.53,0.5
334,0.0,0.03,0.4,0.38
335,0.0,0.03,0.5,0.58
336,0.0,0.0,0.53,0.53
337,0.0,0.0,0.55,0.55
338,0.0,0.0,0.55,0.5
339,0.0,0.0,0.55,0.53
340,0.0,0.0,0.55,0.38
341,0.0,0.0,0.38,0.55
342,0.0,0.0,0.53,0.58
343,0.0,0.0,0.55,0.5
344,0.0,0.0,0.55,0.5
345,0.0,0.0,0.58,0.5
346,0.0,0.0,0.55,0.53
347,0.03,0.0,0.5,0.3
348,0.0,0.03,0.45,0.5
349,0.0,0.0,0.55,0.5
350,0.0,0.0,0.55,0.53
351,0.0,0.03,0.53,0.5
352,0.0,0.0,0.53,0.55
353,0.0,0.0,0.55,0.5
354,0.0,0.0,0.43,0.4
355,0.0,0.0,0.53,0.53
356,0.0,0.0,0.55,0.55
357,0.0,0.0,0.48,0.53
358,0.0,0.0,0.55,0.55
359,0.0,0.0,0.55,0.53
360,0.0,0.0,0.58,0.35
361,0.0,0.0,0.4,0.53
362,0.0,0.03,0.53,0.5
363,0.0,0.0,0.55,0.48
364,0.0,0.0,0.55,0.5
365,0.0,0.03,0.58,0.5
366,0.0,0.0,0.55,0.53
367,0.0,0.0,0.5,0.35
368,0.0,0.0,0.53,0.5
369,0.0,0.03,0.58,0.5
370,0.0,0.0,0.55,0.55
371,0.0,0.0,0.55,0.5
372,0.0,0.0,0.55,0.5
373,0.03,0.0,0.53,0.45
374,0.0,0.03,0.4,0.38
375,0.0,0.0,0.55,0.45
376,0.0,0.0,0.55,0.53
377,0.0,0.0,0.55,0.48
378,0.0,0.0,0.58,0.53
379,0.0,0.0,0.5,0.53
380,0.0,0.0,0.5,0.38
381,0.0,0.0,0.38,0.43
382,0.0,0.03,0.5,0.53
383,0.0,0.0,0.48,0.55
384,0.0,0.03,0.55,0.55
385,0.0,0.0,0.55,0.5
386,0.0,0.0,0.48,0.53
387,0.0,0.0,0.43,0.43
388,0.0,0.03,0.5,0.53
389,0.0,0.0,0.53,0.5
390,0.0,0.0,0.55,0.53
391,0.0,0.0,0.53,0.53
392,0.0,0.0,0.53,0.53
393,0.0,0.0,0.55,0.4
394,0.0,0.0,0.35,0.48
395,0.0,0.03,0.53,0.55
396,0.0,0.0,0.58,0.45
397,0.0,0.0,0.68,0.28
398,0.0,0.0,0.58,0.2
399,0.0,0.0,0.2,0.05
