%util,aceph01,aceph02,aceph03,aceph04
116,100.0,100.0,100.0,100.0
117,100.12,100.0,100.0,100.0
118,100.0,100.0,100.0,100.0
119,100.0,100.0,100.0,100.0
120,100.0,100.0,100.0,100.0
121,100.0,100.0,100.0,100.0
122,100.04,100.0,100.0,100.0
123,100.12,100.0,100.0,100.0
124,100.0,100.0,100.0,100.0
125,100.0,100.0,100.0,100.0
126,100.0,100.4,100.0,100.0
127,100.0,100.4,100.0,100.0
128,100.0,100.0,100.0,100.0
129,100.0,100.0,100.0,100.0
130,100.0,100.0,100.0,100.0
131,100.0,100.0,100.0,100.0
132,100.0,100.0,100.0,100.0
133,100.0,100.0,100.0,100.0
134,99.25,100.0,100.0,100.0
135,100.0,100.0,100.0,100.0
136,100.0,100.0,100.0,100.0
137,100.0,100.0,100.0,100.0
138,100.0,100.0,100.0,100.0
139,100.0,100.0,100.0,100.0
140,100.04,100.0,100.4,100.0
141,100.12,100.0,100.0,100.0
142,100.0,99.01,100.0,100.0
143,100.0,100.0,100.0,100.0
144,100.0,100.0,100.0,100.0
145,100.0,100.0,100.0,100.0
146,100.0,100.0,100.0,100.0
147,100.0,100.0,99.41,100.0
148,100.0,100.0,100.0,100.0
149,100.0,100.0,100.0,100.0
150,100.0,100.0,100.4,100.0
151,100.0,100.0,100.0,100.0
152,100.0,100.0,100.0,100.0
153,100.0,100.0,100.0,100.0
154,100.0,100.0,100.0,100.0
155,100.0,100.0,100.0,100.08
156,100.0,100.0,100.0,99.92
157,100.0,100.0,100.0,100.0
158,100.0,100.0,100.0,100.0
159,100.0,100.0,100.0,100.0
160,100.0,100.0,100.0,100.0
161,100.0,100.0,100.0,100.0
162,100.0,100.0,100.0,100.0
163,100.0,100.0,100.0,100.0
164,100.4,100.0,100.0,100.0
165,100.0,100.0,100.0,100.0
166,99.41,100.0,100.0,100.24
167,100.0,100.0,100.0,100.0
168,100.0,100.0,100.0,100.04
169,100.0,100.0,100.0,100.12
170,100.0,100.0,100.0,99.96
171,100.0,100.0,100.0,100.04
172,100.0,100.0,100.0,100.0
173,100.0,100.0,100.0,100.0
174,100.0,100.0,100.0,99.01
175,100.0,100.0,100.0,100.0
176,100.0,100.0,100.0,100.0
177,100.0,100.0,100.4,100.0
178,100.0,100.12,100.0,100.0
179,100.0,99.96,100.0,100.0
