subop_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
78,0.035,0.01,0.113,0.039,0.092,0.024,0.119,0.166,0.03,0.062,0.009,0.08,0.01,0.035,0.084,0.023,0.023,0.086,0.139,0.021,0.026,0.058,0.042,0.037,0.027,0.042,0.037,0.027,0.036,0.051,0.085,0.068,0.017,0.046,0.054,0.054,0.049,0.045,0.104,0.148
79,0.123,0.009,0.075,0.147,0.044,0.029,0.062,0.061,0.061,0.022,0.082,0.025,0.067,0.041,0.053,0.064,0.031,0.015,0.059,0.032,0.014,0.049,0.023,0.05,0.048,0.008,0.036,0.005,0.024,0.049,0.056,0.012,0.028,0.03,0.071,0.021,0.091,0.019,0.035,0.074
80,0.048,0.073,0.097,0.149,0.022,0.013,0.088,0.023,0.068,0.025,0.014,0.015,0.088,0.06,0.02,0.11,0.021,0.01,0.011,0.053,0.018,0.035,0.03,0.031,0.041,0.017,0.054,0.005,0.01,0.027,0.04,0.046,0.081,0.036,0.089,0.049,0.069,0.018,0.083,0.041
81,0.055,0.022,0.122,0.084,0.056,0.025,0.038,0.024,0.045,0.254,0.005,0.04,0.02,0.019,0.015,0.015,0.104,0.039,0.013,0.044,0.028,0.019,0.011,0.011,0.018,0.032,0.099,0.005,0.008,0.012,0.05,0.185,0.012,0.047,0.07,0.036,0.013,0.005,0.014,0.013
82,0.049,0.066,0.034,0.066,0.023,0.075,0.011,0.088,0.026,0.065,0.015,0.018,0.015,0.017,0.01,0.011,0.011,0.066,0.012,0.027,0.014,0.071,0.056,0.012,0.013,0.061,0.077,0.004,0.014,0.074,0.036,0.024,0.016,0.044,0.04,0.008,0.031,0.006,0.052,0.018
83,0.01,0.083,0.034,0.034,0.209,0.026,0.043,0.046,0.032,0.048,0.014,0.005,0.033,0.034,0.011,0.009,0.019,0.009,0.014,0.017,0.028,0.03,0.036,0.038,0.02,0.062,0.023,0.003,0.037,0.036,0.046,0.019,0.046,0.058,0.065,0.032,0.058,0.009,0.022,0.056
84,0.045,0.116,0.029,0.072,0.059,0.073,0.025,0.115,0.034,0.11,0.006,0.012,0.04,0.027,0.043,0.017,0.008,0.007,0.012,0.02,0.01,0.016,0.023,0.033,0.127,0.048,0.02,0.002,0.009,0.061,0.033,0.059,0.058,0.059,0.041,0.085,0.096,0.013,0.072,0.044
85,0.108,0.045,0.044,0.029,0.047,0.031,0.036,0.039,0.08,0.107,0.004,0.006,0.018,0.02,0.077,0.012,0.011,0.009,0.034,0.009,0.038,0.039,0.056,0.063,0.044,0.019,0.048,0.113,0.015,0.063,0.031,0.121,0.031,0.065,0.086,0.019,0.031,0.039,0.136,0.062
86,0.025,0.032,0.014,0.08,0.039,0.08,0.014,0.016,0.1,0.096,0.014,0.014,0.015,0.011,0.045,0.038,0.024,0.019,0.019,0.02,0.006,0.214,0.053,0.038,0.019,0.047,0.046,0.077,0.003,0.009,0.043,0.043,0.031,0.065,0.182,0.012,0.11,0.026,0.022,0.033
87,0.035,0.028,0.035,0.104,0.048,0.043,0.035,0.027,0.069,0.073,0.026,0.057,0.017,0.018,0.032,0.03,0.045,0.027,0.019,0.009,0.021,0.098,0.035,0.027,0.067,0.014,0.035,0.004,0.018,0.025,0.032,0.134,0.014,0.077,0.086,0.026,0.081,0.031,0.108,0.043
88,0.016,0.077,0.023,0.016,0.072,0.118,0.076,0.022,0.072,0.164,0.01,0.007,0.018,0.013,0.049,0.029,0.023,0.019,0.014,0.036,0.04,0.084,0.028,0.03,0.073,0.03,0.089,0.014,0.037,0.041,0.038,0.027,0.022,0.049,0.014,0.026,0.049,0.113,0.071,0.041
89,0.032,0.06,0.033,0.01,0.044,0.086,0.029,0.049,0.077,0.063,0.007,0.038,0.009,0.012,0.062,0.022,0.067,0.014,0.024,0.072,0.06,0.026,0.019,0.039,0.06,0.044,0.012,0.013,0.074,0.042,0.028,0.019,0.027,0.032,0.032,0.055,0.059,0.027,0.014,0.082
90,0.016,0.015,0.039,0.036,0.016,0.047,0.007,0.106,0.08,0.068,0.016,0.021,0.016,0.021,0.133,0.024,0.067,0.014,0.05,0.021,0.015,0.119,0.05,0.066,0.04,0.02,0.044,0.004,0.008,0.046,0.062,0.046,0.39,0.025,0.14,0.015,0.029,0.011,0.04,0.049
91,0.033,0.042,0.063,0.018,0.034,0.024,0.096,0.043,0.125,0.074,0.01,0.011,0.069,0.066,0.021,0.047,0.032,0.105,0.062,0.012,0.012,0.028,0.039,0.052,0.028,0.022,0.019,0.01,0.021,0.026,0.099,0.109,0.028,0.069,0.055,0.123,0.037,0.031,0.035,0.07
92,0.023,0.061,0.07,0.012,0.073,0.052,0.01,0.021,0.065,0.043,0.023,0.027,0.025,0.016,0.063,0.026,0.036,0.03,0.11,0.027,0.011,0.026,0.086,0.06,0.05,0.026,0.023,0.007,0.012,0.018,0.193,0.074,0.034,0.036,0.063,0.013,0.114,0.147,0.009,0.067
93,0.029,0.057,0.071,0.036,0.041,0.089,0.051,0.059,0.132,0.038,0.028,0.011,0.049,0.032,0.033,0.141,0.03,0.058,0.052,0.086,0.007,0.043,0.051,0.014,0.007,0.01,0.008,0.019,0.021,0.023,0.129,0.025,0.044,0.062,0.077,0.023,0.08,0.212,0.155,0.05
94,0.025,0.012,0.084,0.129,0.043,0.043,0.065,0.105,0.064,0.102,0.008,0.008,0.028,0.026,0.363,0.057,0.039,0.071,0.031,0.063,0.008,0.016,0.032,0.019,0.009,0.02,0.05,0.004,0.009,0.049,0.09,0.148,0.08,0.071,0.04,0.045,0.083,0.021,0.062,0.042
95,0.024,0.033,0.043,0.095,0.1,0.053,0.085,0.084,0.025,0.017,0.026,0.016,0.018,0.077,0.093,0.054,0.018,0.069,0.031,0.057,0.006,0.013,0.015,0.011,0.014,0.023,0.013,0.005,0.006,0.056,0.044,0.045,0.028,0.043,0.051,0.071,0.083,0.049,0.007,0.058
96,0.008,0.019,0.081,0.08,0.071,0.074,0.1,0.127,0.051,0.055,0.058,0.056,0.025,0.05,0.035,0.049,0.074,0.033,0.061,0.034,0.006,0.037,0.039,0.023,0.034,0.05,0.028,0.011,0.01,0.019,0.011,0.123,0.014,0.115,0.042,0.221,0.034,0.014,0.067,0.072
97,0.009,0.122,0.055,0.013,0.066,0.076,0.161,0.058,0.056,0.055,0.067,0.027,0.057,0.039,0.026,0.02,0.07,0.02,0.035,0.047,0.018,0.016,0.022,0.041,0.032,0.021,0.023,0.006,0.007,0.031,0.049,0.186,0.029,0.057,0.019,0.151,0.091,0.008,0.005,0.077
98,0.01,0.039,0.062,0.114,0.06,0.022,0.024,0.004,0.068,0.112,0.037,0.137,0.054,0.063,0.031,0.016,0.052,0.047,0.028,0.021,0.004,0.02,0.057,0.015,0.021,0.023,0.012,0.003,0.005,0.043,0.1,0.101,0.022,0.051,0.098,0.037,0.021,0.087,0.016,0.051
99,0.043,0.012,0.04,0.018,0.064,0.058,0.028,0.031,0.129,0.018,0.013,0.056,0.01,0.082,0.02,0.114,0.015,0.03,0.067,0.022,0.006,0.032,0.014,0.017,0.032,0.018,0.016,0.007,0.015,0.059,0.043,0.139,0.021,0.053,0.053,0.054,0.021,0.045,0.032,0.042
100,0.03,0.024,0.057,0.013,0.142,0.025,0.018,0.008,0.086,0.14,0.021,0.005,0.031,0.018,0.047,0.014,0.025,0.021,0.031,0.03,0.006,0.037,0.031,0.045,0.018,0.017,0.075,0.011,0.034,0.049,0.028,0.016,0.015,0.049,0.25,0.012,0.031,0.006,0.011,0.038
101,0.063,0.096,0.093,0.019,0.071,0.028,0.018,0.042,0.046,0.064,0.01,0.044,0.108,0.027,0.025,0.017,0.015,0.005,0.021,0.021,0.041,0.021,0.035,0.011,0.012,0.029,0.171,0.013,0.02,0.053,0.058,0.03,0.028,0.04,0.057,0.01,0.089,0.031,0.019,0.066
102,0.031,0.044,0.078,0.024,0.025,0.022,0.012,0.02,0.052,0.067,0.009,0.034,0.023,0.056,0.052,0.063,0.014,0.033,0.011,0.042,0.046,0.05,0.048,0.042,0.059,0.031,0.034,0.033,0.008,0.05,0.041,0.031,0.036,0.04,0.026,0.008,0.025,0.012,0.06,0.059
103,0.025,0.126,0.026,0.047,0.082,0.238,0.013,0.021,0.05,0.04,0.031,0.023,0.038,0.028,0.032,0.01,0.034,0.017,0.015,0.05,0.084,0.031,0.063,0.042,0.074,0.027,0.046,0.029,0.017,0.038,0.044,0.044,0.043,0.026,0.036,0.025,0.014,0.056,0.012,0.035
104,0.006,0.044,0.009,0.02,0.063,0.032,0.022,0.007,0.048,0.017,0.011,0.018,0.026,0.048,0.019,0.035,0.062,0.039,0.022,0.016,0.1,0.052,0.042,0.042,0.05,0.018,0.013,0.047,0.042,0.048,0.048,0.043,0.011,0.039,0.021,0.018,0.028,0.038,0.073,0.039
105,0.014,0.073,0.027,0.057,0.036,0.023,0.006,0.053,0.07,0.064,0.023,0.074,0.035,0.029,0.028,0.03,0.013,0.032,0.053,0.045,0.022,0.051,0.04,0.048,0.011,0.01,0.067,0.06,0.055,0.072,0.051,0.055,0.055,0.081,0.027,0.05,0.024,0.053,0.04,0.05
106,0.028,0.037,0.036,0.035,0.047,0.073,0.018,0.06,0.057,0.068,0.004,0.015,0.056,0.04,0.078,0.044,0.05,0.037,0.023,0.015,0.017,0.022,0.036,0.077,0.022,0.031,0.06,0.082,0.065,0.039,0.033,0.085,0.025,0.034,0.038,0.041,0.024,0.096,0.08,0.053
107,0.046,0.026,0.091,0.032,0.142,0.072,0.092,0.097,0.067,0.074,0.011,0.017,0.02,0.007,0.038,0.029,0.032,0.023,0.116,0.033,0.033,0.019,0.018,0.057,0.053,0.056,0.143,0.01,0.008,0.013,0.062,0.063,0.074,0.063,0.132,0.045,0.044,0.029,0.049,0.077
108,0.027,0.072,0.044,0.043,0.106,0.044,0.054,0.037,0.058,0.054,0.045,0.05,0.043,0.046,0.088,0.014,0.034,0.078,0.014,0.079,0.016,0.011,0.023,0.016,0.096,0.068,0.094,0.045,0.019,0.024,0.054,0.178,0.052,0.062,0.026,0.083,0.038,0.012,0.031,0.081
109,0.039,0.024,0.055,0.104,0.052,0.144,0.013,0.062,0.048,0.025,0.02,0.082,0.087,0.091,0.076,0.014,0.044,0.058,0.035,0.044,0.05,0.03,0.013,0.02,0.034,0.033,0.02,0.036,0.019,0.033,0.081,0.077,0.042,0.029,0.012,0.039,0.029,0.027,0.05,0.052
110,0.044,0.052,0.052,0.027,0.095,0.048,0.033,0.044,0.044,0.059,0.04,0.028,0.029,0.037,0.023,0.059,0.033,0.015,0.02,0.011,0.068,0.017,0.046,0.052,0.019,0.019,0.012,0.003,0.01,0.017,0.022,0.066,0.012,0.045,0.028,0.039,0.124,0.004,0.019,0.015
111,0.047,0.036,0.024,0.112,0.1,0.052,0.045,0.013,0.039,0.034,0.003,0.02,0.012,0.01,0.012,0.016,0.017,0.014,0.102,0.046,0.015,0.011,0.017,0.041,0.017,0.007,0.012,0.004,0.005,0.035,0.065,0.105,0.029,0.015,0.032,0.081,0.019,0.074,0.066,0.023
112,0.06,0.077,0.084,0.08,0.059,0.058,0.037,0.062,0.042,0.219,0.019,0.01,0.012,0.018,0.009,0.012,0.016,0.012,0.01,0.044,0.012,0.025,0.031,0.024,0.028,0.02,0.03,0.007,0.058,0.083,0.055,0.112,0.01,0.025,0.04,0.018,0.014,0.003,0.039,0.024
113,0.088,0.039,0.049,0.053,0.035,0.093,0.064,0.033,0.079,0.126,0.018,0.053,0.029,0.046,0.056,0.018,0.013,0.006,0.008,0.131,0.011,0.034,0.013,0.072,0.019,0.019,0.04,0.004,0.062,0.062,0.042,0.024,0.028,0.019,0.039,0.018,0.038,0.016,0.023,0.035
