bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
220,117177607895,134939690212,131584500226,114002491992,137294891965,117346744245,120121391598,145089478959,132943367216,130993767078,120218841812,136164821880,112502345520,128550906404,141994026360,133880273531,127104891398,130122676733,112055080089,115630598502,138114625076,127190453232,125536661408,142797810810,123810692276,131281742674,128049244730,135041011630,126854659628,128428684941,118849843825,145733956289,129156840195,121172626132,124148581704,117968701271,127683631541,142188752526,138665624305,112680078603
221,117180400286,134941946962,131586660595,114004758042,137297307307,117348898907,120123934774,145091385073,132946109611,130995661056,120221375682,136167380719,112505509297,128553356696,141996096716,133883353757,127107217479,130124930639,112058373126,115633245953,138117045354,127192867846,125539490938,142800888897,123813088324,131284031584,128051775743,135043380526,126857084219,128432029425,118852393409,145736700872,129159336207,121174697210,124151720501,117970575243,127686500404,142190427952,138667138343,112682222555
222,117182497082,134944387242,131589062365,114007416154,137299832619,117351629199,120125929477,145094066780,132948318532,130998229168,120223505353,136170043882,112507438258,128555743427,141998611327,133885353441,127109413553,130127480199,112060803431,115635425587,138119437802,127195873793,125542325509,142804244084,123815775727,131286996114,128054883101,135045760130,126859392405,128434026253,118855219357,145738752700,129161857931,121177551721,124153764433,117972999115,127689448522,142193193178,138669617224,112684283660
223,117185345172,134946916786,131591822676,114010245676,137302288639,117353541745,120128517649,145096327862,132951154502,131001101565,120226113486,136172644889,112510383502,128558516540,142001247320,133888472234,127112070989,130130055464,112063370145,115638149437,138121740255,127198338429,125544370169,142806355871,123818051760,131289153631,128057119912,135047994764,126861350643,128435955952,118857640363,145740942360,129164548885,121180191998,124156279028,117975069451,127691946699,142195839156,138672568884,112687434587
224,117187763321,134949559928,131594497959,114013499397,137305169593,117356294170,120131153659,145099089550,132954154699,131004206056,120228440946,136175258746,112513412293,128561031126,142004015448,133890752608,127114772700,130132555739,112066131118,115641246100,138124068438,127200939426,125546787633,142809192553,123820566333,131291568943,128059813716,135050643589,126863560994,128438824053,118860579898,145743159856,129167229862,121182998666,124158751485,117977706892,127694322032,142198347312,138675249878,112689968466
225,117190949202,134952338740,131597272526,114016391746,137308410491,117359085135,120133154069,145101420592,132956109361,131007796849,120230996943,136178267507,112516288935,128563779938,142006305795,133893074388,127117557966,130135324568,112068872774,115643474313,138126724421,127203064066,125549263667,142812133513,123823110215,131294369925,128062083348,135052694668,126865898462,128441313659,118862814526,145745752339,129169908705,121184956930,124160979681,117979455899,127697171595,142200665493,138678160857,112692075285
226,117193183832,134954891155,131599427184,114018777768,137310533029,117361674029,120135677217,145104163013,132958406858,131011309811,120233134436,136180592852,112518660667,128566259537,142009033195,133895531169,127119574063,130137495631,112071442333,115645998195,138128795473,127205370137,125551677542,142814937335,123825531249,131296517429,128065144982,135055229282,126868126659,128444359614,118865502651,145747904155,129171947653,121188253538,124164007740,117982321160,127699574812,142203202911,138680991132,112694534890
227,117195222791,134957279325,131601657529,114021273064,137313134026,117363618717,120137786896,145105737751,132961309941,131012737435,120234946988,136182674668,112521145961,128568501307,142011053595,133898047912,127121837995,130139855236,112073737641,115648673481,138131256473,127208231838,125554342800,142817908997,123828132223,131299485508,128067906644,135057020424,126870207752,128447169148,118868409286,145750180922,129175089269,121191427310,124166695870,117985189248,127702285103,142206096701,138683818550,112697404467
228,117197996611,134959744586,131603428675,114023974039,137316178517,117366329706,120140438605,145108387295,132965036452,131015899069,120236950233,136185195700,112523438435,128570518112,142012656945,133900164001,127124024787,130141587796,112075713056,115650939546,138133501814,127210949278,125556741704,142820207889,123830345435,131301507311,128069907026,135059716422,126872329532,128449664454,118870897442,145752416280,129177527430,121193179141,124168944103,117987649563,127705266781,142208367755,138685374721,112700021903
229,117200150527,134961898522,131605711161,114025540209,137318489566,117367696639,120142918232,145110098450,132967180366,131018429356,120239267695,136187993827,112525989464,128573039108,142015290081,133902575738,127126300832,130143718880,112078500431,115653009930,138135592175,127213694588,125558783504,142823600923,123833520673,131303516982,128072637279,135062410970,126874160682,128452162625,118873434133,145754853038,129180187734,121196149356,124171063041,117990392677,127707122928,142211024455,138688178554,112702675052
