kbmemfree,aceph01,aceph02,aceph03,aceph04
286,9955488.0,10128928.0,10229760.0,10319368.0
287,9973452.0,10150312.0,10182296.0,10268252.0
288,9924292.0,10115896.0,10189320.0,10314884.0
289,9932212.0,10115288.0,10182428.0,10272204.0
290,9966764.0,10119124.0,10150780.0,10282968.0
291,9911312.0,10055560.0,10144312.0,10285268.0
292,9941272.0,10066624.0,10145676.0,10239748.0
293,9869764.0,10091364.0,10125904.0,10238300.0
294,9850876.0,10043620.0,10066096.0,10212780.0
295,9847312.0,10066384.0,10071724.0,10206464.0
296,9770556.0,10037504.0,10065872.0,10201612.0
297,9834856.0,10019988.0,10037524.0,10193780.0
298,9845080.0,10047988.0,10061556.0,10154336.0
299,9789248.0,10024336.0,10052024.0,10172380.0
300,9800380.0,9978436.0,10023972.0,10110708.0
301,9817132.0,10003608.0,10013384.0,10107368.0
302,9772976.0,9996104.0,10006764.0,10150824.0
303,9809412.0,9958460.0,9963816.0,10105496.0
304,9756180.0,9940816.0,9951552.0,10070532.0
305,9728416.0,9955880.0,9951628.0,10093620.0
306,9753540.0,9942180.0,9958060.0,10027504.0
307,9702588.0,9892108.0,9910060.0,10032740.0
308,9683204.0,9908352.0,9932516.0,10052540.0
309,9699868.0,9905976.0,9888876.0,10008000.0
310,9637520.0,9875916.0,9876984.0,10015332.0
311,9654612.0,9869512.0,9890628.0,10018804.0
312,9640028.0,9850644.0,9847860.0,9965028.0
313,9588092.0,9805688.0,9844020.0,9967812.0
314,9626804.0,9826180.0,9854956.0,9989288.0
315,9591472.0,9796848.0,9826708.0,9936144.0
316,9589376.0,9755448.0,9790152.0,9932120.0
317,9585512.0,9781400.0,9806316.0,9921428.0
318,9519956.0,9745540.0,9763264.0,9860604.0
319,9541056.0,9734232.0,9766272.0,9870128.0
320,9496500.0,9730984.0,9754660.0,9881616.0
321,9465592.0,9708800.0,9713272.0,9853676.0
322,9469256.0,9743460.0,9735296.0,9869824.0
323,9429604.0,9721056.0,9721452.0,9819860.0
324,9424332.0,9703460.0,9691524.0,9805440.0
325,9427804.0,9698548.0,9707788.0,9835528.0
326,9393336.0,9659928.0,9685716.0,9781376.0
327,9402284.0,9633748.0,9635596.0,9764228.0
328,9383108.0,9656924.0,9656440.0,9796036.0
329,9320448.0,9620824.0,9633704.0,9732716.0
330,9345084.0,9614672.0,9578248.0,9734268.0
331,9285076.0,9621908.0,9623572.0,9722172.0
332,9290504.0,9604292.0,9613328.0,9687356.0
333,9310516.0,9546564.0,9560988.0,9710532.0
334,9230544.0,9544640.0,9582328.0,9665460.0
335,9236940.0,9481192.0,9570832.0,9637804.0
336,9252568.0,9461812.0,9532008.0,9670072.0
337,9222432.0,9441176.0,9545344.0,9618576.0
338,9231924.0,9415160.0,9512164.0,9621088.0
339,9247128.0,9452480.0,9480064.0,9633796.0
340,9190456.0,9418600.0,9498708.0,9590392.0
341,9191500.0,9396620.0,9420832.0,9584380.0
342,9198540.0,9438432.0,9425492.0,9580912.0
343,9125668.0,9424684.0,9438676.0,9551420.0
344,9145760.0,9391896.0,9394588.0,9570496.0
345,9116240.0,9421352.0,9397076.0,9562552.0
346,9101892.0,9421700.0,9425668.0,9516684.0
347,9123840.0,9385560.0,9389996.0,9526984.0
348,9093592.0,9390116.0,9383312.0,9498688.0
349,9080008.0,9355156.0,9363956.0,9467904.0
350,9090600.0,9311616.0,9301360.0,9480968.0
351,9045740.0,9316640.0,9329400.0,9433516.0
352,9075512.0,9263728.0,9321064.0,9436644.0
353,9014224.0,9284292.0,9297976.0,9435916.0
354,9006940.0,9281732.0,9320888.0,9397980.0
355,9006192.0,9242312.0,9302068.0,9425724.0
356,8954764.0,9229716.0,9236104.0,9424308.0
357,8923076.0,9252912.0,9289140.0,9389968.0
358,8969984.0,9208516.0,9276828.0,9381652.0
359,8920220.0,9193208.0,9228408.0,9375904.0
360,8929328.0,9208508.0,9230932.0,9324468.0
361,8932308.0,9162456.0,9196564.0,9301296.0
362,8874888.0,9194128.0,9191440.0,9334560.0
363,8870428.0,9146760.0,9204396.0,9294148.0
364,8888444.0,9124004.0,9170876.0,9298756.0
365,8845676.0,9138240.0,9141624.0,9294324.0
366,8849636.0,9093872.0,9166648.0,9239716.0
367,8832936.0,9087660.0,9135644.0,9274824.0
368,8789212.0,9129800.0,9091564.0,9230568.0
369,8803152.0,9129120.0,9130592.0,9235512.0
370,8782048.0,9078680.0,9077068.0,9229724.0
371,8749744.0,9097540.0,9101848.0,9189032.0
372,8736648.0,9057396.0,9085240.0,9204064.0
373,8677540.0,9036440.0,9034380.0,9133028.0
374,8739756.0,9060192.0,9065140.0,9123412.0
375,8763684.0,9026264.0,9026696.0,9133276.0
376,8725236.0,9005228.0,9018316.0,9085760.0
377,8727424.0,9012912.0,9030092.0,9106624.0
378,8690144.0,8952052.0,8985052.0,9081700.0
379,8652348.0,8959200.0,8957924.0,9035176.0
380,8640184.0,8983816.0,8987120.0,9058996.0
381,8597308.0,8918992.0,8961036.0,9028740.0
382,8610960.0,8923884.0,8921984.0,9039048.0
383,8738480.0,8937888.0,8925600.0,9006832.0
384,8670864.0,8882048.0,8871500.0,8997820.0
385,8711348.0,8900628.0,8879452.0,9034264.0
386,8663588.0,8919700.0,8885708.0,9013576.0
387,8669180.0,8867564.0,8835624.0,8954336.0
388,8636852.0,8867224.0,8830288.0,8991080.0
389,8582740.0,8866400.0,8837540.0,8931980.0
390,8604648.0,8827944.0,8788456.0,8941412.0
391,8556904.0,8831660.0,8783136.0,8910456.0
392,8548084.0,8833500.0,8765020.0,8857192.0
393,8522780.0,8792516.0,8733908.0,8907524.0
394,8477288.0,8780112.0,8785172.0,8893164.0
395,8538952.0,8805704.0,8767888.0,8865988.0
396,8514404.0,8738156.0,8708940.0,8883924.0
397,8488064.0,8742264.0,8737516.0,8832528.0
398,8482384.0,8766892.0,8724984.0,8811512.0
399,8486276.0,8752172.0,8704244.0,8839004.0
