kbcommit,client01,client02,client03,client04
210,44510984.0,38369672.0,47680420.0,38876132.0
211,44510984.0,38375360.0,47680420.0,38876140.0
212,44510984.0,38375360.0,47680420.0,38876140.0
213,44510984.0,38375360.0,47680420.0,38876140.0
214,44479620.0,38381020.0,47680420.0,38876140.0
215,44471820.0,38381020.0,47680420.0,38876140.0
216,44471820.0,38381020.0,47673616.0,38876140.0
217,44471820.0,38381020.0,47673616.0,38876140.0
218,44471820.0,38381020.0,47680056.0,38876140.0
219,44471820.0,38375320.0,47680056.0,38882584.0
220,44471820.0,38375320.0,47673596.0,38876112.0
221,44505600.0,38375320.0,47673596.0,38876112.0
222,44493928.0,38375320.0,47673596.0,38876112.0
223,44493928.0,38375320.0,47680028.0,38876112.0
224,44493928.0,38375320.0,47680028.0,38876112.0
225,44493928.0,38380952.0,47680028.0,38876112.0
226,44493928.0,38380952.0,47680028.0,38876112.0
227,44476232.0,38380952.0,47673560.0,38876112.0
228,44513148.0,38375300.0,47673560.0,38876112.0
229,44505556.0,38380976.0,47673584.0,38876112.0
230,44505556.0,38380976.0,47673584.0,38876112.0
231,44505556.0,38380976.0,47673584.0,38876112.0
232,44505556.0,38380976.0,47673584.0,38869628.0
233,44505556.0,38386700.0,47673584.0,38869628.0
234,44504440.0,38386700.0,47673584.0,38869628.0
235,44512544.0,38392336.0,47673584.0,38862844.0
236,44512544.0,38392336.0,47673584.0,38869292.0
237,44512544.0,38392348.0,47673584.0,38869292.0
238,44512544.0,38386696.0,47673584.0,38869292.0
239,44512544.0,38393680.0,47673584.0,38869292.0
240,44525456.0,38393680.0,47673584.0,38869292.0
241,44544828.0,38387976.0,47673584.0,38869292.0
242,44550356.0,38387976.0,47673584.0,38869292.0
243,44550356.0,38381976.0,47680036.0,38869292.0
244,44550356.0,38381976.0,47680036.0,38875760.0
245,44550356.0,38381976.0,47680036.0,38875760.0
246,44550356.0,38381976.0,47680036.0,38875760.0
247,44526424.0,38376208.0,47673452.0,38869232.0
248,44491716.0,38376208.0,47673452.0,38869232.0
