kbbuffers,client01,client02,client03,client04
316,2100.0,2832.0,1620.0,1688.0
317,2108.0,2840.0,1628.0,1696.0
318,2116.0,2840.0,1628.0,1704.0
319,2116.0,2848.0,1628.0,1704.0
320,2116.0,2852.0,1636.0,1704.0
321,2116.0,2852.0,1636.0,1704.0
322,2124.0,2868.0,1644.0,1712.0
323,2132.0,2868.0,1644.0,1720.0
324,2132.0,2876.0,1644.0,1720.0
325,2132.0,2876.0,1652.0,1720.0
326,2132.0,2876.0,1652.0,1720.0
327,2140.0,2892.0,1660.0,1728.0
328,2148.0,2892.0,1660.0,1736.0
329,2148.0,2896.0,1660.0,1736.0
330,2148.0,2900.0,1668.0,1736.0
331,2148.0,2900.0,1668.0,1736.0
332,2156.0,2916.0,1676.0,1744.0
333,2164.0,2916.0,1676.0,1752.0
334,2164.0,2916.0,1676.0,1752.0
335,2164.0,2924.0,1684.0,1752.0
336,2164.0,2924.0,1684.0,1752.0
337,2172.0,2932.0,1692.0,1760.0
338,2180.0,2932.0,1692.0,1768.0
339,2180.0,2932.0,1692.0,1768.0
340,2180.0,2940.0,1700.0,1768.0
341,2180.0,2940.0,1700.0,1768.0
342,2188.0,2956.0,1708.0,1776.0
343,2196.0,2956.0,1708.0,1784.0
344,2196.0,2956.0,1708.0,1784.0
345,2196.0,2964.0,1716.0,1784.0
346,2196.0,2964.0,1716.0,1784.0
347,2204.0,2972.0,1724.0,1792.0
348,2212.0,2972.0,1724.0,1800.0
349,2212.0,2972.0,1724.0,1800.0
350,2212.0,2980.0,1732.0,1800.0
351,2212.0,2980.0,1732.0,1800.0
352,2220.0,2996.0,1740.0,1808.0
353,2228.0,2996.0,1740.0,1816.0
354,2228.0,2996.0,1740.0,1816.0
355,2228.0,3004.0,1748.0,1816.0
356,2228.0,3004.0,1748.0,1816.0
357,2236.0,3012.0,1756.0,1824.0
358,2244.0,3012.0,1756.0,1832.0
359,2244.0,3012.0,1756.0,1832.0
360,2244.0,3020.0,1764.0,1832.0
361,2244.0,3020.0,1764.0,1832.0
362,2252.0,3040.0,1772.0,1840.0
363,2260.0,3040.0,1772.0,1848.0
364,2260.0,3040.0,1772.0,1848.0
365,2260.0,3048.0,1780.0,1848.0
366,2260.0,3048.0,1780.0,1848.0
367,2268.0,3056.0,1788.0,1856.0
368,2280.0,3056.0,1788.0,1864.0
369,2280.0,3056.0,1788.0,1864.0
370,2280.0,3064.0,1796.0,1864.0
371,2280.0,3064.0,1796.0,1864.0
372,2288.0,3080.0,1804.0,1872.0
373,2296.0,3080.0,1804.0,1880.0
374,2296.0,3080.0,1804.0,1880.0
375,2296.0,3088.0,1812.0,1880.0
376,2296.0,3088.0,1812.0,1880.0
377,2304.0,3096.0,1820.0,1888.0
378,2312.0,3096.0,1820.0,1896.0
379,2312.0,3096.0,1820.0,1896.0
380,2312.0,3104.0,1828.0,1896.0
381,2312.0,3104.0,1828.0,1896.0
382,2320.0,3120.0,1836.0,1904.0
383,2328.0,3120.0,1836.0,1912.0
384,2328.0,3120.0,1836.0,1912.0
385,2328.0,3128.0,1844.0,1912.0
386,2328.0,3128.0,1844.0,1912.0
387,2336.0,3136.0,1852.0,1920.0
388,2344.0,3136.0,1852.0,1928.0
389,2344.0,3136.0,1852.0,1928.0
390,2344.0,3144.0,1860.0,1928.0
391,2344.0,3144.0,1860.0,1928.0
392,2352.0,3160.0,1868.0,1936.0
393,2360.0,3160.0,1868.0,1944.0
394,2360.0,3160.0,1868.0,1944.0
395,2360.0,3168.0,1876.0,1944.0
396,2360.0,3168.0,1876.0,1944.0
397,2368.0,3176.0,1884.0,1952.0
398,2376.0,3176.0,1884.0,1960.0
399,2376.0,3176.0,1884.0,1960.0
