await,aceph01,aceph02,aceph03,aceph04
301,493.319,426.578,580.029,607.118
302,466.803,516.781,644.053,570.774
303,518.791,424.381,811.176,499.087
304,561.185,539.476,625.383,492.769
305,539.865,491.993,570.151,490.692
306,442.22,598.768,440.731,515.876
307,456.098,535.271,535.149,592.099
308,434.099,581.159,563.368,506.184
309,697.23,482.475,513.948,483.769
310,639.662,449.739,727.063,503.502
311,558.135,477.734,597.757,557.009
312,501.266,467.189,584.092,540.005
313,524.513,545.12,644.686,510.165
314,457.859,517.365,477.886,518.384
315,561.181,516.523,539.045,474.478
316,489.96,507.414,516.452,518.688
317,586.471,521.576,566.115,501.688
318,501.74,510.544,602.212,631.357
319,493.783,492.86,497.122,519.841
320,546.374,478.235,474.503,517.139
321,611.262,475.741,501.629,510.969
322,504.676,530.406,495.08,467.665
323,504.744,552.257,536.335,462.109
324,500.04,511.641,554.345,482.161
325,451.621,576.874,554.61,439.77
326,482.443,492.544,524.483,526.902
327,555.571,505.728,594.995,586.58
328,544.799,526.728,562.451,488.657
329,550.779,536.922,421.604,501.258
330,547.754,511.838,506.484,454.837
331,517.326,450.796,497.851,489.077
332,485.706,658.557,657.718,580.859
333,530.57,417.666,652.488,483.388
334,518.759,539.762,529.549,488.503
335,575.421,566.17,508.545,499.335
336,533.011,632.056,477.409,504.454
337,598.361,545.319,446.15,592.715
338,602.214,552.969,627.077,548.225
339,539.086,557.382,468.671,549.382
340,555.597,635.535,730.25,452.196
341,527.331,544.755,586.178,434.876
342,482.302,482.256,533.305,515.919
343,492.903,488.302,472.849,572.543
344,465.433,560.103,473.825,500.89
345,466.328,546.669,455.834,555.508
346,463.622,608.672,541.869,501.951
347,484.172,482.75,501.645,465.273
348,453.649,557.356,527.792,489.315
349,455.504,676.773,460.669,447.675
350,427.657,525.226,480.078,473.52
351,440.911,536.159,519.609,514.571
352,464.56,537.133,469.418,451.836
353,436.739,482.458,509.319,445.663
354,511.971,602.453,524.489,456.095
355,510.262,495.844,518.013,458.906
356,526.946,589.485,482.083,459.133
357,526.627,542.447,479.192,408.674
358,477.298,721.946,505.802,492.852
359,607.708,534.87,473.646,451.573
360,591.259,422.286,486.81,444.743
361,563.229,428.214,467.329,463.071
362,471.223,459.582,523.818,445.558
363,544.498,615.586,479.828,454.852
364,463.618,650.569,495.943,384.709
365,585.737,644.042,575.778,396.992
366,423.979,569.691,422.594,421.161
367,501.437,489.521,486.596,546.968
368,432.072,481.635,518.024,425.632
369,581.363,475.001,478.137,441.348
370,598.673,644.75,603.914,492.627
371,395.918,485.204,521.029,398.36
372,490.521,591.188,471.184,468.249
373,526.4,532.193,456.662,443.873
374,511.046,466.573,464.538,460.961
375,468.491,533.298,465.075,438.418
376,465.396,529.287,469.228,477.019
377,446.89,496.197,477.969,449.254
378,453.103,503.324,544.834,439.832
379,524.821,487.614,464.89,447.108
380,671.682,471.884,494.149,466.861
381,509.436,478.82,480.794,526.205
382,510.466,466.457,502.489,416.257
383,500.595,592.68,488.948,470.413
384,468.233,499.316,568.668,427.522
385,473.655,523.588,493.326,470.431
386,527.11,585.002,466.691,471.098
387,583.574,547.876,478.985,385.593
388,547.581,538.009,517.839,417.503
389,465.68,537.122,454.322,483.709
390,466.197,491.857,527.577,438.68
391,504.486,443.973,500.174,468.609
392,523.365,503.869,429.39,380.945
393,507.717,566.86,419.52,445.376
394,474.585,559.166,455.737,520.669
395,535.896,442.374,472.766,424.657
396,453.52,698.752,444.354,457.463
397,471.959,484.989,426.12,503.838
398,438.845,450.216,427.494,495.423
399,422.376,455.268,419.565,402.222
