%sys,aceph01,aceph02,aceph03,aceph04
162,8.89,7.38,8.03,8.0
163,9.51,9.27,8.24,7.88
164,8.14,8.0,9.02,8.62
165,7.76,7.89,8.62,8.14
166,7.48,9.4,9.52,8.99
167,7.39,8.0,7.88,9.22
168,8.0,8.82,7.88,7.65
169,8.15,9.77,9.36,7.89
170,9.26,9.18,8.66,9.0
171,8.49,7.75,7.89,8.23
172,8.4,8.65,8.5,8.74
173,8.86,10.2,7.02,8.62
174,10.12,8.1,8.84,7.88
175,10.25,8.15,9.14,8.5
176,9.0,6.77,7.75,9.16
177,9.01,7.77,8.75,8.88
178,9.03,7.72,8.52,7.62
179,9.14,8.07,8.6,8.66
180,8.99,8.86,8.11,8.67
181,9.74,8.74,8.62,8.67
182,8.77,8.89,8.14,9.52
183,8.11,7.75,9.14,7.62
184,8.9,7.76,8.61,9.64
185,8.24,8.77,8.62,7.49
186,7.76,8.34,9.59,7.11
187,8.99,7.38,8.98,9.9
188,8.75,9.14,9.01,7.75
189,9.52,7.47,9.01,6.75
190,9.39,8.16,7.27,7.49
191,8.51,9.66,9.5,8.02
192,8.65,8.75,8.42,7.5
193,11.0,6.81,8.78,7.87
194,9.28,8.15,7.9,8.26
195,8.39,9.87,8.77,7.99
196,8.68,7.78,10.04,8.77
197,7.62,7.88,8.59,9.88
198,8.64,8.64,7.89,8.39
199,9.12,7.63,8.49,8.65
200,7.99,9.5,7.16,8.25
201,8.49,7.78,7.14,8.5
202,8.01,8.01,9.12,8.39
203,8.74,8.64,8.88,8.38
204,9.12,8.4,8.16,9.01
205,7.41,8.38,7.62,8.52
206,9.11,9.12,9.15,8.49
207,8.39,8.62,9.15,7.51
208,9.49,8.62,7.03,7.5
209,8.76,8.7,8.64,7.61
210,8.51,9.01,9.38,8.52
211,7.13,7.91,9.89,7.63
212,9.01,9.4,7.77,6.63
213,8.86,9.12,7.87,9.67
214,8.5,8.02,8.12,7.0
215,8.9,8.5,8.59,8.76
216,8.61,10.06,8.64,7.76
217,7.88,8.76,9.12,8.52
218,9.14,8.51,8.53,8.04
219,9.65,7.28,7.49,9.15
220,8.61,9.11,8.74,8.02
221,9.0,8.27,8.28,8.39
222,9.14,8.89,8.11,8.04
223,8.39,9.14,7.88,7.12
224,8.0,9.39,8.77,7.75
225,7.26,7.13,8.77,7.75
226,10.62,9.51,9.62,7.86
227,8.49,9.12,9.12,8.28
228,9.65,8.27,8.09,9.0
229,7.98,8.81,9.62,7.75
230,9.65,8.76,7.4,7.89
231,8.76,8.76,8.76,7.89
232,8.75,9.74,9.15,7.24
233,9.01,8.15,9.02,8.28
234,10.14,7.88,8.41,7.75
235,7.76,8.28,7.88,8.39
236,8.12,8.4,8.11,8.5
237,8.24,8.51,9.88,7.88
238,8.74,9.14,8.63,9.11
239,9.41,9.01,9.3,9.01
240,7.51,7.5,8.66,7.88
241,9.0,8.5,8.92,8.39
242,9.51,9.65,7.65,8.39
243,8.25,7.65,9.45,7.62
244,8.61,8.51,10.29,8.38
245,9.11,8.75,7.41,9.01
246,7.51,8.06,8.92,8.25
247,9.74,8.81,8.5,7.78
248,9.39,8.41,8.12,8.38
249,9.01,8.23,8.0,8.75
250,8.36,8.88,9.64,8.76
251,8.11,8.01,9.06,8.51
252,8.49,8.74,9.03,9.43
253,8.15,8.01,9.42,7.76
254,9.79,8.85,9.55,8.88
255,7.99,7.63,8.51,9.0
256,7.77,8.39,8.39,7.76
257,7.73,8.38,7.16,7.51
258,8.52,8.17,7.51,6.77
259,7.99,8.88,8.24,8.5
260,8.4,6.94,8.49,7.52
261,7.65,8.58,7.26,8.62
262,9.62,9.75,9.26,8.89
263,9.77,8.24,9.12,8.1
264,8.77,8.01,7.27,8.25
265,9.75,7.76,8.01,8.76
266,8.89,7.99,8.12,8.15
267,7.88,8.48,7.76,7.77
268,8.61,8.25,8.5,8.62
269,8.73,7.81,8.99,7.62
270,8.25,9.76,7.38,8.49
271,8.01,8.03,8.51,8.64
272,9.99,9.39,8.02,8.64
273,7.26,8.75,9.4,8.88
274,9.38,7.87,7.97,8.26
275,9.12,7.25,8.52,8.51
276,8.52,8.75,7.13,7.5
277,9.12,8.01,8.36,6.77
278,8.26,9.05,8.76,8.51
279,9.38,8.26,7.77,7.88
280,9.5,7.91,8.78,7.86
281,8.62,7.12,8.06,8.65
282,9.25,8.75,7.69,7.38
283,8.77,8.55,9.0,8.62
284,7.89,8.34,8.38,8.14
285,9.39,9.39,9.52,7.75
286,8.62,7.62,8.23,8.75
287,8.78,8.88,8.74,8.26
288,8.75,8.61,8.56,8.25
289,9.23,7.88,9.35,8.64
290,9.02,8.49,8.94,7.87
291,8.38,7.26,8.78,8.89
292,7.51,8.89,8.72,8.77
293,8.62,9.0,8.64,9.1
294,8.5,8.11,9.02,8.5
295,8.4,7.48,7.92,7.77
296,8.4,8.38,9.05,8.38
297,9.24,8.28,8.42,8.5
298,8.51,7.75,8.65,7.77
299,9.0,8.61,8.81,7.77
300,8.52,8.65,9.03,8.25
301,7.5,8.39,8.32,8.25
302,7.37,9.41,9.05,8.28
303,8.48,8.86,8.4,8.89
304,8.16,7.76,7.62,7.66
305,9.11,8.05,8.88,8.75
306,7.78,8.77,9.88,7.63
307,8.76,7.89,9.03,8.91
308,8.89,9.16,7.99,8.92
309,8.5,9.0,8.9,8.15
310,7.62,7.74,8.11,8.14
311,7.99,7.0,8.6,8.61
312,8.0,10.03,8.17,7.62
313,8.0,8.21,9.51,7.89
314,8.1,9.26,8.24,8.39
315,8.76,8.5,8.99,8.09
316,8.5,8.02,7.07,7.62
317,8.25,9.23,9.01,9.11
318,8.26,10.16,8.62,7.91
319,7.88,8.74,9.2,8.41
320,8.75,8.25,7.63,9.65
321,7.76,7.99,8.15,7.75
322,8.58,9.15,8.29,7.25
323,8.12,8.89,7.52,9.14
324,8.65,7.86,8.04,8.89
325,8.01,7.72,7.64,9.64
326,9.02,8.54,9.77,8.65
327,8.22,8.52,7.97,8.72
328,8.27,8.52,8.43,7.64
329,6.76,8.41,8.9,7.89
330,9.5,9.03,8.24,7.25
331,10.14,9.24,8.33,9.5
332,9.36,8.1,9.03,7.63
333,9.28,9.51,8.15,8.64
334,9.54,8.64,8.86,8.52
335,9.4,9.0,8.6,9.62
336,8.36,7.99,8.71,7.38
337,8.53,7.91,9.19,7.98
338,8.74,8.25,10.21,8.26
339,7.88,8.36,8.59,7.5
340,8.85,8.86,8.79,8.99
341,7.75,8.17,8.64,6.77
342,7.75,8.04,9.02,9.14
343,8.76,8.5,8.75,7.25
344,7.99,8.48,8.39,7.14
345,8.39,7.94,8.26,8.62
346,8.5,9.26,10.14,8.48
347,7.63,8.59,9.38,7.49
348,9.36,8.97,7.62,8.61
349,8.39,8.47,8.14,8.26
350,8.61,7.17,8.75,8.99
351,8.73,8.89,9.3,8.15
352,8.74,9.48,10.75,8.26
353,7.12,9.12,9.9,9.0
354,8.51,9.76,8.48,8.01
355,7.38,9.28,8.81,9.14
356,7.76,8.28,9.0,7.99
357,8.75,8.61,9.36,8.22
358,8.0,7.63,9.1,8.52
359,8.66,7.49,7.7,9.03
360,8.26,9.38,7.76,9.01
361,8.4,7.64,9.62,8.55
362,8.53,7.99,7.9,8.05
363,8.58,8.34,9.74,7.5
364,7.02,7.61,10.04,7.38
365,8.9,7.88,8.85,8.64
366,8.64,9.25,8.88,7.88
367,8.75,8.65,10.24,6.76
368,8.84,7.13,8.62,6.77
369,7.91,8.61,7.38,9.07
370,9.65,8.27,8.64,9.02
371,7.8,7.75,8.65,9.64
372,9.65,9.01,8.62,7.88
373,9.25,7.71,8.26,8.86
374,8.26,8.9,7.89,9.54
375,8.49,9.52,9.26,8.89
376,7.53,8.77,8.24,9.5
377,7.98,8.25,7.51,7.84
378,8.49,8.26,7.99,7.96
379,8.21,9.77,7.39,7.12
380,8.29,9.25,7.78,8.12
381,7.95,7.62,9.26,8.49
382,9.01,8.17,9.23,7.47
383,9.86,9.24,8.03,8.12
384,8.38,7.62,8.9,7.38
385,6.52,8.26,8.51,8.4
386,8.98,8.39,8.12,8.1
387,7.26,8.45,9.35,8.15
388,8.36,8.4,8.65,9.26
389,8.25,7.62,8.27,9.01
390,8.51,8.39,8.49,8.1
391,7.62,8.62,7.75,9.5
392,7.76,9.0,7.52,8.5
393,8.51,8.96,8.6,7.5
394,8.62,8.58,7.51,7.87
395,8.09,8.56,9.39,7.39
396,8.53,7.75,8.77,8.38
397,7.98,7.62,8.25,9.25
398,9.02,8.65,9.11,9.52
399,9.4,8.68,8.24,5.27
