%usr,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
10,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.97,0.99,0.0,0.99,0.99,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.99,1.0,0.0,1.0,1.0,1.01,0.0,0.0,1.0,1.0,0.0,0.99,0.0,0.0,1.0,0.0,0.0,1.98,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98,0.0,0.0,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,1.0,1.02,0.0,0.0,0.0,1.96,1.01,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.99,1.01,1.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,1.0,0.99,0.0,1.01,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
11,0.0,0.0,0.0,0.99,0.0,0.0,0.99,0.0,0.0,0.0,0.99,1.01,2.0,1.0,0.98,0.0,0.98,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,1.98,1.01,1.0,0.0,0.0,1.01,1.01,0.0,1.0,0.0,0.0,0.98,1.0,0.0,0.0,0.0,1.01,1.0,0.0,1.0,1.01,1.0,0.0,0.0,0.0,0.0,0.99,0.0,1.01,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.01,0.0,0.99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,1.0,1.01,1.01,1.0,0.0,0.0,0.98,0.0,1.0,1.01,1.0,0.99,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.99,1.98,2.0,0.99,0.0,0.0,0.99,1.0,1.01,0.99,0.0,0.0,0.0,0.99,0.0,1.0,1.0,1.01,0.0,1.0,1.0,1.01,1.0,0.0
12,1.0,0.99,1.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,1.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.01,1.01,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.99,1.0,0.99,0.0,1.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.97,0.0,0.0,0.99,0.0,0.0,1.0,0.0,1.98,0.0,0.0,0.0,0.0,1.01,0.0,0.97,0.0,0.0,1.0,0.0,0.0,2.02,0.0,0.0,0.99,0.99,1.0,1.0,0.0,1.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,1.0,1.0,1.01,1.0,1.0,1.01,0.0,0.0,1.01
13,0.0,2.02,0.0,0.0,4.0,11.0,5.94,7.92,0.0,2.0,2.0,0.0,1.01,0.0,0.99,0.0,0.0,0.98,8.08,1.01,0.0,1.0,1.01,7.07,0.0,0.0,9.09,7.07,0.0,0.0,1.01,0.0,1.98,2.0,0.0,0.0,0.0,1.0,1.01,8.08,0.0,6.0,0.0,7.92,6.12,8.16,0.99,5.05,0.0,1.0,5.05,0.0,1.01,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.99,0.0,1.0,0.0,0.99,0.0,6.06,5.1,0.98,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.99,1.96,0.0,1.01,1.0,0.99,1.02,0.0,2.04,1.0,1.98,2.02,1.0,1.01,0.99,1.01,1.0,0.0,1.01,1.01,0.0,1.0,0.0,1.0,0.99,1.0,0.0,2.02,0.0,0.97,0.0,0.0,0.0,1.0,0.0,1.96,0.98,2.0,0.0,0.99,0.0,0.0,0.99,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.96,0.0,0.0,0.0,1.0,1.0,0.0,1.02,0.0,0.0,1.01,0.98,0.0
14,3.0,10.78,5.1,4.0,11.0,12.0,15.15,11.22,7.14,18.0,16.0,1.0,1.01,1.0,1.01,0.99,10.0,7.0,15.0,5.0,2.0,8.0,5.94,13.13,7.69,7.14,15.84,18.0,5.94,2.0,1.01,3.0,13.13,1.0,1.0,12.87,1.98,0.0,7.0,17.0,6.12,16.0,14.14,13.13,16.16,17.0,8.0,14.14,7.07,4.0,16.0,1.0,12.12,14.0,0.99,15.15,0.0,2.0,13.59,9.9,1.0,2.02,14.85,1.02,2.04,2.0,15.84,17.82,22.22,4.04,1.0,2.0,2.02,0.0,12.87,1.01,6.06,1.0,16.16,1.0,1.01,0.99,13.86,18.63,15.0,16.33,15.31,14.85,16.16,0.0,1.0,1.0,0.0,15.0,0.0,1.0,2.02,1.0,0.99,1.02,0.0,1.02,1.02,21.57,18.18,1.01,1.98,1.0,0.0,0.98,13.0,1.01,0.0,12.75,1.98,14.0,0.99,13.86,0.0,0.0,14.0,11.0,0.0,0.0,0.0,14.29,0.0,0.0,11.34,0.0,1.0,1.01,0.0,2.02,19.0,0.99,1.0,14.29,0.0,1.0
15,12.0,0.99,10.89,10.89,0.0,0.0,1.0,1.0,13.86,0.0,1.0,16.0,14.71,15.15,13.86,12.12,13.27,17.0,0.0,17.0,13.86,17.0,15.0,0.0,14.14,15.15,0.0,0.0,16.33,13.13,14.0,13.86,2.0,13.13,14.14,0.0,10.1,12.0,15.15,0.0,15.84,0.0,1.0,0.99,0.99,0.0,14.0,0.0,15.15,16.0,1.0,12.24,1.01,0.0,11.34,2.0,14.14,11.88,0.0,0.0,13.13,14.85,0.0,17.65,17.0,18.18,0.0,0.0,0.0,18.0,18.18,17.0,17.0,14.14,0.0,15.15,16.33,14.14,1.0,17.82,14.14,13.13,0.0,0.0,0.99,1.96,1.0,0.0,0.0,15.69,13.27,14.14,12.24,1.01,14.0,15.15,19.8,17.35,18.18,18.0,17.82,20.79,20.79,1.01,0.99,18.0,17.0,17.17,14.0,11.11,1.0,14.0,14.14,1.01,14.0,1.01,15.15,0.0,14.0,16.83,1.01,0.0,15.15,16.0,12.0,0.0,11.11,12.24,0.99,11.11,11.11,18.0,19.19,17.17,1.01,17.0,18.18,0.99,15.31,15.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,2.0,1.01,0.0,1.0,0.0,1.01,1.0,1.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.99,1.01,0.0,0.0,0.0,1.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.99,0.0,1.0,1.01,1.01,1.98,0.99,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.01,0.97,0.0,0.0,0.0,1.01,0.0,1.01,1.01,0.0,0.0,1.01,0.0,0.0,1.01,1.01,0.0,0.0,0.0,0.0,1.98,2.02,1.0,1.0,1.0,0.99,1.98,1.01,1.0,1.0,1.0,1.01,0.99,1.01,0.0,1.0,0.98,0.0,1.0,1.01,0.99,0.0,1.01,1.0,0.0,0.98,1.01,0.0,1.0
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.01,0.0,1.01,0.99,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.01,1.01,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.99,1.01,1.0,0.99,1.01,1.0,0.99,0.99,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.99,0.0,0.0,0.0,1.0,1.98,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.98,0.0,0.0,1.01,1.01,1.0,1.01,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,1.0,0.0,0.0,1.01,1.0,0.99,0.0,0.0,1.98,0.0,1.0,1.0,0.0,1.0,0.0
18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.98,0.0,0.0,0.99,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.99,1.0,0.0,1.0,0.99,1.0,1.98,1.0,1.01,1.0,1.0,0.0,0.99,0.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.0,0.0,0.0,0.99,0.0,1.02,0.99,0.0,0.0,1.98,1.01,0.99,1.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.99,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.01,1.0,0.0,1.0,1.01,1.0,2.0,1.01,0.98,0.0,0.0,0.0,0.0,0.0,1.0,1.01,0.0,1.01,0.0,0.98,0.0,1.0,0.98,0.99,0.0,0.0,0.99,1.0,1.96,1.0,0.0,1.01,1.01,0.0,0.0,0.0,0.0
19,0.0,0.0,1.01,0.0,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.0,0.0,0.0,0.99,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.99,0.99,0.0,0.0,1.01,0.0,0.0,1.0,0.99,0.0,0.99,0.0,0.99,1.01,0.98,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.99,0.0,1.01,0.99,0.0,0.0,1.0,1.0,1.01,1.01,1.01,0.0,1.01,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.99,0.0,0.0,1.01,1.0,1.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,2.0,0.0,0.98,0.0,1.01,0.0,1.01,0.98,0.0,1.01,1.0
20,0.0,18.0,0.0,1.0,17.0,21.0,20.2,20.0,1.98,20.2,16.0,1.01,1.01,1.0,1.01,0.0,1.0,0.0,21.36,1.01,0.99,0.98,1.0,19.0,0.99,1.0,20.0,17.53,0.0,0.0,1.0,0.0,16.0,1.0,0.99,15.15,0.99,0.0,1.01,20.0,0.0,19.8,13.0,21.78,22.0,19.19,0.0,22.22,1.0,0.0,21.43,1.0,11.22,17.17,0.0,14.43,0.0,0.0,15.0,15.15,0.0,0.0,17.0,0.0,0.0,0.0,20.0,20.2,24.24,0.99,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,17.35,0.0,0.0,0.0,16.0,13.13,15.15,16.16,15.15,17.35,16.33,1.0,0.0,0.0,0.99,13.86,1.0,1.0,1.0,0.0,1.98,1.98,0.0,1.0,1.01,18.0,18.18,1.0,0.99,0.0,1.0,0.0,14.14,0.0,0.0,14.29,1.0,14.14,0.0,15.0,0.0,1.98,15.0,16.16,1.0,1.0,0.99,14.0,0.0,1.02,14.14,0.0,0.99,0.0,1.98,0.0,15.84,0.0,0.99,16.0,0.0,0.0
21,16.0,0.0,15.31,16.49,1.0,0.0,0.0,0.99,17.0,0.0,1.01,15.31,15.15,13.0,14.14,13.0,24.51,20.79,1.02,20.0,20.2,21.0,18.81,1.01,22.22,22.22,0.0,1.0,22.22,13.86,12.24,16.16,1.01,12.12,15.0,2.0,12.37,12.24,19.61,1.0,22.0,0.0,0.0,0.0,0.99,1.01,21.0,2.0,22.45,18.0,1.01,14.29,0.0,0.0,9.0,1.0,14.0,15.0,0.99,0.0,15.0,21.43,0.0,21.43,20.79,18.0,0.0,1.0,0.99,18.18,22.0,18.18,19.8,16.16,0.0,14.85,16.0,16.67,1.01,18.81,17.82,18.0,1.01,2.0,1.01,2.0,0.0,1.0,0.0,11.0,15.69,16.16,13.86,1.01,13.27,14.0,19.19,16.16,17.17,18.0,20.2,20.0,19.39,0.0,1.02,18.81,16.33,17.0,17.17,13.13,0.0,16.83,15.15,1.0,15.15,1.0,12.24,2.0,13.86,11.22,0.0,1.0,16.16,13.73,13.13,1.01,10.2,15.15,1.0,15.84,10.1,20.2,15.31,17.0,1.0,18.0,16.0,1.01,14.85,16.0
