rxpck/s,aceph01,aceph02,aceph03,aceph04
348,12831.0,11842.0,11738.0,11366.0
349,12226.0,11611.0,11359.0,12408.0
350,12077.0,12395.0,12133.0,11716.0
351,11862.0,11153.0,11488.0,11517.0
352,11456.0,11703.0,11384.0,11906.0
353,11933.0,11711.0,11744.0,11248.0
354,11965.4,11132.0,11407.0,12073.0
355,11628.0,11521.0,11172.0,11885.0
356,11527.0,11601.0,11349.0,11477.0
357,11698.0,11373.0,11497.0,11225.0
358,11427.0,11326.0,11004.0,11762.0
359,12376.0,11832.0,11573.0,10960.0
360,11728.0,11452.0,11113.0,11888.0
361,11968.0,12098.0,12157.0,11687.0
362,11381.0,11472.0,11865.0,11876.0
363,11975.0,12268.0,11736.0,11618.0
364,12126.0,11856.0,11358.0,12378.0
365,11901.0,12377.0,12220.0,12042.0
366,12373.0,11921.8,11530.0,11624.0
367,11188.0,11807.0,11458.0,11506.0
368,12029.0,11971.0,11576.0,11847.0
369,12184.0,11941.0,11684.0,11164.0
370,11069.0,11332.0,11482.0,11785.0
371,12130.0,11788.0,11884.0,11824.0
372,11140.0,11589.0,11662.0,11198.0
373,11496.0,11708.0,10959.0,11384.0
374,11877.0,11266.0,11221.0,11182.2
375,11793.0,11258.0,11273.0,11104.0
376,11567.0,11089.0,11513.0,12192.0
377,12028.0,12393.0,11665.0,11634.0
378,11315.0,11294.0,11445.0,11971.0
379,12839.0,12197.0,12489.0,11660.0
380,11844.0,11564.0,11829.0,11398.0
381,11586.1,11229.0,11487.0,11727.0
382,11537.0,11408.0,11606.0,11493.0
383,11767.0,11802.0,12083.0,11178.0
384,12207.0,11796.0,11325.0,12341.0
385,12343.0,12234.0,12392.0,11844.0
386,11853.0,11510.0,11241.0,11697.0
387,11488.0,11528.0,11205.0,12132.0
388,11977.0,12249.0,11606.0,11509.0
389,12189.0,11721.0,11214.0,11070.0
390,11545.0,11368.0,11703.0,11904.0
391,11871.0,11642.0,11638.0,11441.0
392,11427.0,11300.0,11273.0,11399.0
393,11459.0,11394.0,11555.0,11384.0
394,12459.0,11937.0,11845.0,11301.0
395,11731.0,10861.0,11217.0,12028.0
396,12110.0,11895.0,12415.0,11919.0
397,12028.0,12073.0,11908.0,11140.0
398,11412.0,11299.0,11473.0,11065.0
399,12153.0,11578.0,11125.0,4995.0
