op_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,35595229056,33818902528,31529631360,32180441344,37020056320,33767627776,33803976832,30294932224,32408766848,33827955840,33727050240,38220198144,33389054848,36479703040,42515356928,34615302144,34286350592,38490430592,34559442944,31643647232,33419459200,33936732544,34818005760,37943830400,37037392512,34287383552,34303628800,35880011008,32696111104,33922885760,33769221120,34855748736,33739580800,37917639424,35521417344,32711082880,33848804864,34526329088,39250712704,30749437184
11,35596212096,33819668480,31530438272,32181149952,37020879616,33768459264,33804660864,30295776000,32409815424,33828504704,33727652352,38221050112,33389865856,36480382976,42516266240,34616342528,34286997760,38490844288,34560393216,31644499200,33420102272,33937469824,34818784000,37944743808,37038199424,34288165888,34304534016,35880715520,32696795136,33923684480,33770298368,34856461440,33740506496,37918511872,35522416768,32711889792,33849562624,34527283456,39251433600,30750227712
12,35597113216,33820348416,31531167360,32181883136,37021686528,33769077760,33805234304,30296427264,32410777984,33829053568,33728475648,38221934848,33390836608,36481337344,42517282048,34617300992,34288034048,38491819136,34561183744,31645371648,33420696192,33938420096,34819648256,37945583488,37039145600,34289009664,34305443328,35881456896,32697638912,33924700288,33771469824,34857432192,33741202816,37919523584,35523281024,32712913792,33850480128,34528246016,39252342912,30751116544
13,35598092160,33821364224,31532064384,32182685952,37022554880,33770130432,33806106752,30297275136,32411646336,33829856384,33729110528,38222815488,33391532928,36482127872,42517847296,34618099712,34288808192,38492470400,34562129920,31646231808,33421351552,33939153280,34820344576,37946455936,37039981184,34289697792,34306258432,35882370304,32698241024,33925638272,33772346368,34858349696,33742022016,37920633600,35524317312,32713819008,33851381248,34528971008,39253551232,30752136448
14,35599071104,33822175232,31533010560,32183660800,37023226624,33770753024,33806872704,30298110720,32412359040,33830806656,33729909248,38223810816,33392610176,36483168256,42518854912,34618955776,34289570048,38493097088,34562924544,31646989568,33421994624,33939980672,34821208832,37947176832,37040697984,34290373632,34307053056,35883021568,32698789888,33926473856,33773145088,34859082880,33742681472,37921641216,35524984960,32714523520,33852151296,34529675520,39254218880,30752980224
15,35599943552,33822920704,31533751936,32184574208,37023865600,33771654144,33807696000,30298548992,32413436288,33831314560,33730523648,38224572672,33393445760,36483872768,42519706880,34619676672,34290422016,38493912192,34563608576,31647927552,33422629504,33940939136,34822044416,37947996032,37041640064,34291196928,34308015616,35883726080,32699486208,33927075968,33773968384,34860020864,33743508864,37922874112,35525951616,32715408256,33852999168,34530494720,39255083136,30754102528
16,35601024896,33823625216,31534751360,32185417984,37024762624,33772444672,33808588928,30299548416,32414185856,33832440960,33731338752,38225318144,33394555776,36484679680,42520513792,34620418048,34290979072,38494559360,34564268032,31648824576,33423346304,33941516672,34822773504,37948946304,37042520704,34292286464,34308609536,35884389632,32700219392,33927940224,33774791680,34860741760,33744319872,37923693312,35526598784,32716030848,33853613568,34531195136,39255783552,30754819328
17,35601844096,33824575488,31535521408,32186294528,37025606400,33773214720,33809379456,30300375808,32415197568,33833223296,33732227584,38226145536,33395571584,36485588992,42521451776,34621515776,34292044032,38495263872,34565087232,31649635584,33424112256,33942348160,34823531264,37949974400,37043274368,34293105664,34309469696,35885098240,32700993536,33929140352,33775627264,34861524096,33745274240,37924795136,35527528576,32716878720,33854555648,34531993856,39256692864,30755671296
18,35602970496,33825542144,31536438912,32187044096,37026638592,33774189568,33810313344,30301113088,32416266624,33834431616,33732977152,38227026176,33396603776,36486490112,42522189056,34622318592,34292838656,38496369792,34565853184,31650745600,33424947840,33943433600,34824264448,37951010688,37044515456,34293908480,34310456832,35885843712,32701554688,33929947264,33776557056,34862376064,33746068864,37925475072,35528286336,32717411200,33855141376,34532477184,39257401472,30756564224
19,35603933056,33826426880,31537450624,32188039424,37027465984,33775062016,33810866304,30302223104,32417188224,33835287680,33733722624,38227796224,33397398400,36487313408,42523155712,34622982144,34293735680,38496717952,34566803456,31651679488,33425615488,33944273280,34825296640,37951903616,37045228160,34294817792,34311583232,35886630144,32702480384,33930897536,33777429504,34863215744,33746945408,37926441728,35529056384,32718324608,33855874560,34533251328,39258400896,30757256448
20,35604957056,33827090432,31538380416,32188895488,37028461312,33775971328,33811783808,30302968576,32417831296,33836139648,33734447616,38228672768,33398238080,36488194048,42523774208,34623805440,34294472960,38497492096,34567467008,31652531456,33426205312,33945334144,34825988864,37952653184,37045916288,34295665664,34312394240,35887506688,32702894080,33931458688,33778318336,34864129152,33747649920,37927265024,35529937024,32719315840,33856706048,34534029568,39258990720,30758264064
21,35605907328,33828003840,31539269248,32189681920,37029227264,33776708608,33812578432,30303693568,32418789760,33836942464,33735250432,38229557504,33399217024,36488943616,42524507392,34624698368,34295513344,38498430080,34568454144,31653489920,33426881152,33946104192,34826705664,37953648512,37046907520,34296321024,34313184768,35888194816,32703569920,33932281984,33779112960,34864735360,33748653440,37928141568,35530719360,32720024448,33857693184,34535028992,39260231808,30759443712
22,35606869888,33828925440,31540162176,32190705920,37030394624,33777482752,33813467264,30304484096,32419699072,33837999232,33735897600,38230298880,33400085376,36489754624,42525625600,34625370112,34296119552,38498987136,34569199616,31654046976,33427585664,33946976640,34827467520,37954656128,37047702144,34297050112,34314089984,35888870656,32704290816,33933387904,33779829760,34865763456,33749362048,37929120512,35531550848,32720819072,33858278912,34535606528,39260928128,30760004864
23,35607689088,33829761024,31541059200,32191611136,37031328512,33778158592,33814126720,30305442560,32420690304,33838978176,33736729088,38231023872,33401179008,36490618880,42526215424,34626312192,34296766720,38499691648,34569949184,31654833408,33428249216,33947775360,34828438272,37955630976,37048803968,34298262528,34315281920,35889788160,32705249280,33934448768,33780833280,34866668672,33750066560,37929890560,35532587136,32721765248,33859159552,34536450304,39261751424,30760951040
24,35608782720,33830555648,31541792384,32192401664,37032139520,33779244032,33814933632,30306208512,32421484928,33839674496,33737552384,38231970048,33402227584,36491556864,42527231232,34627143680,34297708800,38500580480,34570702848,31655968000,33428830848,33948553600,34828942080,37956560768,37049557632,34298926080,34315875840,35890402560,32705716224,33935231104,33781795840,34867438720,33751082368,37930902272,35533639808,32722449280,33860056576,34537163008,39262767232,30761987328
25,35609585536,33831428096,31542685312,32193007872,37032921856,33780005888,33815613568,30306757376,32422078848,33840411776,33738256896,38232817920,33403128704,36492417024,42527943936,34628052992,34298593536,38501198976,34571517952,31656766720,33429617280,33949368704,34829961984,37957425024,37050454656,34299753472,34316998144,35891344640,32706285568,33936009344,33782680576,34868380800,33751864704,37931979520,35534622848,32723420032,33861064192,34537986304,39263955072,30762929408
26,35610384256,33832210432,31543475840,32193810688,37033642752,33780694016,33816367232,30307498752,32422795648,33840940160,33738961408,38233690368,33404025728,36493170688,42528832768,34628814848,34299535616,38502034560,34572398592,31657876736,33430223488,33950200192,34830973696,37958207360,37051359872,34300584960,34317886976,35892131072,32707088384,33936849024,33783577600,34869314688,33752819072,37932655360,35535331456,32724239232,33861871104,34538805504,39264905344,30764104960
27,35611211648,33832861696,31544323712,32194568448,37034482432,33781615616,33816899712,30308158208,32423643520,33841943680,33739796992,38234616064,33405074304,36494120960,42529897728,34629609472,34300379392,38502702208,34573242368,31658593536,33431054976,33951015296,34831661824,37959264128,37052150400,34301391872,34318652928,35892868352,32707764224,33937647744,33784318976,34870080640,33753552256,37933474560,35535999104,32724882304,33862333952,34539161856,39265745024,30764657920
28,35612174208,33833668608,31545147008,32195547392,37035420416,33782582272,33817936000,30308797184,32424728960,33842656384,33740362240,38235234560,33405782912,36494833664,42530581760,34630281216,34301063424,38503337088,34573963264,31659347200,33431714432,33951764864,34832419584,37960046464,37052994176,34302215168,34319365632,35893585152,32708435968,33938598016,33785211904,34870830208,33754346880,37934482176,35537023104,32725705600,33863247360,34540099840,39266269312,30765448448
29,35612993408,33834721280,31546117760,32196608256,37036280576,33783454720,33818509440,30309677824,32425675136,33843471488,33741132288,38236115200,33406667648,36495616000,42531425536,34631038976,34301735168,38504324224,34574753792,31660088576,33432402560,33952481664,34833165056,37960959872,37053928064,34303132672,34320258560,35894326528,32709038080,33939515520,33786129408,34871551104,33755231616,37935141632,35537825920,32726541184,33863841280,34541005056,39267203200,30766574848
30,35613702016,33835520000,31547158144,32197554432,37037132544,33784474624,33819439232,30310316800,32426703232,33844384896,33741922816,38236860672,33407564672,36496500736,42532093184,34631825408,34302578944,38504782976,34575749120,31660772608,33432992384,33953554816,34833832704,37961783168,37054583424,34303837184,34321106432,35894891776,32709664768,33940465792,33787223040,34872521856,33756038528,37935899392,35538530432,32727184256,33864742400,34541795584,39267936384,30767414528
31,35614586752,33836298240,31547985536,32198250752,37037959936,33785248768,33820315776,30311172864,32427579776,33844995200,33742684672,38237769984,33408547712,36497483776,42532961536,34632587264,34303279360,38505430144,34576551936,31661636864,33433717376,33954505088,34834709248,37962934144,37055607424,34304828416,34321876480,35895543040,32710311936,33941244032,33787939840,34873341056,33756792192,37936460544,35539300480,32728011648,33865422336,34542622976,39268952192,30768446720
32,35615270784,33836969984,31548767872,32199135488,37038930688,33786166272,33820795008,30312127232,32428530048,33845974144,33743454720,38238531840,33409465216,36498368512,42533874944,34633603072,34304266496,38506110080,34577014784,31662669056,33434405504,33955348864,34835483392,37963843456,37056348800,34305582080,34322703872,35896313088,32710914048,33942096000,33788857344,34874094720,33757652352,37937541888,35540185216,32728949632,33866180096,34543405312,39269722240,30769364224
33,35616094080,33837801472,31549292160,32200036608,37039782656,33786764288,33821696128,30312860416,32429480320,33846920320,33744355840,38239437056,33410485120,36499294208,42534903040,34634536960,34305114368,38506855552,34577747968,31663574272,33435024000,33956204928,34836290304,37964982144,37057323648,34306446336,34323650048,35897103616,32711802880,33943181440,33789881344,34875221120,33758385536,37938516736,35541172352,32729686912,33866819072,34544277760,39270627456,30770134272
34,35617064832,33838391296,31549980288,32200696064,37040507648,33787431936,33822326912,30313315072,32429758848,33847620736,33745043968,38240121088,33411361664,36500105216,42535701760,34635438080,34306171136,38507613312,34578624512,31664307456,33435634304,33957106048,34836962048,37965756288,37058032256,34307085312,34324665856,35897844992,32712404992,33943996544,33790778368,34876073088,33759151488,37939507968,35541905536,32730387328,33868023296,34544969984,39271430272,30771027200
35,35617970048,33839292416,31550992000,32201588992,37041359616,33788161024,33822941312,30314334976,32430655872,33848415360,33745809920,38241046784,33412135808,36500944896,42536488192,34636146688,34306883840,38508432512,34579361792,31665302784,33436113536,33957958016,34837515008,37966657408,37059011200,34307859456,34325251584,35898438912,32713117696,33944914048,33791753216,34877068416,33760011648,37940638464,35542536320,32731362176,33868891648,34545789184,39272573056,30772047104
36,35618711424,33840160768,31551553152,32202359040,37042301696,33789172736,33824030848,30315055872,32431462784,33849111680,33746559488,38241665280,33413159808,36501821440,42537155840,34636937216,34307514624,38509264000,34579943424,31665937664,33436711552,33958687104,34838412032,37967439744,37059613312,34308637696,34325988864,35899168000,32713875456,33945770112,33792297984,34877822080,33760777600,37941748480,35543449728,32732033920,33869321728,34546497792,39273400448,30772882688
37,35619710848,33840906240,31552654976,32203301120,37043153664,33789914112,33825116288,30315903744,32432302464,33850049664,33747251712,38242418944,33413872512,36502693888,42537925888,34637735936,34308468992,38509816960,34580926464,31666728192,33437379200,33959551360,34839194368,37968377728,37060354688,34309456896,34326849024,35899888896,32714424320,33946519680,33793199104,34878342272,33761432960,37942645504,35544092800,32732480384,33870214656,34547108096,39274064000,30773939456
38,35620554624,33841668096,31553355392,32203796736,37043854080,33790778368,33825640576,30316468992,32433052032,33850672256,33747870208,38243156224,33414638464,36503365632,42538700032,34638493696,34309042432,38510558336,34581721088,31667531008,33438055040,33960472960,34840001280,37969115008,37061284480,34310345728,34327492096,35900626176,32715075584,33947375744,33794124800,34878903424,33762325888,37943902976,35545129088,32733492096,33871164928,34547935488,39274891392,30775078144
39,35621402496,33842446336,31554023040,32204689664,37044755200,33791736832,33826328704,30317095680,32433965440,33851376768,33748533760,38243934464,33415347072,36504074240,42539433216,34639239168,34309914880,38511099008,34582396928,31668309248,33438734976,33961275776,34840955648,37970126720,37062419072,34311255040,34328385024,35901453568,32715845632,33948379264,33794952192,34880291968,33763018112,37944861440,35545591936,32734212992,33871992320,34548676864,39276099712,30775848192
40,35622266752,33843228672,31554866816,32205619456,37045775104,33792343040,33827233920,30317837056,32434702720,33852015744,33749324288,38244774144,33416416128,36504983552,42540330240,34640050176,34310828288,38511942784,34583584768,31669292288,33439378048,33962123648,34841836288,37970900864,37063045760,34311918592,34329257472,35902121216,32716488704,33949145216,33795886080,34880976000,33763861888,37945856768,35546853504,32735105920,33872680448,34549643520,39276730496,30776859904
41,35622913920,33844207616,31555796608,32206512384,37046405888,33793350656,33828237440,30318447360,32435624320,33852847232,33750057472,38245634304,33417182080,36505663488,42540670208,34640664576,34311446784,38512438400,34584002560,31669955840,33440144000,33963204992,34842778368,37971900288,37064041088,34312741888,34330396160,35902891264,32717156352,33949939840,33796803584,34881873024,33764644224,37946815232,35547590784,32735953792,33873430016,34550696192,39277664384,30777634048
42,35623810944,33844957184,31556587136,32207261952,37047393024,33793973248,33828761728,30318963456,32436418944,33853674624,33750901248,38246621440,33418312576,36506724352,42541890816,34641655808,34312507648,38513278080,34585042944,31670918400,33440725632,33964024192,34843478784,37972727680,37064905344,34313344000,34331252224,35903665408,32717959168,33950824576,33797667840,34882815104,33765590400,37947839232,35548639360,32736863104,33874404864,34551286016,39278598272,30778727680
43,35624703872,33845817344,31557463680,32208064768,37048249088,33794767872,33829445760,30319643392,32437168512,33854702720,33751671296,38247452928,33419328384,36507543552,42542701824,34642356224,34313433344,38513966208,34585800704,31671790848,33441491584,33964925312,34844519168,37973755776,37065839232,34314245120,34332210688,35904521472,32718737408,33951778944,33798552576,34883576960,33766307200,37948695296,35549507712,32737674112,33875133952,34552084736,39279376512,30779505920
44,35625633664,33846579200,31558303360,32209076480,37049154304,33795570688,33830285440,30320556800,32438253952,33855427712,33752441344,38248317184,33420311424,36508325888,42543312128,34643212288,34314293504,38514596992,34586767360,31672667392,33442216576,33965826432,34845358848,37974632320,37066891904,34315301888,34333128192,35905176832,32719319040,33952872576,33799539712,34884408448,33767105920,37949502208,35550539904,32738489216,33876010496,34552838400,39280355456,30780378368
45,35626510208,33847394304,31559089792,32209793280,37050026752,33796545536,33831137408,30321519360,32439060864,33856324736,33753125376,38248972544,33421134720,36509083648,42544246016,34644060160,34315002112,38515342464,34587492352,31673507072,33442884224,33966739840,34846259968,37975291776,37067735680,34316108800,34334107136,35905942784,32720257024,33953556608,33800424448,34885338240,33767990656,37950485248,35551158400,32739251072,33876837888,34553555200,39281043584,30781279488
46,35627140992,33848164352,31559884416,32210825472,37050989312,33797291008,33831866496,30322051840,32440117632,33857123456,33753801216,38249906432,33422183296,36509976576,42544954624,34644928512,34315776256,38515997824,34588131328,31674248448,33443515008,33967616384,34847013632,37976438656,37068624512,34316973056,34335012352,35906508032,32720990208,33954482304,33801317376,34886190208,33768486272,37951447808,35552215168,32740041600,33877513728,34554468608,39281932416,30782356736
47,35628042112,33848971264,31560388224,32211411200,37051783936,33798245376,33832444032,30322797312,32440494464,33858274432,33754644992,38250848512,33423244160,36510763008,42546011392,34646124544,34316669184,38516976768,34589024256,31675452672,33444182656,33968537984,34847890176,37977216896,37069628032,34317788160,34335716864,35907421440,32721625088,33955317888,33802132480,34886923392,33769440640,37952160512,35553099904,32740791168,33878500864,34554988800,39282907264,30783118592
48,35628947328,33849733120,31561293440,32212500736,37052447488,33798925312,33833140352,30323677952,32441514368,33858733184,33755505152,38251602176,33424264064,36511590400,42546904320,34646800384,34317787392,38517705856,34589900800,31676050688,33444805248,33969447296,34848635648,37978273664,37070467712,34318406656,34336695808,35908130048,32722358272,33956198528,33802984448,34887836800,33770345856,37953049344,35553849472,32741696384,33879229952,34555889920,39283710080,30783884544
49,35629795200,33850499072,31561985664,32213025024,37053188864,33799728128,33833803904,30324226816,32442280320,33859368064,33756295680,38252380416,33425230720,36512581632,42547657984,34647545856,34318426368,38518463616,34590666752,31677144320,33445522048,33970250112,34849684224,37979432832,37071327872,34319438848,34337744384,35909231872,32723341312,33957410944,33803967488,34888602752,33771312512,37953954560,35554558080,32742384512,33879827968,34556864768,39284422784,30784965888
50,35630532480,33851314176,31562907264,32213922048,37054069504,33800469504,33834680448,30325070592,32442956160,33860093056,33757065728,38253420800,33426058112,36513511424,42548542720,34648360960,34319474944,38519180416,34591457280,31678094592,33446214272,33971003776,34850429696,37980260224,37072065152,34319975424,34338293248,35909813504,32723775488,33958029440,33804741632,34889421952,33772176768,37954867968,35555692672,32743281536,33880823296,34557417728,39285188736,30785588480
51,35631507328,33852067840,31563738752,32214728960,37055027968,33801120768,33835364480,30325758720,32443681152,33860883584,33757876736,38254219520,33427086208,36514301952,42549554432,34649102336,34320359680,38519868544,34592342016,31678889216,33446951552,33971958144,34851298048,37981222784,37073089152,34320815104,34339370496,35910583552,32724500480,33958901888,33805569024,34890126464,33772823936,37955588864,35556282496,32743961472,33881523712,34558249216,39285905536,30786555136
52,35632289664,33852895232,31564623488,32215466240,37055920896,33802095616,33836089472,30326430464,32444569984,33861608576,33758773760,38254944512,33427921792,36515375104,42550320384,34650200064,34321404160,38520646784,34593087488,31679827200,33447504512,33972822400,34851928832,37982111616,37073789568,34321568768,34340304384,35911054592,32725213184,33959565440,33806482432,34890949760,33773708672,37956465408,35557245056,32744649600,33882158592,34558888192,39286777984,30787390720
53,35633190784,33853628416,31565483648,32216555776,37056682752,33803054080,33837019264,30327409408,32445536640,33862722688,33759605248,38255767808,33428933504,36516227072,42551254272,34651400192,34322325760,38521330816,34594201600,31680756992,33448082048,33973264768,34852682496,37982648192,37074694784,34322490368,34340984320,35912037632,32725819392,33960597632,33807383552,34891805824,33774536064,37957501696,35558113408,32745628544,33883018752,34559596800,39287720064,30788316416
54,35634075520,33854566400,31566229120,32217215232,37057669888,33803906048,33837793408,30328240896,32446601600,33863386240,33760371200,38256845056,33429941120,36517140480,42552098048,34652407808,34323230976,38522178688,34595000320,31681547520,33448700544,33974292864,34853460736,37983618944,37075501696,34323309568,34341856768,35912828160,32726601728,33961191552,33808366592,34892665984,33775379840,37958329088,35558953088,32746369920,33883743744,34560366848,39288768640,30789172480
55,35634849664,33855328256,31567068800,32218104064,37058235136,33804667904,33838514304,30329039616,32447318400,33864033408,33761128960,38257582336,33430936448,36517832704,42552843520,34653071360,34324078848,38523374720,34595770368,31682370816,33449323136,33975165312,34854206208,37984290688,37076390528,34324173824,34342503936,35913393408,32727175168,33961982080,33809136640,34893362304,33776182656,37959099136,35559825536,32746910592,33884440064,34560944384,39289497728,30790003968
56,35635660672,33856090112,31568068224,32219001088,37059017472,33805200384,33839181952,30329752320,32448059776,33864754304,33761866240,38258422016,33431874432,36518807552,42553765120,34654099456,34324803840,38523878528,34596794368,31683419392,33450056320,33976131968,34855222016,37985535872,37077394048,34325193728,34343564800,35914294528,32728096768,33962793088,33809955840,34894050432,33776936320,37959729920,35560525952,32747697024,33885324800,34561657088,39290390656,30790798592
57,35636701056,33856946176,31569030784,32219980032,37059848960,33806126080,33839927424,30330850048,32449120640,33865700480,33762558464,38259261696,33432877952,36519647232,42554498304,34654636032,34325639424,38524611712,34597335040,31684123904,33450609280,33976992128,34855942912,37986469760,37078168192,34325935104,34344306176,35915207936,32728653824,33963796608,33810836480,34894890112,33777747328,37960610560,35561345152,32748422016,33885980160,34562447616,39290996864,30791654656
58,35637364608,33857724416,31569706624,32220696832,37060659968,33807272960,33840468096,30331206400,32449751424,33866458240,33763369472,38260207872,33433758592,36520626176,42555161856,34655787008,34326573312,38525201536,34598813696,31685070080,33451330176,33977897344,34856700672,37987297152,37079061120,34326946816,34345158144,35915859200,32729448448,33964669056,33811790848,34895795328,33778500992,37961741056,35562279040,32749187968,33886721536,34563434752,39291914368,30792416512
59,35638183808,33858662400,31570562688,32221638912,37061823232,33807989760,33841541248,30332185344,32450750848,33867281536,33764184576,38260990208,33434643328,36521510912,42556292352,34656630784,34327818496,38526078080,34599219200,31685950720,33451915904,33978786176,34857511680,37988411264,37079933568,34327380992,34346112512,35916907776,32730161152,33965676672,33812818944,34896671872,33779451264,37962748672,35563212928,32749994880,33887454720,34564126976,39292987520,30793260288
60,35638863744,33859485696,31571340928,32222425344,37062609664,33808944128,33842180224,30332951296,32451479936,33868203136,33764815360,38261743872,33435528064,36522350592,42557111552,34657433600,34328432896,38526672000,34600005632,31686999296,33452546688,33979720064,34858130176,37989058432,37080683136,34328159232,34346829312,35917546752,32730787840,33966311552,33813724160,34897474688,33780106624,37963641600,35563745408,32750830464,33888343552,34564880640,39293732992,30794431744
