txkB/s,aceph01,aceph02,aceph03,aceph04
119,8727.14,9663.35,9171.87,9196.16
120,8620.09,9253.25,9317.83,9711.89
121,8738.89,9615.32,9126.34,8902.98
122,8533.05,8971.93,8800.07,9352.26
123,9027.3,9552.44,8847.92,9138.81
124,8405.72,9246.02,8848.26,8997.95
125,8687.81,9254.24,8367.8,9401.89
126,8943.31,8745.73,9273.15,8612.67
127,8704.78,8684.06,9608.77,8597.79
128,8602.79,10043.9,9101.09,9291.73
129,8924.66,9112.63,9604.95,9035.14
130,8068.8,9295.46,9269.19,9735.43
131,8649.17,9380.38,9389.32,8709.63
132,9220.97,8918.52,9704.33,8951.97
133,8461.23,10019.6,8991.15,9308.05
134,9019.81,10149.9,9365.92,9804.22
135,8454.4,8844.37,8939.56,9629.02
136,8280.51,9336.19,9051.11,9198.2
137,9158.68,8947.11,9163.77,8922.72
138,8404.1,9651.92,9340.96,9174.68
139,9196.13,9602.3,8878.48,9540.46
140,8496.75,8922.55,8847.54,9150.12
141,8243.44,9141.98,9662.15,9443.52
142,8661.04,9185.0,8746.85,8853.96
143,8228.96,9397.01,9096.73,9345.88
144,8792.28,10079.7,9367.58,9345.16
145,8599.29,8749.3,8738.25,8997.89
146,8502.59,9140.54,9076.86,9290.41
147,8762.59,9465.61,9305.62,8604.34
148,8476.82,9375.31,8837.02,9501.59
149,8846.81,9492.52,9004.82,9382.9
150,8753.8,9383.93,9256.88,8874.93
151,8125.79,8841.33,9371.16,9076.69
152,8703.63,9390.8,9163.42,9247.9
153,8749.02,10126.4,9234.5,8790.19
154,8192.93,9308.56,8849.42,9477.64
155,8452.12,9018.6,9044.09,9482.07
156,8491.82,9499.9,9467.05,8919.47
157,8299.27,9154.25,8834.99,9489.42
158,9020.0,9608.83,9309.91,8794.42
159,8556.11,9583.39,9266.98,9315.05
160,8462.39,9011.94,8566.72,9570.68
161,9086.91,9027.36,9319.35,8850.68
162,8647.41,9629.49,9334.67,9281.3
163,8303.55,9585.3,8921.51,9290.71
164,9012.92,9811.53,9726.47,9397.99
165,8424.93,9676.07,9091.33,9753.35
166,8525.09,8766.54,8952.39,9049.28
167,9107.92,9342.36,9584.85,9254.74
168,8653.44,9723.5,9105.93,9584.9
169,8718.32,9304.19,8691.76,9253.41
170,8533.26,9215.43,9429.8,9220.93
171,8409.25,9385.0,9274.06,9218.14
172,8898.04,8873.29,8910.17,8990.51
173,8831.54,9774.17,9351.0,8886.93
174,8174.18,9435.55,9024.14,9576.05
175,8896.51,9165.93,9268.56,9489.15
176,8382.82,9256.81,9662.19,8643.14
177,8673.15,9049.49,9034.95,9457.4
178,8907.24,9882.0,9282.14,8829.11
179,8563.79,9894.43,9217.52,9338.65
180,8796.02,8770.6,8549.51,9713.79
181,8856.58,9062.52,9409.09,8920.38
182,8443.03,9482.04,9026.54,9150.72
183,8889.06,9535.78,8958.62,9118.22
184,8346.62,9802.87,9761.17,9074.25
185,8646.51,9126.24,9252.35,9634.6
186,8681.2,9189.88,9078.0,9239.78
187,8226.63,9290.86,8928.97,8795.31
188,8617.17,9568.35,9392.2,9168.53
189,8643.84,10019.0,8570.25,8958.07
190,8016.05,9150.33,9146.8,9364.32
191,8613.51,8628.89,8901.17,8731.91
192,8012.91,8881.78,8843.75,8501.92
193,8241.28,9234.43,8807.17,9450.31
194,8798.88,9251.52,9531.33,9200.7
195,8555.06,8800.49,9310.78,9378.07
196,8182.15,8781.3,9227.08,9080.01
197,8604.93,8913.86,9167.25,8481.25
198,8407.12,10123.1,9297.14,9460.5
199,8217.02,9928.99,8865.26,9441.28
200,8641.45,8977.7,8809.45,9550.38
201,8503.38,8992.81,9207.99,9282.02
202,8127.13,9133.72,8722.81,9030.45
203,8903.97,9154.96,9095.37,9481.06
204,8533.01,9881.02,9219.6,9556.75
205,8803.06,9069.8,9041.7,8976.43
206,8770.36,8860.73,9209.83,9468.24
207,8652.31,9578.14,9382.19,9044.95
208,9136.97,9869.4,9301.54,9064.72
209,8494.23,9008.11,9132.12,9505.56
210,8951.98,8982.18,9249.94,9334.74
211,8396.36,9710.15,8890.56,9284.59
212,8794.1,8815.59,8968.47,9415.9
213,8793.88,10053.4,9403.98,8638.36
214,8457.85,9895.72,8526.65,9533.33
215,8785.5,8909.78,8934.78,9477.38
216,8640.7,9076.07,9526.27,8904.91
217,8247.49,9090.28,8572.5,9389.98
218,8880.64,9397.27,9565.58,9111.15
219,8761.45,9797.16,9534.1,9331.84
220,8330.02,8952.18,8854.62,9749.62
221,8808.28,8819.01,9249.58,8918.98
222,8527.65,9476.53,9105.52,9005.16
223,8655.94,9933.96,8998.68,9270.83
224,8756.2,9422.74,9250.85,8953.44
225,8699.38,8978.18,9108.49,9431.47
226,8449.38,8862.45,9095.76,9169.0
227,9003.07,9188.76,8798.46,8885.32
228,8009.05,9796.42,9048.92,9224.58
229,8919.6,9235.55,9024.34,9491.03
230,8560.19,8656.37,8810.35,9307.35
231,8508.41,9641.07,9001.87,9176.34
232,9198.17,8771.94,9098.18,9132.47
233,8490.93,10003.6,9564.26,9442.49
234,8604.06,10071.7,8885.05,9419.75
235,8605.23,8664.8,9040.19,9358.51
236,8136.32,9131.34,9154.63,9155.84
237,8645.48,8969.7,8702.68,8726.68
238,8693.72,9264.44,9045.26,9024.96
239,8761.48,9715.78,9493.44,9742.59
240,8562.49,9004.95,8808.84,9164.69
241,7988.86,8752.51,9008.45,9341.1
242,8470.26,8955.05,9031.74,9019.32
243,8810.73,10207.1,9413.56,9068.79
244,8362.25,9334.76,8687.89,9742.19
245,8817.63,9298.71,8775.65,9259.13
246,8347.96,9083.82,9382.18,8796.82
247,8243.5,8661.4,8607.53,9470.09
248,8694.74,9701.99,9395.98,8882.53
249,8171.52,9239.05,9167.41,9519.63
250,8293.0,8550.0,8776.79,9699.79
251,8803.1,9201.22,9411.06,8780.17
252,8418.52,9396.2,8990.07,9118.43
253,9315.83,9588.65,8927.87,9689.75
254,8552.97,9558.16,9462.26,9374.27
255,8545.74,9574.51,9052.77,9854.96
256,8970.3,9153.92,9124.95,9099.87
257,8363.87,9668.72,8865.66,8899.33
258,9189.66,9681.22,9147.29,9485.02
259,8841.29,9162.32,9004.01,9104.65
260,8302.51,8900.69,8961.2,9460.96
261,8614.7,9476.48,8993.41,9000.38
262,8544.13,8634.76,9037.45,8522.4
263,8602.59,9829.82,9102.48,9337.82
264,8821.83,9793.55,8929.64,9402.36
265,8186.16,9012.61,9296.96,9428.37
266,8446.35,9137.5,9391.32,9146.89
267,8607.53,8997.12,9194.2,8738.67
268,8213.57,9496.93,9421.89,9048.91
269,8579.19,9821.41,8969.41,9466.15
270,8716.51,8810.75,8980.44,9050.66
271,8399.32,9135.81,9394.25,9277.4
272,8446.31,9256.37,8613.77,8981.99
273,8836.9,9373.76,9313.27,8649.62
274,8231.99,9674.54,9238.99,9404.1
275,8628.02,9295.83,8545.81,9383.45
276,9007.73,8739.18,9741.7,8936.13
277,8384.73,9209.19,9113.94,9326.05
278,8753.64,10091.3,9404.76,9091.33
279,8261.59,9253.24,9683.03,9242.82
280,8746.96,9449.56,8968.84,9700.04
281,8827.27,9098.39,9055.6,9003.27
282,8160.23,9189.81,9084.27,9466.04
283,8531.8,9819.06,9048.01,8784.47
284,8552.72,9196.41,9186.85,8730.76
285,8545.13,8753.58,9319.7,9577.12
286,8761.55,9023.13,8530.49,8593.54
287,8563.51,8695.79,8587.39,9186.56
288,8666.6,9513.87,9653.02,9400.23
289,8664.05,9953.36,9177.04,9133.03
290,7983.21,9042.03,8606.55,9332.18
291,8557.79,9128.33,9506.9,8966.85
292,8872.2,8854.63,8914.93,8565.69
293,8454.74,9745.2,9110.37,9443.35
294,8689.84,9700.43,8897.86,8869.46
295,8290.8,9274.94,9042.01,9069.83
296,8289.02,8803.39,8830.0,9521.81
297,8756.09,9420.88,8644.42,8797.54
298,8653.53,10100.0,9753.62,9179.03
299,8738.3,8950.84,9078.79,9250.53
300,8877.65,8832.37,8553.6,9257.46
301,8045.76,9448.71,8946.69,9043.72
302,8832.67,8429.29,8162.94,8727.85
303,8610.82,8911.92,8758.58,8697.29
304,8674.24,9674.06,9574.97,9492.76
305,8660.68,9256.76,8793.06,9305.17
306,8715.57,8496.17,8770.03,9047.71
307,8664.48,9177.41,9357.9,8901.64
308,8832.87,10149.2,9477.43,9259.93
309,8358.62,9504.66,8972.08,8959.76
310,8709.73,9076.57,9326.24,10001.5
311,8912.73,9272.94,9239.83,9045.08
312,8339.72,8818.97,8972.28,8758.81
313,8727.65,9797.03,9790.21,9484.8
314,8489.75,9505.62,9091.02,9047.85
315,8433.43,9190.25,8864.53,9045.67
316,8939.07,9296.82,9605.74,9164.91
317,8537.73,8812.54,8945.31,8809.99
318,8824.71,9554.52,9046.93,9409.6
319,8654.95,9605.33,9532.38,8892.58
320,8439.65,9233.22,8940.23,9251.6
321,8684.0,9325.31,9445.75,9063.26
322,8574.99,9287.07,9082.88,9356.81
323,8531.96,9501.89,8272.04,9337.74
324,8988.7,9768.81,8889.13,9125.2
325,8266.33,9506.27,9396.17,9100.04
326,8548.12,8859.24,9104.84,8611.53
327,8635.13,9284.4,9362.67,9118.1
328,8255.27,10112.4,9573.84,8981.14
329,8900.02,9124.53,8805.33,9297.31
330,8367.19,9516.47,9168.5,9644.57
331,8078.27,9117.23,9219.84,8822.06
332,8941.61,8636.23,8687.12,8707.6
333,8719.52,9429.82,9435.31,9154.5
334,8058.4,9209.17,9142.57,8599.74
335,8726.9,8449.39,8698.02,9083.74
336,8541.3,9526.91,9111.87,8836.75
337,8414.4,8764.1,8793.67,8735.48
338,8708.99,9786.17,8999.93,9327.73
339,8355.99,9666.03,9456.13,8829.29
340,8429.26,8959.26,9043.96,9149.83
341,8882.98,9464.95,8666.03,9066.28
342,8256.97,9005.04,8984.1,8355.72
343,8758.54,9000.22,9167.03,8894.44
344,8601.79,9169.21,8785.6,9659.23
345,8222.66,9540.41,9280.14,9098.63
346,8839.35,8933.56,9126.88,9527.5
347,8694.26,9169.02,9000.03,9148.85
348,8568.28,9632.31,9232.07,9132.83
349,8881.21,9163.5,8699.12,9176.33
350,8331.67,9484.86,9069.26,9568.14
351,8719.43,9182.31,9225.03,8952.06
352,8844.57,8874.46,8416.97,9291.97
353,8274.44,9798.27,9404.64,8826.25
354,8707.74,9239.8,9077.31,9289.63
355,8375.06,8946.56,8574.68,9973.13
356,8191.93,9362.39,8945.81,8685.19
357,8779.49,8778.33,9387.65,8897.2
358,8337.29,8872.02,8899.57,9419.12
359,8648.41,10153.9,8840.04,8695.06
360,8903.69,9032.2,8762.15,9032.58
361,8478.84,8889.26,8950.07,9186.85
362,8294.75,9224.96,9553.1,8792.45
363,8533.14,9244.3,9132.06,9062.92
364,8363.28,10117.5,8462.02,9530.61
365,8398.57,9387.05,9279.05,9345.19
366,8786.77,8653.41,9226.2,9022.1
367,8250.59,9400.41,8628.64,9000.51
368,8827.3,9649.65,9475.19,8964.85
369,8799.42,9489.59,9035.56,9271.6
370,7955.48,9421.64,9138.93,8942.31
371,8819.45,9256.21,9438.91,9038.27
372,8174.83,8936.61,8901.74,8790.07
373,8153.19,9671.56,9106.56,8961.34
374,8385.63,9299.9,8913.47,9216.23
375,8593.88,8749.54,8702.54,9138.48
376,8604.54,9101.67,9385.23,8943.1
377,8729.79,9389.55,8918.8,9242.86
378,8112.87,9230.79,9002.56,8912.96
379,8902.04,9917.4,9475.48,9010.01
380,8562.09,8829.29,9300.66,9286.16
381,8245.63,8914.69,8939.28,8833.02
382,8538.55,9030.93,9177.57,8688.35
383,8267.78,8994.9,9151.54,8259.64
384,8812.63,9556.62,8825.0,9290.8
385,8562.09,9393.91,9278.87,9747.01
386,8515.31,9045.24,8912.74,8733.98
387,8941.76,8904.97,8631.16,9395.27
388,8486.08,10013.9,9189.33,9101.08
389,8655.85,9721.1,8818.37,8664.02
390,8631.59,9303.64,8672.02,9448.21
391,8655.79,9150.88,9086.71,8455.59
392,8906.29,8794.58,8578.79,9029.82
393,8299.92,9116.09,9020.08,8877.21
394,8573.98,9751.98,9523.25,8906.39
395,8705.92,8767.44,8947.07,9529.43
396,8338.62,8877.07,9634.46,9357.96
397,8820.69,9246.6,9151.16,9369.47
398,9085.32,10353.4,10883.4,13751.8
399,13430.6,14293.5,13618.5,7295.5
