op_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,41430650540,35525394871,42029355738,33858057919,43222627262,39198005730,40954844715,37801229009,37815735429,43894007075,40581787385,53096039386,41985552165,37897791075,57114596058,46378238937,38788156361,43124256938,37909536729,37185052761,47286741406,38472456360,44220077157,46613805896,46790802097,41440848581,43503879253,38264280458,42272658795,38712507937,39392204164,47259981693,46193991796,41654009504,39537386648,38912531860,36040360217,36672474082,52149664862,34092682871
11,41431633580,35526160823,42030162650,33858766527,43223450558,39198837218,40955528747,37802072785,37816784005,43894555939,40582389497,53096891354,41986363173,37898471011,57115505370,46379279321,38788803529,43124670634,37910487001,37185904729,47287384478,38473193640,44220855397,46614719304,46791609009,41441630917,43504784469,38264984970,42273342827,38713306657,39393281412,47260694397,46194917492,41654881952,39538386072,38913338772,36041117977,36673428450,52150385758,34093473399
12,41432534700,35526840759,42030891738,33859499711,43224257470,39199455714,40956102187,37802724049,37817746565,43895104803,40583212793,53097776090,41987333925,37899425379,57116521178,46380237785,38789839817,43125645482,37911277529,37186777177,47287978398,38474143912,44221719653,46615558984,46792555185,41442474693,43505693781,38265726346,42274186603,38714322465,39394452868,47261665149,46195613812,41655893664,39539250328,38914362772,36042035481,36674391010,52151295070,34094362231
13,41433513644,35527856567,42031788762,33860302527,43225125822,39200508386,40956974635,37803571921,37818614917,43895907619,40583847673,53098656730,41988030245,37900215907,57117086426,46381036505,38790613961,43126296746,37912223705,37187637337,47288633758,38474877096,44222415973,46616431432,46793390769,41443162821,43506508885,38266639754,42274788715,38715260449,39395329412,47262582653,46196433012,41657003680,39540286616,38915267988,36042936601,36675116002,52152503390,34095382135
14,41434492588,35528667575,42032734938,33861277375,43225797566,39201130978,40957740587,37804407505,37819327621,43896857891,40584646393,53099652058,41989107493,37901256291,57118094042,46381892569,38791375817,43126923434,37913018329,37188395097,47289276830,38475704488,44223280229,46617152328,46794107569,41443838661,43507303509,38267291018,42275337579,38716096033,39396128132,47263315837,46197092468,41658011296,39540954264,38915972500,36043706649,36675820514,52153171038,34096225911
15,41435365036,35529413047,42033476314,33862190783,43226436542,39202032098,40958563883,37804845777,37820404869,43897365795,40585260793,53100413914,41989943077,37901960803,57118946010,46382613465,38792227785,43127738538,37913702361,37189333081,47289911710,38476662952,44224115813,46617971528,46795049649,41444661957,43508266069,38267995530,42276033899,38716698145,39396951428,47264253821,46197919860,41659244192,39541920920,38916857236,36044554521,36676639714,52154035294,34097348215
16,41436446380,35530117559,42034475738,33863034559,43227333566,39202822626,40959456811,37805845201,37821154437,43898492195,40586075897,53101159386,41991053093,37902767715,57119752922,46383354841,38792784841,43128385706,37914361817,37190230105,47290628510,38477240488,44224844901,46618921800,46795930289,41445751493,43508859989,38268659082,42276767083,38717562401,39397774724,47264974717,46198730868,41660063392,39542568088,38917479828,36045168921,36677340130,52154735710,34098065015
17,41437265580,35531067831,42035245786,33863911103,43228177342,39203592674,40960247339,37806672593,37822166149,43899274531,40586964729,53101986778,41992068901,37903677027,57120690906,46384452569,38793849801,43129090218,37915181017,37191041113,47291394462,38478071976,44225602661,46619949896,46796683953,41446570693,43509720149,38269367690,42277541227,38718762529,39398610308,47265757053,46199685236,41661165216,39543497880,38918327700,36046111001,36678138850,52155645022,34098916983
18,41438391980,35532034487,42036163290,33864660671,43229209534,39204567522,40961181227,37807409873,37823235205,43900482851,40587714297,53102867418,41993101093,37904578147,57121428186,46385255385,38794644425,43130196138,37915946969,37192151129,47292230046,38479157416,44226335845,46620986184,46797925041,41447373509,43510707285,38270113162,42278102379,38719569441,39399540100,47266609021,46200479860,41661845152,39544255640,38918860180,36046696729,36678622178,52156353630,34099809911
19,41439354540,35532919223,42037175002,33865655999,43230036926,39205439970,40961734187,37808519889,37824156805,43901338915,40588459769,53103637466,41993895717,37905401443,57122394842,46385918937,38795541449,43130544298,37916897241,37193085017,47292897694,38479997096,44227368037,46621879112,46798637745,41448282821,43511833685,38270899594,42279028075,38720519713,39400412548,47267448701,46201356404,41662811808,39545025688,38919773588,36047429913,36679396322,52157353054,34100502135
20,41440378540,35533582775,42038104794,33866512063,43231032254,39206349282,40962651691,37809265361,37824799877,43902190883,40589184761,53104514010,41994735397,37906282083,57123013338,46386742233,38796278729,43131318442,37917560793,37193936985,47293487518,38481057960,44228060261,46622628680,46799321777,41449130693,43512644693,38271776138,42279441771,38721080865,39401301380,47268362109,46202060916,41663635104,39545906328,38920764820,36048261401,36680174562,52157942878,34101509751
21,41441328812,35534496183,42038993626,33867298495,43231798206,39207086562,40963446315,37809990353,37825758341,43902993699,40589987577,53105398746,41995714341,37907031651,57123746522,46387635161,38797319113,43132256426,37918547929,37194895449,47294163358,38481828008,44228777061,46623624008,46800317105,41449786053,43513435221,38272464266,42280117611,38721904161,39402096004,47268968317,46203064436,41664511648,39546688664,38921473428,36049248537,36681173986,52159183966,34102689399
22,41442291372,35535417783,42039886554,33868322495,43232965566,39207860706,40964335147,37810780881,37826667653,43904050467,40590634745,53106140122,41996582693,37907842659,57124864730,46388306905,38797925321,43132813482,37919293401,37195452505,47294867870,38482700456,44229538917,46624631624,46801111729,41450515141,43514340437,38273140106,42280838507,38723010081,39402812804,47269996413,46203773044,41665490592,39547520152,38922268052,36049834265,36681751522,52159880286,34103250551
23,41443110572,35536253367,42040783578,33869227711,43233899454,39208536546,40964994603,37811739345,37827658885,43905029411,40591466233,53106865114,41997676325,37908706915,57125454554,46389248985,38798572489,43133517994,37920042969,37196238937,47295531422,38483499176,44230509669,46625606472,46802213553,41451727557,43515532373,38274057610,42281796971,38724070945,39403816324,47270901629,46204477556,41666260640,39548556440,38923214228,36050714905,36682595298,52160703582,34104196727
24,41444204204,35537047991,42041516762,33870018239,43234710462,39209621986,40965801515,37812505297,37828453509,43905725731,40592289529,53107811290,41998724901,37909644899,57126470362,46390080473,38799514569,43134406826,37920796633,37197373529,47296113054,38484277416,44231013477,46626536264,46802967217,41452391109,43516126293,38274672010,42282263915,38724853281,39404778884,47271671677,46205493364,41667272352,39549609112,38923898260,36051611929,36683308002,52161719390,34105233015
25,41445007020,35537920439,42042409690,33870624447,43235492798,39210383842,40966481451,37813054161,37829047429,43906463011,40592994041,53108659162,41999626021,37910505059,57127183066,46390989785,38800399305,43135025322,37921611737,37198172249,47296899486,38485092520,44232033381,46627400520,46803864241,41453218501,43517248597,38275614090,42282833259,38725631521,39405663620,47272613757,46206275700,41668349600,39550592152,38924869012,36052619545,36684131298,52162907230,34106175095
26,41445805740,35538702775,42043200218,33871427263,43236213694,39211071970,40967235115,37813795537,37829764229,43906991395,40593698553,53109531610,42000523045,37911258723,57128071898,46391751641,38801341385,43135860906,37922492377,37199282265,47297505694,38485924008,44233045093,46628182856,46804769457,41454049989,43518137429,38276400522,42283636075,38726471201,39406560644,47273547645,46207230068,41669025440,39551300760,38925688212,36053426457,36684950498,52163857502,34107350647
27,41446633132,35539354039,42044048090,33872185023,43237053374,39211993570,40967767595,37814454993,37830612101,43907994915,40594534137,53110457306,42001571621,37912208995,57129136858,46392546265,38802185161,43136528554,37923336153,37199999065,47298337182,38486739112,44233733221,46629239624,46805559985,41454856901,43518903381,38277137802,42284311915,38727269921,39407302020,47274313597,46207963252,41669844640,39551968408,38926331284,36053889305,36685306850,52164697182,34107903607
28,41447595692,35540160951,42044871386,33873163967,43237991358,39212960226,40968803883,37815093969,37831697541,43908707619,40595099385,53111075802,42002280229,37912921699,57129820890,46393218009,38802869193,43137163434,37924057049,37200752729,47298996638,38487488680,44234490981,46630021960,46806403761,41455680197,43519616085,38277854602,42284983659,38728220193,39408194948,47275063165,46208757876,41670852256,39552992408,38927154580,36054802713,36686244834,52165221470,34108694135
29,41448414892,35541213623,42045842138,33874224831,43238851518,39213832674,40969377323,37815974609,37832643717,43909522723,40595869433,53111956442,42003164965,37913704035,57130664666,46393975769,38803540937,43138150570,37924847577,37201494105,47299684766,38488205480,44235236453,46630935368,46807337649,41456597701,43520509013,38278595978,42285585771,38729137697,39409112452,47275784061,46209642612,41671511712,39553795224,38927990164,36055396633,36687150050,52166155358,34109820535
30,41449123500,35542012343,42046882522,33875171007,43239703486,39214852578,40970307115,37816613585,37833671813,43910436131,40596659961,53112701914,42004061989,37914588771,57131332314,46394762201,38804384713,43138609322,37925842905,37202178137,47300274590,38489278632,44235904101,46631758664,46807993009,41457302213,43521356885,38279161226,42286212459,38730087969,39410206084,47276754813,46210449524,41672269472,39554499736,38928633236,36056297753,36687940578,52166888542,34110660215
31,41450008236,35542790583,42047709914,33875867327,43240530878,39215626722,40971183659,37817469649,37834548357,43911046435,40597421817,53113611226,42005045029,37915571811,57132200666,46395524057,38805085129,43139256490,37926645721,37203042393,47300999582,38490228904,44236780645,46632909640,46809017009,41458293445,43522126933,38279812490,42286859627,38730866209,39410922884,47277574013,46211203188,41672830624,39555269784,38929460628,36056977689,36688767970,52167904350,34111692407
32,41450692268,35543462327,42048492250,33876752063,43241501630,39216544226,40971662891,37818424017,37835498629,43912025379,40598191865,53114373082,42005962533,37916456547,57133114074,46396539865,38806072265,43139936426,37927108569,37204074585,47301687710,38491072680,44237554789,46633818952,46809758385,41459047109,43522954325,38280582538,42287461739,38731718177,39411840388,47278327677,46212063348,41673911968,39556154520,38930398612,36057735449,36689550306,52168674398,34112609911
33,41451515564,35544293815,42049016538,33877653183,43242353598,39217142242,40972564011,37819157201,37836448901,43912971555,40599092985,53115278298,42006982437,37917382243,57134142170,46397473753,38806920137,43140681898,37927841753,37204979801,47302306206,38491928744,44238361701,46634957640,46810733233,41459911365,43523900501,38281373066,42288350571,38732803617,39412864388,47279454077,46212796532,41674886816,39557141656,38931135892,36058374425,36690422754,52169579614,34113379959
34,41452486316,35544883639,42049704666,33878312639,43243078590,39217809890,40973194795,37819611857,37836727429,43913671971,40599781113,53115962330,42007858981,37918193251,57134940890,46398374873,38807976905,43141439658,37928718297,37205712985,47302916510,38492829864,44239033445,46635731784,46811441841,41460550341,43524916309,38282114442,42288952683,38733618721,39413761412,47280306045,46213562484,41675878048,39557874840,38931836308,36059578649,36691114978,52170382430,34114272887
35,41453391532,35545784759,42050716378,33879205567,43243930558,39218538978,40973809195,37820631761,37837624453,43914466595,40600547065,53116888026,42008629029,37919032931,57135727322,46399083481,38808689609,43142258858,37929455577,37206708313,47303395742,38493681832,44239586405,46636632904,46812420785,41461324485,43525502037,38282708362,42289665387,38734536225,39414736260,47281301373,46214422644,41677008544,39558505624,38932811156,36060447001,36691934178,52171525214,34115292791
36,41454132908,35546653111,42051277530,33879975615,43244872638,39219550690,40974898731,37821352657,37838431365,43915162915,40601296633,53117506522,42009657125,37919909475,57136394970,46399874009,38809320393,43143090346,37930037209,37207343193,47303993758,38494410920,44240483429,46637415240,46813022897,41462102725,43526239317,38283437450,42290423147,38735392289,39415281028,47282055037,46215188596,41678118560,39559419032,38933482900,36060877081,36692642786,52172352606,34116128375
37,41455132332,35547398583,42052379354,33880917695,43245724606,39220292066,40975984171,37822200529,37839271045,43916100899,40601988857,53118260186,42010369829,37920781923,57137165018,46400672729,38810274761,43143643306,37931020249,37208133721,47304661406,38495275176,44241265765,46638353224,46813764273,41462921925,43527099477,38284158346,42290972011,38736141857,39416182148,47282575229,46215843956,41679015584,39560062104,38933929364,36061770009,36693253090,52173016158,34117185143
38,41455976108,35548160439,42053079770,33881413311,43246425022,39221156322,40976508459,37822765777,37840020613,43916723491,40602607353,53118997466,42011135781,37921453667,57137939162,46401430489,38810848201,43144384682,37931814873,37208936537,47305337246,38496196776,44242072677,46639090504,46814694065,41463810757,43527742549,38284895626,42291623275,38736997921,39417107844,47283136381,46216736884,41680273056,39561098392,38934941076,36062720281,36694080482,52173843550,34118323831
39,41456823980,35548938679,42053747418,33882306239,43247326142,39222114786,40977196587,37823392465,37840934021,43917428003,40603270905,53119775706,42011844389,37922162275,57138672346,46402175961,38811720649,43144925354,37932490713,37209714777,47306017182,38496999592,44243027045,46640102216,46815828657,41464720069,43528635477,38285723018,42292393323,38738001441,39417935236,47284524925,46217429108,41681231520,39561561240,38935661972,36063547673,36694821858,52175051870,34119093879
40,41457688236,35549721015,42054591194,33883236031,43248346046,39222720994,40978101803,37824133841,37841671301,43918066979,40604061433,53120615386,42012913445,37923071587,57139569370,46402986969,38812634057,43145769130,37933678553,37210697817,47306660254,38497847464,44243907685,46640876360,46816455345,41465383621,43529507925,38286390666,42293036395,38738767393,39418869124,47285208957,46218272884,41682226848,39562822808,38936554900,36064235801,36695788514,52175682654,34120105591
41,41458335404,35550699959,42055520986,33884128959,43248976830,39223728610,40979105323,37824744145,37842592901,43918898467,40604794617,53121475546,42013679397,37923751523,57139909338,46403601369,38813252553,43146264746,37934096345,37211361369,47307426206,38498928808,44244849765,46641875784,46817450673,41466206917,43530646613,38287160714,42293704043,38739562017,39419786628,47286105981,46219055220,41683185312,39563560088,38937402772,36064985369,36696841186,52176616542,34120879735
42,41459232428,35551449527,42056311514,33884878527,43249963966,39224351202,40979629611,37825260241,37843387525,43919725859,40605638393,53122462682,42014809893,37924812387,57141129946,46404592601,38814313417,43147104426,37935136729,37212323929,47308007838,38499748008,44245550181,46642703176,46818314929,41466809029,43531502677,38287934858,42294506859,38740446753,39420650884,47287048061,46220001396,41684209312,39564608664,38938312084,36065960217,36697431010,52177550430,34121973367
43,41460125356,35552309687,42057188058,33885681343,43250820030,39225145826,40980313643,37825940177,37844137093,43920753955,40606408441,53123294170,42015825701,37925631587,57141940954,46405293017,38815239113,43147792554,37935894489,37213196377,47308773790,38500649128,44246590565,46643731272,46819248817,41467710149,43532461141,38288790922,42295285099,38741401121,39421535620,47287809917,46220718196,41685065376,39565477016,38939123092,36066689305,36698229730,52178328670,34122751607
44,41461055148,35553071543,42058027738,33886693055,43251725246,39225948642,40981153323,37826853585,37845222533,43921478947,40607178489,53124158426,42016808741,37926413923,57142551258,46406149081,38816099273,43148423338,37936861145,37214072921,47309498782,38501550248,44247430245,46644607816,46820301489,41468766917,43533378645,38289446282,42295866731,38742494753,39422522756,47288641405,46221516916,41685872288,39566509208,38939938196,36067565849,36698983394,52179307614,34123624055
45,41461931692,35553886647,42058814170,33887409855,43252597694,39226923490,40982005291,37827816145,37846029445,43922375971,40607862521,53124813786,42017632037,37927171683,57143485146,46406996953,38816807881,43149168810,37937586137,37214912601,47310166430,38502463656,44248331365,46645267272,46821145265,41469573829,43534357589,38290212234,42296804715,38743178785,39423407492,47289571197,46222401652,41686855328,39567127704,38940700052,36068393241,36699700194,52179995742,34124525175
46,41462562476,35554656695,42059608794,33888442047,43253560254,39227668962,40982734379,37828348625,37847086213,43923174691,40608538361,53125747674,42018680613,37928064611,57144193754,46407865305,38817582025,43149824170,37938225113,37215653977,47310797214,38503340200,44249085029,46646414152,46822034097,41470438085,43535262805,38290777482,42297537899,38744104481,39424300420,47290423165,46222897268,41687817888,39568184472,38941490580,36069069081,36700613602,52180884574,34125602423
47,41463463596,35555463607,42060112602,33889027775,43254354878,39228623330,40983311915,37829094097,37847463045,43924325667,40609382137,53126689754,42019741477,37928851043,57145250522,46409061337,38818474953,43150803114,37939118041,37216858201,47311464862,38504261800,44249961573,46647192392,46823037617,41471253189,43535963221,38291690890,42298172779,38744940065,39425115524,47291156349,46223851636,41688530592,39569069208,38942240148,36070056217,36701133794,52181859422,34126364279
48,41464368812,35556225463,42061017818,33890117311,43255018430,39229303266,40984008235,37829974737,37848482949,43924784419,40610242297,53127443418,42020761381,37929678435,57146143450,46409737177,38819593161,43151532202,37939994585,37217456217,47312087454,38505171112,44250707045,46648249160,46823877297,41471871685,43536946261,38292399498,42298905963,38745820705,39425967492,47292069757,46224756852,41689419424,39569818776,38943145364,36070785305,36702034914,52182662238,34127130231
49,41465216684,35556991415,42061710042,33890641599,43255759806,39230106082,40984671787,37830523601,37849248901,43925419299,40611032825,53128221658,42021728037,37930669667,57146897114,46410482649,38820232137,43152289962,37940760537,37218549849,47312804254,38505973928,44251755621,46649408328,46824737457,41472903877,43537994837,38293501322,42299889003,38747033121,39426950532,47292835709,46225723508,41690324640,39570527384,38943833492,36071383321,36703009762,52183374942,34128211575
50,41465953964,35557806519,42062631642,33891538623,43256640446,39230847458,40985548331,37831367377,37849924741,43926144291,40611802873,53129262042,42022555429,37931599459,57147781850,46411297753,38821280713,43153006762,37941551065,37219500121,47313496478,38506727592,44252501093,46650235720,46825474737,41473440453,43538543701,38294082954,42300323179,38747651617,39427724676,47293654909,46226587764,41691238048,39571661976,38944730516,36072378649,36703562722,52184140894,34128834167
51,41466928812,35558560183,42063463130,33892345535,43257598910,39231498722,40986232363,37832055505,37850649733,43926934819,40612613881,53130060762,42023583525,37932389987,57148793562,46412039129,38822165449,43153694890,37942435801,37220294745,47314233758,38507681960,44253369445,46651198280,46826498737,41474280133,43539620949,38294853002,42301048171,38748524065,39428552068,47294359421,46227234932,41691958944,39572251800,38945410452,36073079065,36704394210,52184857694,34129800823
52,41467711148,35559387575,42064347866,33893082815,43258491838,39232473570,40986957355,37832727249,37851538565,43927659811,40613510905,53130785754,42024419109,37933463139,57149559514,46413136857,38823209929,43154473130,37943181273,37221232729,47314786718,38508546216,44254000229,46652087112,46827199153,41475033797,43540554837,38295324042,42301760875,38749187617,39429465476,47295182717,46228119668,41692835488,39573214360,38946098580,36073713945,36705033186,52185730142,34130636407
53,41468612268,35560120759,42065208026,33894172351,43259253694,39233432034,40987887147,37833706193,37852505221,43928773923,40614342393,53131609050,42025430821,37934315107,57150493402,46414336985,38824131529,43155157162,37944295385,37222162521,47315364254,38508988584,44254753893,46652623688,46828104369,41475955397,43541234773,38296307082,42302367083,38750219809,39430366596,47296038781,46228947060,41693871776,39574082712,38947077524,36074574105,36705741794,52186672222,34131562103
54,41469497004,35561058743,42065953498,33894831807,43260240830,39234284002,40988661291,37834537681,37853570181,43929437475,40615108345,53132686298,42026438437,37935228515,57151337178,46415344601,38825036745,43156005034,37945094105,37222953049,47315982750,38510016680,44255532133,46653594440,46828911281,41476774597,43542107221,38297097610,42303149419,38750813729,39431349636,47296898941,46229790836,41694699168,39574922392,38947818900,36075299097,36706511842,52187720798,34132418167
55,41470271148,35561820599,42066793178,33895720639,43260806078,39235045858,40989382187,37835336401,37854286981,43930084643,40615866105,53133423578,42027433765,37935920739,57152082650,46416008153,38825884617,43157201066,37945864153,37223776345,47316605342,38510889128,44256277605,46654266184,46829800113,41477638853,43542754389,38297662858,42303722859,38751604257,39432119684,47297595261,46230593652,41695469216,39575794840,38948359572,36075995417,36707089378,52188449886,34133249655
56,41471082156,35562582455,42067792602,33896617663,43261588414,39235578338,40990049835,37836049105,37855028357,43930805539,40616603385,53134263258,42028371749,37936895587,57153004250,46417036249,38826609609,43157704874,37946888153,37224824921,47317338526,38511855784,44257293413,46655511368,46830803633,41478658757,43543815253,38298563978,42304644459,38752415265,39432938884,47298283389,46231347316,41696100000,39576495256,38949146004,36076880153,36707802082,52189342814,34134044279
57,41472122540,35563438519,42068755162,33897596607,43262419902,39236504034,40990795307,37837146833,37856089221,43931751715,40617295609,53135102938,42029375269,37937735267,57153737434,46417572825,38827445193,43158438058,37947428825,37225529433,47317891486,38512715944,44258014309,46656445256,46831577777,41479400133,43544556629,38299477386,42305201515,38753418785,39433819524,47299123069,46232158324,41696980640,39577314456,38949870996,36077535513,36708592610,52189949022,34134900343
58,41472786092,35564216759,42069431002,33898313407,43263230910,39237650914,40991335979,37837503185,37856720005,43932509475,40618106617,53136049114,42030255909,37938714211,57154400986,46418723801,38828379081,43159027882,37948907481,37226475609,47318612382,38513621160,44258772069,46657272648,46832470705,41480411845,43545408597,38300128650,42305996139,38754291233,39434773892,47300028285,46232911988,41698111136,39578248344,38950636948,36078276889,36709579746,52190866526,34135662199
59,41473605292,35565154743,42070287066,33899255487,43264394174,39238367714,40992409131,37838482129,37857719429,43933332771,40618921721,53136831450,42031140645,37939598947,57155531482,46419567577,38829624265,43159904426,37949312985,37227356249,47319198110,38514509992,44259583077,46658386760,46833343153,41480846021,43546362965,38301177226,42306708843,38755298849,39435801988,47300904829,46233862260,41699118752,39579182232,38951443860,36079010073,36710271970,52191939678,34136505975
60,41474285228,35565978039,42071065306,33900041919,43265180606,39239322082,40993048107,37839248081,37858448517,43934254371,40619552505,53137585114,42032025381,37940438627,57156350682,46420370393,38830238665,43160498346,37950099417,37228404825,47319828894,38515443880,44260201573,46659033928,46834092721,41481624261,43547075669,38301816202,42307335531,38755933729,39436707204,47301707645,46234517620,41700011680,39579714712,38952279444,36079898905,36711025634,52192685150,34137677431
