%util,aceph01,aceph02,aceph03,aceph04
367,1.12,1.08,1.52,1.56
368,1.52,1.52,1.4,1.32
369,1.52,1.6,1.68,1.68
370,1.56,1.28,1.52,1.56
371,1.88,1.6,1.56,1.48
372,1.52,1.28,1.12,1.8
373,1.56,1.52,1.08,1.92
374,1.68,1.6,2.12,1.48
375,1.72,1.52,1.72,1.24
376,1.64,1.08,1.56,1.44
377,1.8,1.56,1.56,1.32
378,1.44,1.44,2.04,1.4
379,1.76,1.68,1.68,1.64
380,2.04,1.76,1.4,1.52
381,1.24,1.28,1.44,1.64
382,1.68,2.2,1.48,1.28
383,1.44,1.6,2.16,2.24
384,1.64,1.96,1.88,1.84
385,1.52,1.32,1.28,1.12
386,1.44,1.52,1.8,0.88
387,1.4,1.56,1.32,1.56
388,1.96,1.92,1.92,1.52
389,1.32,1.24,1.96,2.16
390,1.52,1.16,1.64,1.76
391,1.64,1.28,2.12,1.8
392,1.92,1.08,1.84,2.48
393,1.72,1.12,1.6,2.12
394,1.84,1.267,1.56,1.76
395,1.2,1.6,1.12,1.84
396,1.4,1.16,1.4,0.8
397,1.84,1.44,1.16,1.4
398,2.08,1.16,1.28,1.32
399,1.84,1.12,1.12,2.04
